split,date_range,start_date,end_date,#,Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,updated_at
no_split,season,2026-3-18,2026-6-18,1,2026.0,LAD,2882.0,10.6%,20.4%,0.5,0.261,0.345,0.441,0.786,0.179,0.299,403.0,62.5,0.345,119.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,2,2026.0,NYY,2745.0,11.3%,22.7%,0.5,0.246,0.333,0.442,0.776,0.196,0.286,373.0,48.4,0.339,116.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,3,2026.0,PIT,2949.0,9.8%,23.6%,0.4,0.255,0.337,0.408,0.745,0.153,0.312,379.0,30.1,0.33,107.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,4,2026.0,MIL,2769.0,10.9%,20.6%,0.5,0.255,0.339,0.397,0.736,0.142,0.306,347.0,19.5,0.327,107.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,5,2026.0,CHC,2932.0,10.9%,21.3%,0.5,0.241,0.333,0.398,0.731,0.157,0.283,364.0,16.9,0.325,107.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,6,2026.0,WSN,2891.0,8.9%,21.0%,0.4,0.247,0.323,0.421,0.744,0.174,0.287,364.0,21.9,0.327,107.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,7,2026.0,ATL,2764.0,8.1%,20.8%,0.4,0.254,0.32,0.423,0.742,0.168,0.291,345.0,18.0,0.326,105.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,8,2026.0,ATH,2863.0,9.6%,22.3%,0.4,0.251,0.33,0.42,0.75,0.168,0.298,366.0,27.8,0.33,105.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,9,2026.0,SEA,2829.0,9.0%,22.5%,0.4,0.236,0.317,0.396,0.712,0.159,0.277,331.0,-4.1,0.316,105.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,10,2026.0,CHW,2735.0,9.4%,23.9%,0.4,0.24,0.323,0.413,0.736,0.173,0.287,339.0,15.6,0.325,105.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,11,2026.0,BAL,2844.0,10.0%,23.7%,0.4,0.242,0.322,0.402,0.725,0.161,0.293,343.0,7.1,0.321,104.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,12,2026.0,SFG,2795.0,6.3%,20.4%,0.3,0.258,0.309,0.421,0.73,0.163,0.301,333.0,1.9,0.318,103.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,13,2026.0,HOU,2875.0,8.9%,21.6%,0.4,0.243,0.318,0.412,0.73,0.169,0.282,348.0,8.2,0.321,103.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,14,2026.0,STL,2754.0,8.8%,20.7%,0.4,0.245,0.324,0.395,0.719,0.15,0.286,327.0,1.0,0.318,103.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,15,2026.0,MIN,2835.0,8.8%,22.4%,0.4,0.241,0.318,0.404,0.722,0.162,0.285,339.0,3.9,0.319,100.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,16,2026.0,TBR,2712.0,9.6%,19.1%,0.5,0.255,0.333,0.379,0.713,0.124,0.301,321.0,0.0,0.318,99.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,17,2026.0,LAA,2849.0,8.8%,24.7%,0.4,0.238,0.319,0.394,0.713,0.156,0.295,334.0,-3.0,0.316,98.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,18,2026.0,MIA,2810.0,9.0%,22.2%,0.4,0.245,0.322,0.386,0.709,0.141,0.299,326.0,-6.5,0.315,97.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,19,2026.0,DET,2777.0,9.8%,23.2%,0.4,0.233,0.313,0.392,0.706,0.16,0.279,318.0,-10.5,0.313,97.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,20,2026.0,TEX,2726.0,8.8%,22.6%,0.4,0.238,0.315,0.381,0.696,0.143,0.288,305.0,-17.1,0.31,96.0,2026-06-18
no_split,season,2026-3-18,2026-6-18,21,2026.0,TOR,2764.0,7.7%,19.6%,0.4,0.249,0.313,0.389,0.703,0.14,0.289,311.0,-16.3,0.31,96.0,2026-06-18
