rank,team,szn_2026,last_3,last_1,home,away,szn_2025,scraped_date
1,LA Dodgers,6.07,5.33,2.00,4.33,8.67,5.01,2026-04-13
2,Washington,5.93,6.00,8.00,5.50,6.22,4.24,2026-04-13
3,Houston,5.81,4.67,1.00,6.43,5.33,4.23,2026-04-13
4,Atlanta,5.63,8.00,13.00,5.33,6.00,4.47,2026-04-13
5,Milwaukee,5.33,3.33,6.00,6.11,4.17,4.87,2026-04-13
6,Minnesota,4.94,6.33,8.00,4.86,5.00,4.19,2026-04-13
7,Tampa Bay,4.67,5.00,5.00,4.17,5.00,4.41,2026-04-13
8,San Diego,4.63,7.00,7.00,4.70,4.50,4.28,2026-04-13
9,LA Angels,4.56,7.33,9.00,3.33,5.30,4.15,2026-04-13
10,Pittsburgh,4.40,4.00,6.00,4.17,4.56,3.60,2026-04-13
10,St. Louis,4.40,2.33,3.00,4.00,5.00,4.25,2026-04-13
10,Chi Cubs,4.40,3.33,7.00,4.44,4.33,4.80,2026-04-13
13,Miami,4.38,1.00,2.00,5.10,3.17,4.38,2026-04-13
13,Detroit,4.38,5.33,8.00,5.67,3.60,4.63,2026-04-13
15,NY Yankees,4.33,3.67,4.00,5.00,3.89,5.19,2026-04-13
16,Sacramento,4.20,5.33,1.00,7.67,3.33,4.52,2026-04-13
17,Boston,4.13,6.00,9.00,4.50,3.89,4.80,2026-04-13
18,Colorado,4.06,3.00,2.00,4.83,3.60,3.69,2026-04-13
19,Arizona,4.00,4.00,4.00,3.86,4.11,4.88,2026-04-13
19,Baltimore,4.00,5.00,6.00,4.56,3.17,4.18,2026-04-13
21,Seattle,3.94,7.67,6.00,5.00,2.17,4.68,2026-04-13
22,Texas,3.93,5.00,5.00,2.00,5.22,4.22,2026-04-13
23,NY Mets,3.88,2.00,0.00,3.44,4.43,4.73,2026-04-13
24,Toronto,3.80,5.33,2.00,4.17,2.33,5.02,2026-04-13
25,Cleveland,3.63,4.00,1.00,4.00,3.40,3.96,2026-04-13
26,Philadelphia,3.53,3.67,3.00,3.78,3.17,4.78,2026-04-13
27,Kansas City,3.38,3.00,5.00,4.10,2.17,4.02,2026-04-13
27,Cincinnati,3.38,5.00,6.00,3.56,3.14,4.42,2026-04-13
29,SF Giants,3.19,3.33,2.00,2.80,3.83,4.35,2026-04-13
30,Chi Sox,3.06,2.00,6.00,3.33,2.90,3.99,2026-04-13
