split,date_range,start_date,end_date,#,Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,updated_at
no_split,season,2026-3-18,2026-8-30,1,2026.0,CHC,5375.0,10.7%,21.6%,0.5,0.251,0.339,0.428,0.767,0.177,0.293,724.0,89.9,0.337,115.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,2,2026.0,LAD,5198.0,9.7%,20.5%,0.5,0.257,0.335,0.422,0.757,0.164,0.299,677.0,63.4,0.331,109.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,3,2026.0,WSN,5314.0,9.1%,21.5%,0.4,0.248,0.324,0.431,0.755,0.183,0.288,687.0,59.9,0.33,106.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,4,2026.0,MIL,5278.0,10.6%,21.4%,0.5,0.256,0.338,0.398,0.736,0.142,0.311,661.0,38.1,0.325,106.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,5,2026.0,CHW,5156.0,9.3%,23.9%,0.4,0.238,0.32,0.41,0.73,0.172,0.286,629.0,20.4,0.321,105.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,6,2026.0,TBR,5093.0,8.5%,18.5%,0.5,0.261,0.329,0.404,0.734,0.143,0.299,627.0,26.3,0.323,105.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,7,2026.0,MIN,5139.0,8.5%,21.1%,0.4,0.245,0.318,0.405,0.723,0.16,0.286,616.0,9.5,0.319,103.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,8,2026.0,BAL,5144.0,9.9%,24.4%,0.4,0.236,0.318,0.397,0.716,0.162,0.287,604.0,-2.7,0.316,103.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,9,2026.0,HOU,5142.0,8.8%,21.6%,0.4,0.241,0.316,0.409,0.725,0.168,0.278,612.0,4.9,0.317,103.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,10,2026.0,TEX,5073.0,8.7%,22.8%,0.4,0.241,0.316,0.395,0.711,0.154,0.29,590.0,-8.5,0.314,102.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,11,2026.0,BOS,5158.0,8.5%,21.3%,0.4,0.249,0.323,0.404,0.727,0.155,0.296,625.0,15.9,0.32,102.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,12,2026.0,PIT,5316.0,9.1%,24.5%,0.4,0.252,0.329,0.403,0.733,0.151,0.313,661.0,33.2,0.324,101.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,13,2026.0,DET,5120.0,9.2%,22.6%,0.4,0.239,0.316,0.4,0.715,0.16,0.285,600.0,-4.4,0.315,100.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,14,2026.0,NYY,5053.0,9.7%,24.8%,0.4,0.23,0.309,0.405,0.714,0.175,0.275,585.0,-11.7,0.313,100.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,15,2026.0,MIA,5122.0,9.2%,21.8%,0.4,0.248,0.326,0.398,0.724,0.15,0.298,618.0,13.9,0.32,100.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,16,2026.0,SEA,5071.0,9.0%,23.2%,0.4,0.228,0.308,0.374,0.682,0.146,0.272,545.0,-53.0,0.303,99.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,17,2026.0,ATL,5088.0,7.8%,21.6%,0.4,0.248,0.312,0.412,0.724,0.164,0.288,604.0,3.1,0.317,99.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,18,2026.0,SDP,5058.0,9.4%,21.7%,0.4,0.237,0.315,0.387,0.702,0.15,0.279,572.0,-25.1,0.31,99.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,19,2026.0,KCR,5145.0,8.4%,20.9%,0.4,0.248,0.317,0.402,0.718,0.154,0.292,604.0,-3.5,0.315,99.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,20,2026.0,SFG,5119.0,7.2%,21.4%,0.3,0.247,0.307,0.405,0.711,0.158,0.29,582.0,-21.8,0.311,97.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,21,2026.0,ARI,5211.0,8.8%,19.2%,0.5,0.244,0.316,0.398,0.714,0.154,0.281,606.0,-9.2,0.314,97.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,22,2026.0,STL,5191.0,8.4%,20.7%,0.4,0.24,0.315,0.381,0.696,0.141,0.281,579.0,-33.2,0.308,95.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,23,2026.0,ATH,5168.0,8.7%,22.5%,0.4,0.246,0.319,0.401,0.72,0.155,0.294,614.0,4.4,0.317,95.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,24,2026.0,NYM,5095.0,8.5%,22.7%,0.4,0.236,0.306,0.388,0.694,0.152,0.279,560.0,-41.0,0.306,94.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,25,2026.0,PHI,5112.0,8.5%,22.2%,0.4,0.243,0.313,0.401,0.715,0.159,0.285,593.0,-10.0,0.314,94.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,26,2026.0,CLE,5132.0,9.6%,21.5%,0.4,0.236,0.314,0.369,0.683,0.133,0.282,554.0,-51.6,0.304,94.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,27,2026.0,TOR,5105.0,7.4%,19.3%,0.4,0.246,0.307,0.381,0.687,0.135,0.284,547.0,-55.4,0.303,93.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,28,2026.0,LAA,5098.0,8.3%,25.1%,0.3,0.234,0.309,0.372,0.68,0.138,0.294,543.0,-58.4,0.302,93.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,29,2026.0,CIN,5107.0,9.5%,25.3%,0.4,0.228,0.307,0.394,0.701,0.166,0.276,573.0,-29.4,0.309,92.0,2026-08-30
no_split,season,2026-3-18,2026-8-30,30,2026.0,COL,5187.0,8.5%,22.7%,0.4,0.253,0.324,0.415,0.739,0.162,0.305,647.0,35.0,0.325,92.0,2026-08-30
no_split,last_30,2026-7-31,2026-8-30,1,2026.0,CHC,1055.0,9.7%,21.1%,0.5,0.26,0.337,0.479,0.816,0.219,0.287,156.0,31.0,0.353,125.0,2026-08-30
no_split,last_30,2026-7-31,2026-8-30,2,2026.0,BOS,1119.0,10.2%,18.4%,0.6,0.267,0.351,0.441,0.792,0.174,0.302,159.0,26.9,0.346,120.0,2026-08-30
no_split,last_30,2026-7-31,2026-8-30,3,2026.0,CHW,1057.0,10.8%,24.5%,0.4,0.237,0.33,0.426,0.756,0.189,0.284,139.0,13.8,0.332,113.0,2026-08-30
no_split,last_30,2026-7-31,2026-8-30,4,2026.0,SDP,1018.0,10.1%,19.6%,0.5,0.252,0.334,0.404,0.739,0.152,0.289,129.0,8.6,0.327,110.0,2026-08-30
no_split,last_30,2026-7-31,2026-8-30,5,2026.0,PHI,1051.0,11.2%,16.1%,0.7,0.269,0.353,0.408,0.761,0.139,0.303,140.0,15.7,0.335,108.0,2026-08-30
no_split,last_30,2026-7-31,2026-8-30,6,2026.0,KCR,1004.0,8.5%,18.7%,0.5,0.258,0.325,0.423,0.748,0.165,0.294,127.0,8.2,0.326,106.0,2026-08-30
