rank,team,szn_2026,last_3,last_1,home,away,szn_2025,scraped_date
1,Washington,5.19,1.33,2.0,5.4,5.0,4.24,2026-08-23
2,Chi Cubs,5.12,3.0,4.0,4.97,5.26,4.8,2026-08-23
3,LA Dodgers,4.99,5.0,4.0,4.34,5.65,5.01,2026-08-23
4,Pittsburgh,4.98,3.67,3.0,5.35,4.62,3.6,2026-08-23
5,Milwaukee,4.98,4.33,4.0,5.31,4.63,4.87,2026-08-23
6,Chi Sox,4.78,3.67,5.0,4.91,4.65,3.99,2026-08-23
7,Colorado,4.77,2.67,3.0,5.08,4.46,3.69,2026-08-23
8,Atlanta,4.69,1.33,1.0,5.0,4.38,4.47,2026-08-23
9,Minnesota,4.61,4.33,5.0,4.52,4.69,4.19,2026-08-23
10,Arizona,4.56,7.0,5.0,4.68,4.45,4.88,2026-08-23
10,Philadelphia,4.56,7.67,12.0,5.0,4.1,4.78,2026-08-23
12,Houston,4.54,3.33,3.0,4.42,4.67,4.23,2026-08-23
13,Tampa Bay,4.53,2.0,2.0,4.47,4.59,4.41,2026-08-23
13,Boston,4.53,5.0,3.0,4.51,4.55,4.8,2026-08-23
15,Detroit,4.5,2.0,1.0,4.49,4.5,4.63,2026-08-23
16,Baltimore,4.48,3.0,3.0,4.42,4.54,4.18,2026-08-23
17,St. Louis,4.44,6.33,3.0,3.77,5.11,4.25,2026-08-23
18,NY Yankees,4.43,4.0,3.0,4.55,4.32,5.19,2026-08-23
19,Miami,4.36,2.67,4.0,4.37,4.35,4.38,2026-08-23
20,Sacramento,4.32,2.0,4.0,4.7,4.01,4.52,2026-08-23
21,San Diego,4.28,5.0,7.0,4.03,4.52,4.28,2026-08-23
22,NY Mets,4.19,6.0,10.0,4.22,4.17,4.73,2026-08-23
23,Kansas City,4.19,4.67,3.0,4.82,3.58,4.02,2026-08-23
24,Cincinnati,4.11,6.67,11.0,4.0,4.23,4.42,2026-08-23
24,LA Angels,4.11,7.33,3.0,3.57,4.65,4.15,2026-08-23
26,SF Giants,4.02,2.67,2.0,4.03,4.01,4.35,2026-08-23
27,Cleveland,4.0,6.0,4.0,4.09,3.91,3.96,2026-08-23
28,Texas,3.97,1.33,0.0,3.94,4.0,4.22,2026-08-23
29,Toronto,3.95,3.33,4.0,3.82,4.09,5.02,2026-08-23
30,Seattle,3.93,5.0,5.0,3.83,4.03,4.68,2026-08-23
