rank,Name,Team,playerid,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN
1,Jacob Misiorowski,MIL,31623,115.0,100.49953854491285,,95.98734622877471,,,,92.22568240973467,88.01837867530617,,,92.52499961853027,,
2,Cristopher Sánchez,PHI,20778,132.2,,,,,,95.16247041590074,86.24081090978675,,,,86.98094641644022,,
3,Cam Schlittler,NYY,32095,123.0,97.82020982403621,,94.52607876646752,,,97.64543100063234,89.61071395874023,85.32198647573485,,,,,
4,Dylan Cease,TOR,18525,104.1,97.62678887818683,,,,,96.27784409208925,88.648099334969,,82.60000044576238,,83.03285682314919,,
5,Paul Skenes,PIT,33677,115.1,96.9182629347761,,,93.42293590580651,,96.70497442596587,84.91999891327649,81.8099983215332,,,88.77673604753282,,
6,Jesús Luzardo,PHI,19959,115.1,97.0933334350586,,,,,95.9807571099729,86.35866831278173,,,,86.17827202761984,,
7,Chris Sale,ATL,10603,105.0,96.04420038747017,,,,,95.45422578193772,79.41999940362595,,,,88.30765276539083,,
8,Chase Burns,CIN,35333,107.2,97.77343895177775,,,,,,90.43625421898602,81.9000015258789,,,90.06354173024495,,
9,Zack Wheeler,PHI,10310,100.0,95.24892068766862,,91.04940505254837,87.38666636149088,,94.7949373269383,81.26559588231078,79.8653538020577,,,,,
10,Yoshinobu Yamamoto,LAD,33825,119.2,96.04243101595816,,91.3970832824707,91.45900636282026,,95.42133327907986,87.13675318008814,77.0831855166275,,,,,
11,Reid Detmers,LAA,27468,114.2,94.12889376718564,,,,,93.45172487456223,86.12077886408025,72.32964827187696,,,83.66153822678785,,
12,Ranger Suarez,BOS,17277,91.1,91.69873797780708,,88.14664515552904,,,90.45467907643457,78.20526203356292,75.4156372321486,,,81.13269233703613,,
13,Shohei Ohtani,LAD,19755,85.2,98.06169105643657,,92.37777370876736,89.03245651512815,,96.52206005769618,85.13284331677006,75.17594060682713,,,,,
14,Davis Martin,CHW,21448,106.0,94.09187957692865,,89.6808692932129,,,92.8781461399912,87.16610883768632,81.86863708496094,,,90.3079833984375,,
15,Parker Messick,CLE,31986,117.2,94.02332814930016,,90.57301651485382,,,92.51128638575443,87.07641587167416,79.10895549717235,,,85.70070099162164,,
16,Casey Mize,DET,20492,80.2,93.61545621706675,,,87.95239654959065,,93.6102928834803,87.73824394010825,81.60508456472623,,,,,
17,Justin Wrobleski,LAD,31204,102.2,94.30995867262108,,90.52222188313802,,,93.49615390484149,86.10260287799959,74.51875009536744,,,85.51818193708148,,
18,Bryan Woo,SEA,30279,110.1,95.84194866280431,,,,,95.61508128682121,85.74113748162267,82.94999694824219,,,89.53177607170889,,
19,Logan Gilbert,SEA,22250,120.0,95.99676595929498,,91.06102920981014,81.56590007913523,,93.12222120496962,86.33789281460201,80.74093904431234,,,85.43111018428097,,
20,Braxton Ashcraft,PIT,23793,116.1,97.18268469281416,,,91.84468086729659,,96.88987886374778,91.80395010489005,84.95097150040496,,,,,
21,Nolan McLean,NYM,33703,113.1,96.13174551504629,,91.86236572265625,,,95.06750757837145,85.01221802150322,81.84779143429185,74.7750015258789,,88.15500055948893,,
22,Drew Rasmussen,TBR,25385,104.1,95.98081264108352,,90.06725499770221,,,95.49313186813187,84.53673475615832,80.37916776869032,,,90.03939495664655,,
23,Jacob deGrom,TEX,10954,105.1,97.24574592622254,,,,,96.15161428143901,91.11761882837989,80.72935702822625,,,89.76767204547751,,
24,George Kirby,SEA,25436,116.0,96.63287970991914,,93.12641503675928,,,96.8937162805776,87.16233309277158,,83.90297544570197,,88.77338710907966,,
25,Joe Ryan,MIN,21390,114.1,93.50104158434564,,,87.88898703285251,,93.14793867917405,82.07777820933948,,78.91162854571675,,,,
26,Sandy Alcantara,MIA,18684,136.2,97.49437383861493,,90.02046198577378,,,97.35992361753041,84.67112476847454,83.43733388264974,,,90.97395360192587,,
27,Shane Baz,BAL,22264,117.2,96.03179716001824,,89.55245391284029,,,95.15541436262191,,,85.30394314064965,,88.13758023984873,,
28,Cade Cavalli,WSN,27473,104.2,96.72588385186394,,92.9722233525029,,,96.11231751372848,85.72608807697388,,85.54613875546386,,88.82877640758487,,
29,Max Meyer,MIA,27474,111.0,95.09999985805777,,,,,93.56127144697774,89.52592296353129,,,,87.16939915724791,,
30,Payton Tolle,BOS,35466,89.2,96.03917013188844,,88.30314960629921,,,94.99901074702197,,82.52935903006737,,,88.52092991318814,,
31,Kevin Gausman,TOR,14107,115.2,93.90049702658582,,,84.01798644609899,,,84.05302960944898,,,,,,
32,Tarik Skubal,DET,22267,82.2,96.73866196173056,,,,,96.72987536671745,89.35536805923375,80.4249997138977,,,87.33698983028017,,
33,Dustin May,STL,19716,98.0,96.931849030756,,93.37528048740344,,,96.62132668661904,85.99381049836498,83.33669819963087,,,90.47476745320257,,
34,Kyle Harrison,MIL,27758,83.2,95.02476320673505,,,,,94.73199798583984,,82.1948652267456,,,86.27714298793248,,
35,Michael Soroka,ARI,18383,82.0,93.68883632197799,,88.98445851094014,,,93.3435116833403,82.8888914320204,80.61638873320011,,,85.90374917984009,,
36,Landen Roupp,SFG,30076,104.0,92.93670837788642,,88.92795292411263,,,93.3487801900724,,76.66765286403277,,,87.20296492666569,,
37,Shane McClanahan,TBR,21483,91.0,95.60224691669593,,,,,,88.25200051047585,82.13,,,86.989234741795,,
38,José Soriano,LAA,22100,118.0,97.19673833432405,,,92.27506634537674,,96.38157469297325,90.19278347369323,,85.28406369638633,,,,
39,Logan Webb,SFG,17995,107.0,92.38078841787254,,89.8656714899623,,,92.12520706555075,84.22330018077467,,,,86.06221604046954,,
40,Nick Martinez,TBR,12730,111.1,92.86703900385169,,89.2375004465987,,,92.51787962090697,86.02608738774839,80.03899963378906,,,78.4113954056141,,
41,MacKenzie Gore,TEX,22201,110.2,95.39869984282544,,89.92678496951149,,,95.17872278741065,85.69438188531426,81.78469428237604,,,86.65749954223632,,
42,Max Fried,NYY,13743,61.2,94.71948123287845,,92.0107314691311,,,93.11133233432112,80.34141340159407,73.88538536658653,,,85.4611114017547,,
43,Michael Wacha,KCR,14078,125.1,93.06613275378882,,89.27282236345138,,,93.22638871934679,85.08554242605186,76.13471455154024,,,80.55827625646613,,
44,Sean Burke,CHW,29878,87.1,94.7968578514903,,90.78666551378038,,,94.63598233517085,86.85364950138288,,79.66813972545347,,85.91612957369897,,
45,Foster Griffin,WSN,16432,117.1,91.48026376021535,,88.2172137150999,81.24403745318772,,91.2468084781728,79.91222206398292,77.80733022639889,,,82.31275484513263,,
46,Trevor Rogers,BAL,22286,96.2,93.51138848198785,,82.97125082015991,,,93.16402398086176,78.23333316379123,,,,87.22256274210045,,
47,Gavin Williams,CLE,30122,119.1,97.0270643321746,,92.31265862380403,,,96.71008420458027,87.38309275833602,82.70000048651211,,,,,
