rank,Name,Team,playerid,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
1,Jacob Misiorowski,MIL,31623,120.0,130.9067220683287,,118.49446428571427,,118.62983606557373,132.052,97.79928571428572,,,127.140469030598,100.5792309554981,128.0868253577744
2,Cristopher Sánchez,PHI,20778,138.2,,116.22044705882354,,,108.46572972972972,,124.39618925831203,,,117.97805730162239,98.7857747828757,116.03437580576575
3,Cam Schlittler,NYY,32095,130.1,117.10190156599553,110.58291457286434,106.67346863468634,,111.6029761904762,107.19858064516129,,,,112.14547517873262,105.22762817451307,115.51345161151488
4,Dylan Cease,TOR,18525,113.1,115.80637142857145,93.89537572254333,,,108.04459969325156,,107.39200000000001,89.90171122994651,,107.7536624561894,98.94035580511135,106.94251234700477
5,Paul Skenes,PIT,33677,120.2,94.75043478260869,97.06946341463416,,84.50333333333334,120.15152061152062,122.02799999999999,84.16953333333333,,,98.11109608555611,108.46064011190629,105.94738413705869
6,Jesús Luzardo,PHI,19959,122.1,98.14759295499022,111.23035812672177,,,121.87833385416666,,103.83290488431876,,,110.6211213515024,103.55778190707703,112.67250453142759
7,Chris Sale,ATL,10603,111.0,111.81078620689652,127.68780821917807,,,129.056700143472,,93.30558823529408,,,117.77313743711122,108.20479146608386,120.34195400077805
8,Parker Messick,CLE,31986,125.1,96.71440124416797,88.30746081504701,92.50237037037036,,94.61000000000001,99.04308457711444,99.44392523364483,,,95.74338948774238,104.76799526100191,103.6444523098879
9,Ranger Suarez,BOS,17277,95.1,83.87690851735016,96.1148538011696,91.3951677852349,,120.03052631578949,108.78246913580249,92.53163461538459,,,94.71090549000428,105.73147256855265,100.65012620923721
10,Yoshinobu Yamamoto,LAD,33825,125.2,105.73414141414143,103.87949152542373,93.925859375,102.90387475538161,101.14943089430895,100.88569037656903,,,,102.16039748504586,106.79860149314777,109.95167720114848
11,Davis Martin,CHW,21448,111.0,93.70555066079298,85.23190184049079,86.94869198312234,,94.13885245901642,93.50724999999998,86.45692307692308,,,90.24780911977808,95.01304580202219,86.63869761001571
12,Chase Burns,CIN,35333,107.2,107.25058473736371,,,,125.09580060422961,89.44,89.51645833333335,,,112.94738638906585,100.49067526054176,114.09548273527751
13,Zack Wheeler,PHI,10310,100.0,112.1192086330935,108.69215189873415,82.86666666666666,88.82741666666669,103.23788990825686,117.55700787401574,,,,104.03744272061992,107.8411095046039,113.10556350353856
14,Reid Detmers,LAA,27468,120.0,102.5013948256468,100.28896551724137,,,109.68068857589985,100.87952830188681,102.05632653061225,,,104.58408088775016,108.89413606053613,110.367283560651
15,Shohei Ohtani,LAD,19755,85.2,105.99348837209301,104.56579710144928,91.79777777777777,115.01403508771928,129.76480392156864,108.72827067669171,,,,114.14238487127115,97.93486723116025,111.60412664450652
16,Casey Mize,DET,20492,86.2,98.60872246696036,92.43773049645388,,87.16217252396167,76.07375722543351,86.78218749999999,,,,88.76411505983465,107.69613423671382,98.93806969907999
17,Bryan Woo,SEA,30279,115.1,111.72157517899761,106.83470031545741,,,111.36702479338842,111.6,82.98137931034485,,,108.8528779498121,108.00470343303294,113.55490430492785
18,Drew Rasmussen,TBR,25385,111.1,111.6515124153499,115.72219780219783,101.65756862745101,,112.80693877551019,84.99694444444444,111.0811111111111,,,108.22084805245142,109.05261198286897,114.99854548692286
19,Logan Gilbert,SEA,22250,125.2,101.40746630727766,106.61999999999999,91.82985294117648,141.10283524904213,110.70654708520182,104.13315436241611,108.95955555555557,,,109.22189267072545,105.67391003814922,113.6346554786529
20,Jacob deGrom,TEX,10954,110.1,106.9324128312413,99.41677419354839,,,112.30574225122349,104.11027522935778,107.60267241379312,,,108.6347379581189,108.09051924185954,117.20161249335862
21,Braxton Ashcraft,PIT,23793,122.1,90.48303886925797,102.19465587044532,,86.74574468085106,102.71224691358027,131.28928725701945,,,,105.373741694089,106.80774932873042,108.8780699921526
22,Cade Cavalli,WSN,27473,110.2,95.29141984732826,96.49392857142855,92.9606779661017,,119.8138679245283,,92.18344827586209,110.92836,,102.00406555637045,97.40256078593059,97.6917705772811
23,Justin Wrobleski,LAD,31204,102.2,92.49473396998636,90.68865384615384,85.4025,,106.95532479334,79.56,91.36909090909091,,,96.1730222486506,111.61015484652722,105.33109126754736
24,Tarik Skubal,DET,22267,90.0,116.75604838709678,120.2946923076923,,,110.1475935828877,116.26175438596493,121.9649557522124,,,117.84353318343064,106.01635711950529,121.09669222947332
25,Nolan McLean,NYM,33703,119.1,102.61373134328359,114.63966514459665,99.79440860215055,,93.57906249999999,119.58635036496351,102.90984126984125,,,107.18079419008514,96.55690150880785,106.95608935953679
26,Shane Baz,BAL,22264,122.0,102.45671274961595,90.08229299363057,96.13490797546012,,,,80.00305732484077,102.43287066246056,,98.49383376662972,101.70298747203539,102.04492035863181
27,Dustin May,STL,19716,104.0,101.73247216035635,113.94266233766236,89.25935483870967,,112.85184049079754,102.51232142857144,85.12035087719298,,,102.30033939846392,102.25888096893138,104.66414041774452
28,George Kirby,SEA,25436,116.0,91.89303501945523,114.04688524590163,83.20716981132077,,105.6485277246654,,83.33032258064516,105.36380952380952,,101.4059225794001,112.10743491306219,112.20960293120622
29,Joe Ryan,MIN,21390,114.1,115.04587283236994,106.7764948453608,,79.85885462555066,98.49587542087542,,,121.76102325581397,,107.44277491554242,107.86819343009668,111.78566506051831
30,Kevin Gausman,TOR,14107,121.2,97.39305472636816,,,100.71497986577184,89.37313131313132,,,,,97.83786519124612,107.71753466478197,105.20476440472628
31,Max Meyer,MIA,27474,111.0,96.89795348837208,92.06011560693642,,,100.62218429457391,,87.29934426229508,,,97.54184196942414,104.93653323013851,105.07917822590285
32,Landen Roupp,SFG,30076,110.0,100.49255813953489,94.40994134897362,91.38898876404495,,,117.53806841046274,85.73158163265306,,,98.47371274834445,106.58284133627481,105.38153048990361
33,Payton Tolle,BOS,35466,89.2,123.26298003072196,99.67597359735973,102.93529411764708,,,125.65537037037038,108.50883720930233,,,113.96566241406525,98.10911820381075,109.80437950519196
34,Gavin Williams,CLE,30122,126.1,106.85961373390555,94.13153005464478,82.30911392405064,,116.17725714285714,105.09351851851854,,,,104.5062925915233,104.55246267254586,107.52652213963896
35,Kyle Harrison,MIL,27758,83.2,107.94803317535545,101.25280000000002,,,,101.4130357142857,108.89757142857142,,,105.92872473046724,114.57485561383074,116.6658273992115
36,Sandy Alcantara,MIA,18684,143.2,97.12831353919239,101.55273056057868,103.18090032154343,,110.40147826086957,88.32973684210526,94.94722466960353,,,100.49410833729539,103.14769997257241,102.69839008977488
37,Shane McClanahan,TBR,21483,96.0,86.01903571428572,,,,112.62041237113402,102.51336538461538,134.01781321184512,,,107.59421436486723,94.4122210879894,102.30020525368883
38,Nick Martinez,TBR,12730,117.1,93.67053191489363,102.28339843750001,87.47884057971014,,96.50076923076921,87.60320000000003,110.80811529933482,,,99.43441293799204,105.62546055403337,104.2711589727949
39,Sean Burke,CHW,29878,93.1,119.51920138888892,87.70097345132743,88.20866666666666,,88.6396052631579,,81.84774193548387,84.68355029585797,,98.8561122062907,102.6032054364349,100.60157754056762
40,Max Fried,NYY,13743,66.2,102.1675294117647,108.18271028037384,99.24720720720721,,110.5642718446602,118.95014925373135,101.8781679389313,,,105.96681571909468,101.42185284934821,109.66531226415819
41,Michael Soroka,ARI,18383,82.0,94.78565320665084,95.47450381679391,93.06810810810812,,140.92666666666668,97.52479809976246,82.70287499999999,,,94.36562824401753,106.56870677451971,98.74225513987193
42,Trevor Rogers,BAL,22286,103.2,104.68882430647294,100.80820809248557,101.2540243902439,,122.1075925925926,,83.30775725593668,,,101.4218584274574,103.9611057755778,102.51302238445138
43,José Soriano,LAA,22100,123.0,94.74247826086959,104.53128598848367,,101.72631299734748,95.70515463917525,,,92.37593625498008,,98.12699742484871,104.8090289312787,105.46676047675986
44,MacKenzie Gore,TEX,22201,115.2,95.38506726457399,104.20819047619048,93.6498224852071,,100.62795918367348,107.55089552238806,93.00507177033492,,,98.45894156825122,100.37671811390845,98.76425785050387
45,Logan Webb,SFG,17995,113.0,95.8359241706161,109.28390804597699,84.30161904761903,,95.78683544303796,,99.36917050691244,,,99.45543280462937,104.32274699931702,105.34996094813926
46,Foster Griffin,WSN,16432,124.0,97.90529968454258,91.94494949494951,96.96317411402157,111.42716666666666,104.48777777777781,101.95937172774867,84.19950980392157,,,97.75418533807415,102.00172310318649,98.1746859780931
47,Michael Wacha,KCR,14078,132.1,94.08799242424242,90.0095302013423,73.76361204013378,,86.11383720930232,85.76078431372548,131.05799573560768,,,97.68209038380647,101.27640986847602,98.66975458405535
48,Michael King,SDP,19853,119.1,98.87866666666666,94.57062611806798,,,106.92599740537237,,82.19099437148218,,,95.01155154044189,100.3644585405329,96.6765331486507
49,Andre Pallante,STL,26108,112.1,96.42227188081935,107.95103857566764,,96.63999999999999,91.54939670932359,,,99.5273139158576,,97.43344419683996,105.82440588856929,104.11009662980784
50,Brandon Young,BAL,27819,97.2,97.03875,90.34950980392156,,93.63245161290324,106.564,91.10218390804597,,,,96.18630272937571,104.93964956926783,100.42174265101882
51,Sonny Gray,BOS,12768,106.2,89.8469372693727,103.92907407407407,84.08126984126983,,130.61328571428572,104.54897637795276,83.2745238095238,,,101.54725530691486,96.39263997209169,100.87040222368893
52,Ryan Weathers,NYY,23796,108.0,98.04215982721384,92.90349693251532,,,110.02487046632125,,102.92040449438203,,,102.15231731161748,108.73790575903602,109.91497602651806
53,Keider Montero,DET,22630,91.2,91.43031630170316,101.97281481481481,,,100.24008733624456,,81.37915343915344,91.83471502590673,,93.77632721312743,102.7670404701292,95.3878887246871
54,Kyle Bradish,BAL,24586,113.1,85.11012195121953,95.57773885350318,,,113.4722177419355,105.58232445520584,,,,100.72046901130055,100.0897741185357,102.55003086104833
55,Emerson Hancock,SEA,27470,105.1,92.05334394904459,97.72449612403102,100.04910994764398,,121.32470989761092,139.74977777777778,81.60409638554216,,,100.41900487127442,106.49969775130864,101.80680227539794
56,Taj Bradley,MIN,22543,114.2,107.31171960569553,,112.40609442060088,108.82571428571428,,111.62587570621469,,,,109.22570913589465,91.24687309614397,100.65312730031246
57,Nathan Eovaldi,TEX,9132,122.1,89.42783673469387,101.4609090909091,94.51643059490084,94.97061764705883,92.64714285714285,101.7259553349876,,,,96.11891136342635,107.55770719896186,105.99931292355653
58,Eury Pérez,MIA,27768,98.2,122.62536082474226,107.09758139534881,,,122.2721150997151,106.24244444444444,84.38,,,116.07309345120265,92.71964000927588,106.02944223732241
59,Jake Bennett,BOS,31959,59.1,87.36509363295879,99.35155963302752,75.55799999999999,,101.24208333333333,110.29999999999998,86.42234146341463,,,91.76973617161445,114.62682904365646,104.60417972245655
60,Walbert Ureña,LAA,29357,85.2,72.62057877813506,108.41625282167041,,,122.27330275229357,,95.54184486373164,,,98.56678884980303,103.24660193713854,104.19116094773041
61,Eduardo Rodriguez,ARI,13164,122.2,91.27691906005221,94.97976744186046,94.63265822784813,,,89.6284705882353,87.46367112810708,,,90.76382305727543,108.0381813699489,101.58714247317744
62,Joey Cantillo,CLE,23335,109.2,88.61921092564492,,76.56245283018869,,83.36709090909092,99.49393346379647,107.53552894211575,,,95.55632526032691,96.04997709481437,93.02672155704745
