rank,Name,Team,playerid,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+
1,Jacob Misiorowski,MIL,31623,139.0,162.18650554351902,58.57832335095471,276.8712062907342,71.83431715551298,182.5529763558757,65.93425661677628,62.14209286396232,57.278104810234275,79.30375067830612,113.45532030235512,42.161786943569375,50.694497090783166,48.35837066196713,90.94713741082131,107.21457752357449,96.68348408729305
2,Cristopher Sánchez,PHI,20778,161.2,124.17419369617065,61.73808580328631,201.1306244073027,61.76270210214702,127.2936618453099,63.289048201030674,104.62815126625775,93.28586585628646,118.47611496684615,113.28438225577308,59.002058074715,60.93857809606633,61.308335373049275,92.6614186901819,137.05866624468678,63.37236777979547
3,Cam Schlittler,NYY,32095,152.0,130.35954132039967,58.78122009903608,221.77071098282198,70.85282055476183,140.35497819716252,63.28832837584856,80.81447762549745,72.3041456949784,92.1158019063635,112.31633322341268,53.21404279315946,61.2065824351516,68.38182819160629,96.57388043571639,101.38639248270138,100.24592376099095
4,Dylan Cease,TOR,18525,137.2,153.07062848850893,112.6228411980255,135.9143609507067,50.29055237300025,162.49254273290535,119.5550924189596,73.83065956054995,81.50698073196865,96.62583573635479,108.58186617094591,58.44536700176084,56.27320736102056,65.01889468559231,98.09499679043121,106.39772994040086,94.26621600509037
5,Chris Sale,ATL,10603,129.0,133.14979371991186,57.010961812612884,233.5512216346685,47.632535068546304,141.77827179584224,60.705427788005295,89.14432236535058,77.74128046771148,106.58832084736964,111.54579602015889,51.52013982345197,55.479148552225745,66.05395870255839,106.06315431803604,106.59588904608681,89.79418034283007
6,Jesús Luzardo,PHI,19959,150.1,132.10725696999813,80.36974671521264,164.37436521702227,61.309727569778275,136.4772826778924,83.02832364522155,93.02062785089319,88.09696125207275,108.74714862662029,101.83296486586373,76.14012953683,64.31552079576176,69.88523875266291,97.93490942186868,116.12646254812728,83.49661512708822
7,Chase Burns,CIN,35333,131.0,123.74164271396427,92.23092893120992,134.16502240822936,76.22114627091648,131.51383485246697,98.0239329858157,83.95144921785442,83.56700661174456,93.0497341292125,113.99644267383786,56.42409254899358,71.14788289529434,83.20373520061443,101.86079390011986,87.13145673027,113.06280369511586
8,Drew Rasmussen,TBR,25385,129.1,107.811668735476,46.732673068514714,230.6986784047626,71.37456290956867,117.506970986765,50.9352587087894,83.16022204196494,70.12005961640034,87.28810778832609,106.17902310852448,66.26771956957155,69.45156304450332,76.92677501108784,100.00481075359329,106.17354591070205,93.55674411836125
9,Paul Skenes,PIT,33677,134.2,132.32996731130197,72.16583856986331,183.3692699483964,79.84934287544822,137.5191548352179,74.99574543559821,93.21565782122774,85.83945331652933,106.70841069863819,92.32075477164021,91.0479477856893,71.4296664801326,76.01253204233403,97.27610818185252,95.1856250394486,106.59799769166123
10,Yoshinobu Yamamoto,LAD,33825,145.1,100.45785474125617,61.44743085883574,163.48585515244224,79.27375751670108,112.05838391914695,68.54316637784106,76.8304629390164,68.47755134089249,77.01323362874196,111.0456497289667,62.57117146531728,77.07386670334054,80.72197159456084,86.66887295503358,113.28608280509542,92.22140210762133
11,Parker Messick,CLE,31986,142.1,104.59389646094293,73.85104565621316,141.62817363814503,75.66484066370971,112.3575871183308,79.33279292019007,85.24738711968115,79.37458627928568,88.21082111710193,111.24665389629125,63.00747502564019,79.39730003471962,83.06405264734147,93.64330582972188,108.88346763849115,93.87177703440553
12,Reid Detmers,LAA,27468,143.0,122.4348467610306,79.01975634015812,154.9420569679262,91.45039394354806,128.9437852223006,83.22064712968717,84.58845854240865,81.15432320737902,91.02635004473652,97.06035743653145,89.63952279895456,78.04827871363194,84.541393879138,93.91033459404913,86.2297391550215,117.37458081994356
13,Ranger Suarez,BOS,17277,108.0,106.78089062744618,75.42949624205606,141.56382641342006,42.73662209074682,110.50837237215072,78.06257665861486,98.3397047540429,91.08711889398668,107.38023666294343,100.48180551813282,74.92012372872026,65.23662303973788,80.20297491999246,143.0666746890273,97.93079630912536,80.8857703318347
14,Tarik Skubal,2 Tms,22267,113.2,124.936021291561,46.231308478094775,270.2203996131862,81.19127174586572,135.79117703326742,50.25415695214692,88.01074865978757,73.64393645650468,97.86358992648955,105.29785838472743,68.33516771589991,65.52845206716394,65.36881408762814,106.87293087196115,104.2811991956335,92.24837388751739
15,Zack Wheeler,PHI,10310,115.1,127.51930897873012,66.04397474272751,193.08243237690604,93.2344928341276,138.24357384955294,71.5982119817099,84.48468263742353,76.33313556929352,92.70637717670618,112.10719580198469,68.00205111904506,72.76309181925174,68.47842148513969,105.26732265596792,104.37020283985972,92.61260048412575
