rank,Name,Team,playerid,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
1,Jacob Misiorowski,MIL,31623,13.539130547060184,2.19130436599818,6.17857143,0.7043478319279864,0.39407745,0.06378132,0.33029613,0.1513647642679901,0.7739130498961826,0.23529411764705882,0.81753555,37.225356601463865,48.208415927150654,49.28821208823987,1.5652174042844142,2.054236295516189,-0.48901889123177456,2.096597345286346,2.216612710339886
2,Cristopher Sánchez,PHI,20778,10.24371878933008,1.6959799320082916,6.04,0.81407036736398,0.27454545,0.04545455,0.22909091,0.255278310940499,1.1909547966991558,0.33798882681564246,0.80578512,63.024581675136325,61.46032038517893,60.90488769290142,2.7135678912132666,2.6616865906696487,0.051881300543617836,2.590488300223446,2.829543968035325
3,Cam Schlittler,NYY,32095,10.609756426609827,1.8292683494154875,5.8,0.878048807719434,0.29652352,0.05112474,0.24539877,0.20217391304347826,0.9593496232490113,0.26732673267326734,0.80798479,52.91216809900761,63.800426430227155,71.23458799617491,2.195122019298585,2.7242963842961436,-0.5291743649975587,2.9861390931832346,3.0167517032151747
4,Dylan Cease,TOR,18525,13.370607436140732,3.8817892556537608,3.44444444,0.6038338842128073,0.36299766,0.10538642,0.25761124,0.19525065963060687,1.1405751146241914,0.3087557603686636,0.76648841,64.11904893610986,56.15284264538262,62.95881444396659,2.6741214872281462,2.387560355127053,0.28656113210109346,2.6390953939619215,2.97548962226979
5,Paul Skenes,PIT,33677,10.76878634050582,2.028901774298198,5.30769231,0.8583815198953915,0.29677419,0.05591398,0.24086022,0.2175925925925926,1.0404624483580502,0.29328621908127206,0.68100358,79.5310609803668,66.37923023951056,74.06676239100484,3.433526079581566,2.811612523583709,0.6219135559978568,3.1500744576263613,3.0729085820980773
6,Jesús Luzardo,PHI,19959,11.158959937416691,2.8872833404504727,3.86486486,0.7803468487703981,0.29606625,0.07660455,0.2194617,0.23234624145785876,1.2052023553231703,0.32167832167832167,0.72727273,79.74613386452386,66.9265169120665,69.00443465688156,3.4335261345897514,2.898317724279717,0.5352084103100343,2.934846111419688,3.175181053987123
7,Chris Sale,ATL,10603,10.542857334370519,2.142857181782626,4.92,0.6857142981704403,0.28873239,0.05868545,0.23004695,0.2193877551020408,1.0571428763460955,0.2988505747126437,0.83639706,48.32408716690467,65.34865514632962,73.61194207083814,2.057142894511321,2.7254578294126897,-0.6683149349013688,3.130737458824244,3.1390201662512567
8,Chase Burns,CIN,35333,10.365325230420193,3.2600619676321574,3.17948718,1.0030959900406637,0.28637413,0.09006928,0.19630485,0.20304568527918782,1.1052631742114722,0.26356589147286824,0.88062622,54.53643861950055,74.75085528003493,84.52600936497113,2.424148642598271,3.338608363127903,-0.9144597205296323,3.594756538085101,3.598863711874702
9,Reid Detmers,LAA,27468,10.2000004053116,2.7750001102685973,3.67567568,0.9750000387430207,0.27586207,0.07505071,0.20081136,0.21017699115044247,1.1000000437100745,0.2706270627062706,0.67062818,95.40434083772075,77.06963742571135,87.71848540679117,4.050000160932547,3.2730768905745617,0.7769232703579854,3.6773896087846913,3.5509031787130154
10,Zack Wheeler,PHI,10310,10.530000200843816,1.9800000377655036,5.31818182,0.9900000188827518,0.30789474,0.05789474,0.25,0.1853932584269663,0.8800000167846683,0.2412280701754386,0.8847185,50.167567008600116,67.3444547426089,65.05263232624793,2.1600000411987312,2.916410213661194,-0.7564101724624628,2.7668325167200054,2.9230529851624856
11,Yoshinobu Yamamoto,LAD,33825,8.498607355221498,1.8802228661994465,4.52,0.9777158904237122,0.24835165,0.05494505,0.19340659,0.1873536299765808,0.8774373375597417,0.22259136212624583,0.77951002,66.01694528119204,76.11544725257595,78.48316305885274,2.782729841975181,3.33203696122909,-0.5493071192539092,3.3378407702496533,3.4887284868062785
