rank,Name,Team,playerid,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
1,Jacob Misiorowski,MIL,31623,0.22602739726027396,1.175438596,0.176079734,0.445182724,0.378737541,0.096491228,0.114035087,82.0,4.887417249410625,732.0,1538.0,2270.0,0.30491803,0.36393443,0.33114754,0.18688525,0.51803279,0.29508197
2,Cristopher Sánchez,PHI,20778,0.3422222222222222,2.375,0.181818181,0.575757575,0.242424242,0.089285714,0.125,104.0,5.560396144610039,867.0,1715.0,2582.0,0.45474138,0.35344828,0.19181034,0.15086207,0.48922414,0.35991379
3,Chris Sale,ATL,10603,0.3076923076923077,1.29032258,0.204481792,0.448179271,0.347338935,0.096774193,0.064516129,82.0,5.125000067883069,723.0,1558.0,2281.0,0.37325905,0.38718663,0.23955432,0.1281337,0.54874652,0.32311978
4,Cam Schlittler,NYY,32095,0.2654639175257732,1.104575163,0.184810126,0.427848101,0.387341772,0.098039215,0.091503267,65.0,3.574338203561766,859.0,1728.0,2587.0,0.3325,0.385,0.2825,0.1775,0.4925,0.33
5,Dylan Cease,TOR,18525,0.27124183006535946,1.162393162,0.194267515,0.433121019,0.372611464,0.153846153,0.085470085,66.0,3.951219620812188,970.0,1581.0,2551.0,0.46835443,0.30379747,0.2278481,0.21202532,0.50316456,0.28481013
6,Jesús Luzardo,PHI,19959,0.3020304568527919,1.447761194,0.182044887,0.483790523,0.334164588,0.089552238,0.104477611,95.0,5.2453989571436415,948.0,1704.0,2652.0,0.43627451,0.34803922,0.21568627,0.16176471,0.55147059,0.28676471
7,Parker Messick,CLE,31986,0.2556390977443609,1.229729729,0.185185185,0.449382716,0.365432098,0.182432432,0.094594594,61.0,3.541935680004373,859.0,1541.0,2400.0,0.39467312,0.34140436,0.26392252,0.17433414,0.51331719,0.31234867
8,Chase Burns,CIN,35333,0.2890855457227139,0.830065359,0.2,0.362857142,0.437142857,0.156862745,0.091503267,94.0,6.057279346571298,846.0,1456.0,2302.0,0.39204545,0.36079545,0.24715909,0.13636364,0.55397727,0.30965909
9,Paul Skenes,PIT,33677,0.30140845070422534,0.953020134,0.196132596,0.392265193,0.411602209,0.134228187,0.093959731,89.0,5.524138042303103,870.0,1571.0,2441.0,0.39673913,0.32608696,0.27717391,0.17663043,0.49184783,0.33152174
10,Yoshinobu Yamamoto,LAD,33825,0.22474747474747475,1.349650349,0.172413793,0.475369458,0.352216748,0.132867132,0.111888111,83.0,4.72784818687647,811.0,1563.0,2374.0,0.4684466,0.31796117,0.21359223,0.1868932,0.49029126,0.32281553
