rank,Name,Team,playerid,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,Jacob Misiorowski,MIL,31623,11.0,5.0,0.0,22.0,22.0,133.0,13.80451137718051,2.030075202526546,0.8796992544281698,0.22267206477732793,0.82207207,0.4609375,0.138297872,100.55586353386238,1.7593985088563395,1.9249176345109622,2.16199972527516,1.9648790951148811,5.100689317236605
2,Cristopher Sánchez,PHI,20778,15.0,4.0,0.0,25.0,25.0,155.2,10.464668265180048,2.023554636913269,0.7516060079963571,0.33495145631067963,0.81597222,0.577830188,0.123809523,,2.543897257833824,3.300289900531256,2.6103422078093708,2.5492604094323603,5.000632392513576
3,Cam Schlittler,NYY,32095,10.0,6.0,0.0,25.0,25.0,146.2,11.168182157071179,1.9022727849956405,0.8590909351593214,0.2630057803468208,0.80882353,0.414084507,0.098591549,97.96857107668198,2.2090909761239694,2.931351297163009,2.5952020411550505,2.8249297903034702,4.651826917428936
4,Dylan Cease,TOR,18525,7.0,5.0,0.0,22.0,22.0,131.1,13.088832804123951,3.837563544664614,0.6167512839639558,0.2814814814814815,0.79147641,0.440433212,0.09,97.43593069365531,2.398477215415384,2.732777742901254,2.4092421872954497,2.674953580296841,4.517581501012131
5,Jesús Luzardo,PHI,19959,10.0,5.0,0.0,24.0,24.0,143.2,11.025522383309989,2.756380595827497,0.7517401624984084,0.3068181818181818,0.72983355,0.502793296,0.107142857,97.13044794497283,3.3201857177013037,2.8482262809394863,2.8217523537089964,2.920065861779013,4.259847861263664
6,Chris Sale,ATL,10603,12.0,7.0,0.0,21.0,21.0,123.0,11.04878065913721,2.0487805195751116,0.5853658627357462,0.30303030303030304,0.80929487,0.455445544,0.075471698,96.18227768415868,2.195121985259048,3.105662642471801,2.3963661250769324,2.859866683719778,4.223461726782387
7,Paul Skenes,PIT,33677,9.0,11.0,0.0,25.0,25.0,134.2,11.094059620358243,2.4727723250196085,0.9356435824398518,0.3058103975535168,0.66951567,0.4,0.101449275,96.8384537656083,3.876237698679386,3.1056922461144625,2.990184052321984,3.1952647372404983,3.663454816720988
8,Drew Rasmussen,TBR,25385,12.0,5.0,0.0,23.0,23.0,129.1,9.255154730169107,1.600515479653304,0.835051554601724,0.25075528700906347,0.76709797,0.436578171,0.096,96.00240694922547,2.7835051820057464,3.093344738831464,2.924653788157206,3.186542599715673,3.6581838153608817
9,Parker Messick,CLE,31986,9.0,6.0,0.0,23.0,23.0,136.2,8.956098040116135,2.5024391582677437,0.856097606775807,0.2570621468926554,0.80128205,0.442896935,0.097014925,94.06377853393555,2.568292820327421,3.0672529808254687,3.1817319948059124,3.434475870896739,3.4908338871921
10,Chase Burns,CIN,35333,13.0,2.0,0.0,22.0,22.0,124.0,10.379032417713171,3.3387097287748664,0.9435484016102883,0.26755852842809363,0.82101806,0.355987055,0.095588235,97.7069241595953,2.6129032659977214,3.1957939765811205,3.2728413550092084,3.5759026214439587,3.483230299413485
11,Ranger Suarez,BOS,17277,4.0,3.0,0.0,21.0,21.0,108.0,9.166666990444995,2.583333424579953,0.5000000176606361,0.30847457627118646,0.72593801,0.402684563,0.063157894,91.72854890296207,3.2500001147941346,3.5816868897196086,2.70892258148298,3.3228293068493553,3.369074620985513
12,Yoshinobu Yamamoto,LAD,33825,11.0,7.0,0.0,21.0,21.0,139.1,8.203349413309247,2.0669856789440626,0.9688995370050293,0.21690140845070421,0.80373832,0.471232876,0.114503816,95.95116138632598,2.64832540114708,3.1451484985267495,3.4309676117000913,3.4595663563294874,3.3306267989669363
13,Bryan Woo,SEA,30279,8.0,8.0,0.0,23.0,23.0,132.1,8.977330061072536,1.9042821341669014,0.8841309908632042,0.2900552486187845,0.65022422,0.37433155,0.082802547,95.98392770401554,4.148614649435035,3.5833099207721064,3.1321896908843834,3.657211734983093,3.212791327175895
14,Zack Wheeler,PHI,10310,10.0,4.0,0.0,20.0,20.0,115.1,10.690751651353951,2.2630058240092303,1.0924855702113525,0.2656826568265683,0.81300813,0.438596491,0.137254901,95.2178938123915,2.887283292701432,2.7742699699949926,3.113975046529314,2.8793047877666105,3.141704858002737
15,Sandy Alcantara,MIA,18684,13.0,6.0,0.0,25.0,25.0,163.2,7.038696647048867,2.3095723373129093,0.9348268984361776,0.27708333333333335,0.74200913,0.436734693,0.094972067,97.54821275155756,3.5193483235244334,3.633422113318597,3.7636106945094983,4.074579360221852,3.035343936762274
16,Reid Detmers,LAA,27468,3.0,8.0,0.0,24.0,24.0,135.0,10.400000367341232,2.8666667679209805,1.1333333733641084,0.26646706586826346,0.69659443,0.357348703,0.107594936,94.25150589933415,4.0000001412850885,3.473814363269961,3.449663348387626,3.590381013524552,3.0312337019098927
17,Tarik Skubal,2 Tms,22267,7.0,6.0,0.0,18.0,18.0,107.2,10.699690749982114,1.5046440117162347,1.0030960078108233,0.2734375,0.75963719,0.432950191,0.126315789,96.99816765810358,2.9256966894482344,2.992887467370921,2.7913672589896037,2.682716394758358,3.014994369243253
18,Shane Baz,BAL,22264,4.0,12.0,0.0,24.0,24.0,139.1,7.8803830627873275,3.0358852782869215,0.6459330379333875,0.31971153846153844,0.67597765,0.379716981,0.0625,96.00417021132007,4.004784835187002,4.175640577231072,3.337666180108658,4.14892089415748,2.9852433720721234
19,Shohei Ohtani,LAD,19755,8.0,2.0,0.0,14.0,14.0,85.2,9.980544821153224,2.7315175299998296,0.42023346615381996,0.24401913875598086,0.81081081,0.511848341,0.057142857,98.05319072394971,1.7859922311537348,2.7089243429420624,2.5890205877558463,3.223196469567377,2.970935304490814
20,Gavin Williams,CLE,30122,11.0,6.0,0.0,24.0,24.0,144.2,11.509216868056429,2.550691305893587,1.3686636275526562,0.2701863354037267,0.76104746,0.448680351,0.169230769,97.26023122709091,3.546083035022791,3.735864920342669,3.411090207978371,2.7991025715292452,2.9443434550526515
21,Jacob deGrom,TEX,10954,8.0,7.0,0.0,22.0,22.0,118.2,10.921348548660891,2.2752809476376856,1.2893258703280217,0.29491525423728815,0.75317604,0.351612903,0.124087591,97.43523789366944,3.8679776109840653,3.582678533315552,3.273113193808143,3.164393225867734,2.9079337063305717
22,Casey Mize,2 Tms,20492,4.0,7.0,0.0,18.0,18.0,96.0,8.625000514090091,2.2500001341104587,0.6562500391155505,0.2813688212927757,0.71725572,0.325842696,0.0546875,93.73564205586791,3.375000201165688,3.385505715499601,2.891792953759431,3.969166512680464,2.889419150472671
23,Max Fried,NYY,13743,4.0,3.0,0.0,14.0,14.0,81.1,8.299180554930357,2.7663935183101196,0.11065574073240478,0.2535885167464115,0.69095477,0.485436893,0.013888888,95.21103001068526,2.8770492590425243,2.366364559623061,2.390768355933673,3.5755921840143774,2.851495638670382
