rank,Name,Team,playerid,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
1,Jacob Misiorowski,MIL,31623,11.0,4.0,1.5750000125169754,20.0,20.0,12.0,1.0,1.0,0.0,0.0,0.0,120.0,456.0,62.0,29.0,21.0,10.0,28.0,0.0,9.0,5.0,1.0,185.0
2,Cam Schlittler,NYY,32095,10.0,6.0,2.041463481113361,23.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,136.2,538.0,98.0,38.0,31.0,12.0,26.0,0.0,6.0,0.0,0.0,165.0
3,Cristopher Sánchez,PHI,20778,13.0,4.0,2.725961588455376,22.0,22.0,15.0,1.0,1.0,0.0,0.0,0.0,138.2,578.0,139.0,48.0,42.0,12.0,28.0,0.0,4.0,3.0,0.0,157.0
4,Dylan Cease,TOR,18525,7.0,5.0,2.461764774932995,19.0,19.0,9.0,1.0,1.0,0.0,0.0,0.0,113.1,457.0,75.0,36.0,31.0,7.0,48.0,0.0,3.0,3.0,1.0,167.0
5,Chris Sale,ATL,10603,12.0,6.0,2.0769231107813373,20.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,117.0,471.0,93.0,32.0,27.0,8.0,26.0,0.0,10.0,0.0,0.0,143.0
6,Paul Skenes,PIT,33677,9.0,9.0,3.6546962114271544,22.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,120.2,490.0,100.0,56.0,49.0,11.0,28.0,0.0,8.0,1.0,0.0,149.0
7,Jesús Luzardo,PHI,19959,9.0,5.0,3.5673576363454997,22.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,128.2,537.0,111.0,57.0,51.0,12.0,41.0,0.0,9.0,5.0,1.0,157.0
8,Parker Messick,CLE,31986,8.0,6.0,2.585106527227908,21.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,125.1,496.0,94.0,39.0,36.0,11.0,36.0,2.0,1.0,5.0,1.0,122.0
9,Ranger Suarez,BOS,17277,4.0,3.0,3.0209791217143427,18.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,95.1,391.0,84.0,34.0,32.0,5.0,26.0,0.0,2.0,0.0,0.0,103.0
10,Yoshinobu Yamamoto,LAD,33825,11.0,6.0,2.721485445562477,19.0,19.0,15.0,1.0,0.0,0.0,0.0,0.0,125.2,481.0,85.0,39.0,38.0,13.0,28.0,1.0,3.0,2.0,0.0,118.0
11,Davis Martin,CHW,21448,9.0,5.0,3.6153847332615237,21.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,117.0,488.0,113.0,47.0,47.0,7.0,35.0,0.0,6.0,7.0,1.0,106.0
12,Chase Burns,CIN,35333,12.0,1.0,2.396449737950186,20.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,112.2,455.0,85.0,34.0,30.0,13.0,41.0,0.0,0.0,4.0,0.0,128.0
13,Reid Detmers,LAA,27468,3.0,7.0,4.0320001538086,22.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,125.0,513.0,99.0,59.0,56.0,15.0,38.0,0.0,4.0,3.0,0.0,145.0
14,Shohei Ohtani,LAD,19755,8.0,2.0,1.7859922311537348,14.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,85.2,340.0,55.0,21.0,17.0,4.0,26.0,0.0,6.0,0.0,1.0,95.0
15,Casey Mize,DET,20492,4.0,6.0,2.7000001683602073,16.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,86.2,341.0,67.0,27.0,26.0,5.0,19.0,0.0,1.0,1.0,0.0,85.0
16,Tarik Skubal,DET,22267,7.0,5.0,2.79310354931318,16.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,96.2,374.0,74.0,33.0,30.0,10.0,14.0,0.0,4.0,0.0,0.0,116.0
17,Zack Wheeler,PHI,10310,10.0,2.0,2.533980629448393,17.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,103.0,396.0,72.0,29.0,29.0,13.0,23.0,0.0,2.0,1.0,0.0,123.0
18,Drew Rasmussen,TBR,25385,9.0,5.0,3.0718563225095865,20.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,111.1,439.0,85.0,40.0,38.0,12.0,19.0,0.0,6.0,3.0,0.0,112.0
19,Bryan Woo,SEA,30279,7.0,7.0,4.369942244711002,20.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,115.1,475.0,107.0,60.0,56.0,12.0,24.0,1.0,3.0,2.0,1.0,114.0
20,Jacob deGrom,TEX,10954,7.0,6.0,3.670694938080158,20.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,110.1,446.0,94.0,45.0,45.0,16.0,24.0,2.0,0.0,3.0,0.0,132.0
21,Logan Gilbert,SEA,22250,8.0,6.0,3.4376659042381736,21.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,125.2,496.0,98.0,48.0,48.0,15.0,27.0,1.0,5.0,3.0,0.0,133.0
22,Braxton Ashcraft,PIT,23793,10.0,4.0,4.0463216310319625,21.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,122.1,507.0,115.0,60.0,55.0,16.0,30.0,0.0,6.0,1.0,0.0,135.0
23,Cade Cavalli,WSN,27473,8.0,4.0,3.5485715349314195,23.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,116.2,503.0,115.0,56.0,46.0,10.0,36.0,0.0,12.0,3.0,1.0,130.0
24,Nolan McLean,NYM,33703,7.0,7.0,3.31843581606969,21.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,119.1,496.0,90.0,55.0,44.0,11.0,43.0,0.0,13.0,2.0,0.0,142.0
25,Dustin May,STL,19716,5.0,7.0,4.376146906248581,21.0,21.0,10.0,1.0,1.0,0.0,0.0,0.0,109.0,459.0,105.0,56.0,53.0,7.0,35.0,0.0,7.0,7.0,0.0,106.0
26,Joe Ryan,MIN,21390,6.0,7.0,3.515235495079905,22.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,120.1,498.0,109.0,58.0,47.0,17.0,25.0,0.0,5.0,2.0,0.0,135.0
27,Gavin Williams,CLE,30122,10.0,6.0,3.7125000619590294,22.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,133.1,532.0,105.0,58.0,55.0,21.0,38.0,0.0,3.0,4.0,0.0,168.0
28,Sandy Alcantara,MIA,18684,11.0,6.0,3.8230089140868215,23.0,23.0,16.0,1.0,1.0,0.0,0.0,0.0,150.2,625.0,143.0,69.0,64.0,17.0,39.0,0.0,7.0,1.0,1.0,115.0
29,Shane Baz,BAL,22264,4.0,9.0,3.983606713076369,21.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,122.0,526.0,125.0,64.0,54.0,9.0,44.0,1.0,3.0,5.0,0.0,107.0
30,Kevin Gausman,TOR,14107,4.0,10.0,4.512328896811545,22.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,121.2,515.0,119.0,67.0,61.0,15.0,35.0,1.0,1.0,1.0,3.0,123.0
31,Trevor Rogers,BAL,22286,6.0,7.0,4.267477376829696,20.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,109.2,463.0,108.0,57.0,52.0,10.0,32.0,0.0,1.0,2.0,0.0,89.0
32,Max Meyer,MIA,27474,9.0,1.0,2.6756757216526705,20.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,111.0,462.0,85.0,39.0,33.0,11.0,41.0,0.0,7.0,5.0,0.0,121.0
33,Justin Wrobleski,LAD,31204,11.0,2.0,2.7331288743330493,17.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,108.2,432.0,90.0,33.0,33.0,12.0,20.0,0.0,4.0,1.0,0.0,85.0
34,Max Fried,NYY,13743,4.0,3.0,3.2296651454557104,12.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,69.2,271.0,49.0,25.0,25.0,1.0,22.0,0.0,2.0,0.0,0.0,61.0
35,Logan Webb,SFG,17995,6.0,7.0,3.932773140761216,19.0,19.0,12.0,1.0,0.0,0.0,0.0,0.0,119.0,486.0,103.0,55.0,52.0,9.0,30.0,0.0,6.0,1.0,0.0,93.0
36,Landen Roupp,SFG,30076,7.0,9.0,4.117302213993886,21.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,113.2,475.0,95.0,56.0,52.0,8.0,48.0,0.0,4.0,1.0,0.0,114.0
37,Payton Tolle,BOS,35466,6.0,6.0,3.315789573542632,17.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,95.0,389.0,78.0,39.0,35.0,11.0,27.0,0.0,3.0,2.0,1.0,103.0
38,MacKenzie Gore,TEX,22201,6.0,9.0,4.769021875078887,23.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,122.2,523.0,110.0,65.0,65.0,16.0,44.0,0.0,6.0,1.0,0.0,136.0
39,Kyle Harrison,MIL,27758,8.0,2.0,3.0119522827863436,17.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,83.2,341.0,70.0,28.0,28.0,10.0,20.0,0.0,4.0,2.0,0.0,101.0
40,Shane McClanahan,TBR,21483,9.0,6.0,3.0937500922009376,19.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,96.0,397.0,76.0,40.0,33.0,7.0,33.0,0.0,3.0,3.0,0.0,88.0
