rank,Name,Team,playerid,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA
1,Cristopher Sánchez,PHI,20778,175.1,480.0,89.26870979163914,104.9,112.7,2.5073684210526315,34.0,0.07083333,200.0,0.41666667,2.515209171077764,3.266756911581473
2,Jacob Misiorowski,MIL,31623,155.0,317.0,87.11442301823543,102.3,111.7,12.926517571884984,12.0,0.03785489,105.0,0.33123028,1.9741935605337915,2.075967835829565
3,Dylan Cease,TOR,18525,156.1,333.0,85.75484804095645,104.0,113.2,13.275757575757575,17.0,0.05105105,107.0,0.32132132,2.245202617986134,2.735995269535172
4,Cam Schlittler,NYY,32095,171.2,419.0,88.51824787817442,103.1,115.1,12.5544794188862,33.0,0.07875895,166.0,0.39618138,2.044660258541708,2.9652822804374455
5,Chris Sale,ATL,10603,144.0,359.0,87.74761962890625,103.3,113.2,11.879551820728292,19.0,0.05292479,122.0,0.33983287,2.0625000273187957,2.9921967625754506
6,Jesús Luzardo,PHI,19959,169.2,427.0,87.5532374393454,102.8,110.9,9.398081534772182,26.0,0.06088993,143.0,0.33489461,3.0235757518077224,2.9375027397254687
7,Tarik Skubal,2 Tms,22267,132.1,335.0,87.28837935421446,104.5,114.0,12.064220183486238,24.0,0.07164179,122.0,0.3641791,2.856423263005712,2.9445311442864317
8,Parker Messick,CLE,31986,161.0,431.0,87.24964547664561,103.5,111.3,14.080378250591016,20.0,0.04640371,139.0,0.3225058,2.459627460317713,2.923688542018765
9,Chase Burns,CIN,35333,145.1,370.0,89.3988826474664,103.8,113.1,18.526462395543174,29.0,0.07837838,141.0,0.38108108,2.7866973086605884,3.2214562087024152
10,Reid Detmers,LAA,27468,162.0,421.0,89.99612596710426,104.5,112.6,17.1089588377724,31.0,0.0736342,160.0,0.38004751,3.444444545829577,3.2518279465244566
11,Drew Rasmussen,TBR,25385,146.1,391.0,88.3077515594719,103.8,111.9,12.426356589147288,23.0,0.05882353,135.0,0.34526854,2.9521640347644924,3.1382862065957644
12,Paul Skenes,PIT,33677,149.2,387.0,88.45105229427939,104.9,111.1,16.023684210526316,28.0,0.07235142,152.0,0.39276486,3.9688196934170508,3.234824542777397
13,Yoshinobu Yamamoto,LAD,33825,165.0,429.0,88.12860540295324,104.3,114.2,8.867612293144209,28.0,0.06526807,159.0,0.37062937,2.6727273190711163,3.0407393149458355
14,Jacob deGrom,TEX,10954,137.1,357.0,90.37971844740316,104.2,114.9,16.676056338028168,29.0,0.08123249,158.0,0.44257703,3.9975729080675393,3.5190968875148125
15,Sandy Alcantara,MIA,18684,195.2,608.0,88.26917955663735,104.2,111.3,13.32998324958124,30.0,0.04934211,213.0,0.35032895,3.5417376950959354,3.6326621110729103
16,Shane Baz,BAL,22264,157.0,471.0,90.2406844929403,104.9,116.9,13.9508547008547,30.0,0.06369427,196.0,0.41613588,4.0127390241268985,4.042937595025624
17,Braxton Ashcraft,PIT,23793,160.1,439.0,89.72505724676724,104.6,113.1,10.825287356321839,27.0,0.06150342,183.0,0.41685649,3.592515663744073,3.4254523131333254
18,Payton Tolle,BOS,35466,131.0,342.0,87.45180667739317,104.0,112.6,18.1144578313253,22.0,0.06432749,115.0,0.33625731,3.229007727615931,2.72252556524581
19,Cade Cavalli,WSN,27473,152.2,404.0,89.21130647132145,104.2,111.5,8.436090225563909,30.0,0.07425743,167.0,0.41336634,3.124454220036745,3.846623192900474
20,Ranger Suarez,BOS,17277,123.2,352.0,86.59682080924856,103.6,113.6,13.81791907514451,18.0,0.05113636,116.0,0.32954545,3.638814147125095,3.750491589824719
21,Trevor Rogers,BAL,22286,144.1,431.0,88.55896240810178,104.5,116.8,17.698823529411765,30.0,0.06960557,163.0,0.37819026,4.302540567324616,3.7680846693321013
22,Kevin Gausman,2 Tms,14107,162.1,473.0,88.68963280300858,105.2,112.4,15.382289416846652,33.0,0.06976744,186.0,0.39323467,4.379876933945828,3.9181427463375513
23,Bryan Woo,SEA,30279,148.1,419.0,89.7453232726319,104.9,114.3,17.13429256594724,32.0,0.07637232,183.0,0.43675418,4.247191047644377,3.669548683728537
24,Eduardo Rodriguez,ARI,13164,167.0,509.0,87.22819995117187,104.3,111.4,15.066,39.0,0.07662083,171.0,0.33595285,2.586826421167363,4.437665981557913
25,Nolan McLean,NYM,33703,155.2,396.0,87.77282088842148,104.3,112.8,10.4,25.0,0.06313131,141.0,0.35606061,3.0642398787543788,3.5687235335089915
26,Gavin Williams,CLE,30122,163.0,386.0,90.35638314105094,105.7,116.0,10.97872340425532,45.0,0.11658031,178.0,0.4611399,3.8098160623718935,3.8338888308599217
27,Shohei Ohtani,LAD,19755,85.2,213.0,87.39573401862411,103.6,111.2,11.222748815165877,8.0,0.03755869,72.0,0.33802817,1.7859922311537348,2.7240680823254695
28,Logan Webb,SFG,17995,149.2,453.0,88.05201782773963,104.0,116.0,7.365470852017937,25.0,0.05518764,173.0,0.38189845,4.209354164970523,4.079973179629315
29,Logan Gilbert,SEA,22250,160.1,427.0,89.62833397274926,105.8,115.2,16.783333333333335,42.0,0.09836066,175.0,0.40983607,3.4241165327398586,3.636691583635229
30,Max Fried,NYY,13743,90.0,234.0,85.9543462338655,102.2,111.6,10.065217391304348,4.0,0.01709402,72.0,0.30769231,2.8000000890096057,2.501717784167579
31,MacKenzie Gore,TEX,22201,154.2,428.0,89.07068578120382,105.4,115.7,15.990543735224586,36.0,0.08411215,177.0,0.4135514,4.306034633214286,3.8553667057938106
32,Zack Wheeler,PHI,10310,130.1,325.0,86.7598765808859,104.0,110.2,14.37962962962963,20.0,0.06153846,114.0,0.35076923,3.314578061706383,3.0295508620362623
33,Sonny Gray,BOS,12768,143.2,416.0,89.16073176686356,103.8,111.1,10.034146341463414,27.0,0.06490385,159.0,0.38221154,2.8190255532300728,3.7159108651616317
34,Casey Mize,2 Tms,20492,113.2,334.0,89.21993990895251,104.0,110.4,19.501510574018127,27.0,0.08083832,128.0,0.38323353,3.6422289427272845,3.4476594249208765
35,Noah Cameron,KCR,30184,147.1,443.0,88.89032165246076,104.5,115.9,15.066820276497696,35.0,0.07900677,168.0,0.37923251,4.276018191808342,4.1072444948280715
36,Joe Ryan,MIN,21390,125.2,353.0,89.76342895507813,104.6,115.1,18.665714285714287,37.0,0.10481586,149.0,0.42209632,3.6525199409632174,3.495437804570733
37,Michael Wacha,KCR,14078,176.2,519.0,88.2377213813467,103.8,115.8,17.190569744597248,34.0,0.0655106,189.0,0.36416185,3.3622642174935007,3.9810370682814393
38,Dustin May,2 Tms,19716,128.2,370.0,89.77637339162303,104.7,114.8,11.928571428571429,26.0,0.07027027,164.0,0.44324324,4.686528628032815,4.2183697676257434
39,Ryan Weathers,NYY,23796,137.1,384.0,89.2349206026269,106.3,114.6,9.137566137566138,33.0,0.0859375,156.0,0.40625,3.6043691155890136,4.312864780844385
40,Davis Martin,CHW,21448,130.2,390.0,90.04708975332754,104.2,117.2,12.614775725593667,24.0,0.06153846,169.0,0.43333333,4.132653201981819,4.624213731331864
41,Sean Burke,CHW,29878,129.2,346.0,89.087647561466,103.8,114.0,17.6891495601173,27.0,0.07803468,130.0,0.37572254,3.4704371371088296,3.7413896275140033
42,Nick Martinez,TBR,12730,153.2,502.0,87.10461866999248,103.7,113.3,17.42570281124498,35.0,0.06972112,168.0,0.33466135,2.9869849021270087,4.3102519640934585
43,Gerrit Cole,NYY,13125,104.0,292.0,90.27455791567745,104.0,114.4,18.869257950530034,21.0,0.07191781,123.0,0.42123288,3.2884616289265787,3.3918355042112105
44,Michael Soroka,ARI,18383,95.1,274.0,87.71433863920323,104.0,113.3,16.5,22.0,0.08029197,91.0,0.33211679,3.3986015119286352,4.30621937309012
45,José Soriano,2 Tms,22100,156.0,426.0,88.80928548177083,104.1,116.9,6.480952380952381,32.0,0.07511737,161.0,0.37793427,3.519230876801285,4.468859266090251
46,Shane McClanahan,TBR,21483,118.0,338.0,89.3089237154447,105.5,114.2,10.429447852760736,28.0,0.08284024,140.0,0.41420118,3.3559323118802187,4.169873997142923
47,Jake Bennett,BOS,31959,99.2,293.0,88.05140836473922,104.7,115.8,12.996478873239436,18.0,0.06143345,108.0,0.36860068,3.341137240969647,3.182039187703334
48,Andre Pallante,STL,26108,136.0,420.0,87.44192747552711,104.1,117.8,5.756626506024096,22.0,0.05238095,145.0,0.3452381,3.573529511999509,3.9078022510056707
49,Kyle Leahy,STL,24763,129.1,384.0,91.36299257453658,105.1,113.5,9.984251968503937,38.0,0.09895833,183.0,0.4765625,3.1314433297564648,4.80795398549293
50,George Kirby,SEA,25436,152.2,473.0,89.52089536622135,104.5,111.5,12.547770700636942,32.0,0.06765328,193.0,0.40803383,4.1855896416673595,3.963281337970626
51,Landen Roupp,SFG,30076,144.2,404.0,86.11326536840322,102.2,112.9,10.910714285714286,20.0,0.04950495,117.0,0.28960396,4.168202948161664,3.726869747943493
52,Max Meyer,MIA,27474,111.0,293.0,89.71003422192636,104.3,112.1,14.13840830449827,25.0,0.08532423,123.0,0.41979522,2.6756757216526705,3.8687925340271483
53,Taj Bradley,MIN,22543,154.1,406.0,90.81782154045483,105.2,112.7,15.75,38.0,0.09359606,182.0,0.44827586,3.848812174309143,3.930707239680017
54,Michael King,SDP,19853,162.0,446.0,86.91103417407507,103.6,114.6,14.038990825688073,38.0,0.08520179,144.0,0.32286996,3.111111184370045,4.374637128013232
55,Peter Lambert,HOU,17969,132.2,369.0,88.35261724803074,104.1,114.7,18.52341597796143,24.0,0.06504065,131.0,0.35501355,3.6633167321391666,3.6149299621008306
56,Logan Henderson,MIL,31475,83.1,202.0,88.37236199307083,104.3,111.1,21.87939698492462,16.0,0.07920792,78.0,0.38613861,2.4840000379028324,2.728428346332249
