rank,Name,Team,playerid,IP,vFA,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN
1,Zack Wheeler,2 Tms,10310,1536.0,96.0033509905828,90.82460606060606,87.67258001348024,,95.69586443333152,84.2763293811736,80.74500484296055,,57.599998474121094,89.0522882199755,,
2,Jacob deGrom,2 Tms,10954,1161.0,97.08687104158867,,,,95.09102575484411,91.2346242176099,82.1391339676241,,,89.6668654819338,,
3,Aaron Nola,PHI,16149,1624.0,92.65957622107388,86.72211301903381,,,91.68939717036996,83.12222629123264,,78.57084175761621,,85.24103297781825,,
4,Gerrit Cole,3 Tms,13125,1423.2,96.85854253730527,92.0114641895488,,,96.01717072303849,88.73054667708993,,82.54862686211918,,88.865528164822,,
5,Max Scherzer,5 Tms,3137,1288.2,94.14525861929584,89.05455070504507,,,93.4516875877809,85.33394997035907,76.8035419170673,,,84.32681340043263,,
6,Chris Sale,2 Tms,10603,1066.1,94.6415378752155,,,,93.54138364630231,79.0701035791705,,,,86.68011706448341,,
7,Kevin Gausman,5 Tms,14107,1545.0,94.39716508813957,,84.71652596300012,,93.29937355473356,82.93077274749638,,,,83.68884715781546,,
8,Sonny Gray,6 Tms,12768,1388.1,92.71523347748763,87.84327196349479,,,92.48116284524627,84.25489822222386,80.44416050436796,75.37017541182668,,87.92148749772892,,
9,Justin Verlander,4 Tms,8700,1232.1,94.66238260852073,91.76470588235294,,,94.7050048828125,86.99123740353302,79.08023641236436,,,85.6873762212391,,
10,Luis Castillo,2 Tms,15689,1487.0,96.14662516519383,90.85000610351562,,,96.20514485871077,85.49815612375698,,,,87.63932692868813,,
11,Logan Webb,SFG,17995,1156.0,92.85934985246782,90.63119013317348,,,92.36200479370589,83.42385425524377,,,,86.67233571845794,,
12,Max Fried,2 Tms,13743,1116.1,93.9014103321474,92.5212122912044,,,93.56719853916037,84.13140272008029,74.50055067772566,,,85.63605556634843,,
13,Clayton Kershaw,LAD,2036,1093.1,90.87677869062932,,83.1619478748963,,92.23275967301994,87.11924992966992,73.27903420343588,58.599998474121094,46.29999923706055,85.11803211149622,,
14,Blake Snell,4 Tms,13543,1072.0,95.37603257789435,,,,,87.69339479577343,80.76985851606106,,,86.71598788318092,,
15,Dylan Cease,3 Tms,18525,1113.2,96.7029067299173,91.81052760074013,,,96.21371680661628,87.106297332792,,80.79487404419811,,79.91258310482202,,
16,Charlie Morton,5 Tms,4676,1358.1,94.94142778424765,87.68279113616407,86.41759264910662,,94.4741158402257,,80.72719881586376,,,86.31346309813463,,
17,Corbin Burnes,3 Tms,19361,886.0,94.9481094822739,94.8219033323262,,,96.18841277459175,87.35151213196042,80.69252665177689,,,89.69158447608038,,
18,José Berríos,2 Tms,14168,1510.0,93.72530936795604,90.30237154150197,,,93.21336124380105,,82.36290048021789,,,84.23291697740832,,
19,Shane Bieber,2 Tms,19427,894.1,92.52090758620109,87.17550827247508,,,92.81666819254558,84.87754141566265,,82.47403179578913,,87.84066101617098,,
20,Framber Valdez,2 Tms,17295,1134.1,93.54183730379157,89.145,,,93.89366593237078,84.21079501223309,79.35033057857525,,,89.37527551732711,,
21,Tarik Skubal,DET,22267,831.2,95.82310199546517,94.85714285714286,85.49749984741212,,96.15994015605129,88.40388714685432,80.92319921875,76.24208657035615,,85.95826875294206,,
22,Sandy Alcantara,MIA,18684,1197.2,97.22411049364896,90.00070644946808,,,97.01661851811183,88.60157097113039,84.08118304727752,,,91.01444386895008,,
23,Patrick Corbin,4 Tms,9323,1557.0,91.74317721150854,86.60611510791367,,,91.84146463044576,80.82167762433978,70.38437076432108,61.333334604899086,,81.32332940176944,,
24,Yu Darvish,4 Tms,13074,1132.1,94.47549754175647,90.11300737194549,88.9111308654509,,93.9388357771065,84.40195261123321,72.82555280412946,79.37883693220542,,88.28308890847599,,
25,Lance Lynn,6 Tms,2520,1207.2,93.35812808255174,88.492423828125,,,91.89560132216747,83.48865265541889,80.98849630647975,78.9888916015625,,85.7022785716828,,
26,Nathan Eovaldi,3 Tms,9132,1057.2,96.03269625630107,91.50844375154043,88.06308026336146,,93.45333767361112,85.92343239752958,77.47505625768831,,,,,
27,Zack Greinke,3 Tms,1943,1122.1,89.4865956606408,85.49285659510574,80.0857173374721,,90.08316049262855,82.96583405722203,71.82757037096297,62.64166831970215,65.58257657831365,86.72197791916167,,
28,Carlos Rodón,3 Tms,16137,1022.0,94.62309390399261,91.86052797551741,,,92.81821220034645,85.6902881349557,80.18308771965411,,,85.01529824238538,,
29,Brandon Woodruff,MIL,16162,763.2,95.5903197009154,89.19120279947917,,,95.49501780587455,87.3228382317013,83.31104760534703,,,85.74823426199276,,
30,Pablo López,2 Tms,17085,965.0,94.18697410721927,90.02084077210924,,,93.55642462855074,84.50662149857898,80.9976018936489,,,87.56038755815065,,
31,Michael Wacha,6 Tms,14078,1221.2,93.49927145111701,88.9780087628665,,,93.05430672304733,84.6439606741573,75.44350876360079,,,83.36414763138862,,
32,Kyle Hendricks,2 Tms,12049,1280.1,87.04907510747354,85.88076547475961,,,86.77687550241157,,72.57056710933364,,,79.61939785404401,,
33,Eduardo Rodriguez,3 Tms,13164,1181.2,92.57361965115945,88.60778908864467,,,92.40530267188929,83.47553461119186,80.09172279094828,,,86.3730496284657,,
34,Luis Severino,3 Tms,15890,993.1,96.83714097683182,92.55324529680254,,,95.74529782113999,86.43050885139628,,,,87.28266106060364,,
35,Marcus Stroman,4 Tms,13431,1129.2,92.39078054585919,89.9098472639589,85.48055258022274,,92.01255566145103,85.5346172701928,84.62889025141133,,,84.29223690257353,,
36,Freddy Peralta,2 Tms,18679,951.1,93.60542174825846,,,,92.41935483870968,81.64377432193396,77.55656940305049,74.96111212836371,,88.03116778323525,,
37,Zac Gallen,2 Tms,19291,1105.1,93.5607246430696,89.11685735696753,,,93.03043498163638,87.64355975178263,,81.25134881778884,,86.20916601632429,,
38,Ranger Suarez,2 Tms,17277,757.1,92.50876074722133,87.45049819996916,,,91.65838472342786,81.7321222401198,75.01779768003513,,,82.31685959162567,,
39,Corey Kluber,5 Tms,2429,741.0,91.95699625559911,87.74596526207736,,,91.0572214238923,,82.72971765024651,,,84.21661680438608,,
40,Jack Flaherty,4 Tms,17479,1066.0,93.38486689549744,88.66387869831274,,,91.41969618469705,84.42718475940181,,77.36970356463785,57.29999923706055,85.66463057668585,,
41,Logan Gilbert,SEA,22250,949.1,95.8351769595521,91.80706643343483,83.44035329408409,,94.99027718438043,87.24913461538462,82.27536446707589,79.71107376453489,,84.24749849759615,,
42,Chris Bassitt,4 Tms,12304,1164.0,93.01912160078751,88.62164436192077,83.49250217013889,,92.35257899032545,76.98411673333447,71.01214850035197,,,84.70835211338141,,
43,Germán Márquez,2 Tms,15038,1164.1,95.243032282049,,,,94.57245938148704,87.0351282169863,82.50000190734863,84.22492701853982,,86.57510699052497,,
44,Jose Quintana,8 Tms,11423,1151.1,91.29546196174743,,,,91.1082862854004,,77.51340824002887,,,85.99331794533737,,
45,Joe Musgrove,3 Tms,12970,955.2,92.9668867792978,89.89531461545369,,,92.08469792974788,83.17129522846025,81.60633033703847,,,85.9824791492669,,
46,Cristopher Sánchez,PHI,20778,623.0,,86.5,,,94.45162310124341,84.82836224955898,,,,85.41106388017154,,
47,Shohei Ohtani,2 Tms,19755,614.1,96.89001427801725,89.07255010373865,88.47364374730836,,95.93246150362319,84.21871862606126,76.2567793802021,67.9000015258789,,,,
48,Jon Gray,2 Tms,14916,1000.2,95.36441469798551,,,,95.14782648501189,87.43244704815876,78.77720061557952,,,88.06396532058716,,
49,Jesús Luzardo,3 Tms,19959,774.1,96.31802677134215,91.4181795987216,,,95.61359759261435,85.08479797883679,82.5888909233941,,,87.30358416863207,,
50,Kyle Freeland,COL,16256,1342.0,91.40193037827862,87.41061580882354,,,90.62168044550452,85.56889240788936,80.32925969904119,81.57438689523302,,85.6826574764969,,
51,Jameson Taillon,3 Tms,11674,1196.2,93.79178814269747,87.61702810809619,,,94.3180231986286,84.5353663004672,80.88710955440524,,,86.59866149221654,,
52,Lucas Giolito,5 Tms,15474,1158.0,93.25034198814353,,,,92.30771384870815,84.67946741233705,78.81095094226656,,,81.25980601953441,,
