rank,Name,Team,playerid,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
1,Zack Wheeler,2 Tms,10310,1586.1,116.17454545454542,120.80682710576315,100.7285065885798,91.74104116222759,109.65193814646682,116.13519499950961,76.19923076923077,,,112.29998579732498,105.68588607754133,117.37754465964943
2,Jacob deGrom,2 Tms,10954,1209.2,112.24227866128648,102.46,,,118.96110429005816,105.7044908616188,106.8982492863939,,,113.7112170647192,109.04189221903297,124.30578107964025
3,Chris Sale,2 Tms,10603,1125.1,102.0019834710744,112.29993474714519,,,120.59780970008492,,97.20778613199666,,,109.56069708254937,107.65199783470312,111.92838046254234
4,Gerrit Cole,3 Tms,13125,1490.0,115.0028705547653,102.98022727272729,101.00470930232557,,119.98282328062143,,84.26138091543832,111.91524446731859,,111.98417057090735,104.45197486395057,114.94346183234605
5,Aaron Nola,PHI,16149,1688.1,108.72540074906367,106.77396319018403,94.6816803652968,,89.50666666666667,,82.10304490690031,125.53043560248916,,108.39291548219849,104.1140945632543,110.73812430452335
6,Max Scherzer,5 Tms,3137,1334.1,103.06672947997826,,106.56063930508319,,113.2744348580434,103.72746348469684,95.36812463256908,,,104.50992176420162,104.32292870089928,107.18327527826435
7,Kevin Gausman,6 Tms,14107,1599.0,97.93537011831222,95.79050632911392,,106.67702031602708,94.74132611950854,,95.01135386819485,,,100.67281802390158,105.12652404596524,106.04190445699524
8,Sonny Gray,6 Tms,12768,1449.1,88.16477514309076,111.08083795440542,85.76816479400749,,119.97744339244669,97.74762342743709,81.39436517533252,,,100.65904716810537,98.94986284209034,102.83840115313663
9,Justin Verlander,4 Tms,8700,1232.1,96.69986218776916,84.18,,,118.97232313143006,113.06862550971456,109.16546712802767,,,106.41442996833078,98.94342576695148,104.22051826272394
10,Logan Webb,SFG,17995,1216.1,94.57476319350474,111.25525860662427,85.1537634408602,,103.76259022059882,,109.40177679882525,,,106.47547708160171,102.25403311614153,108.8390564462799
