rank,Name,Team,playerid,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%
1,Zack Wheeler,2 Tms,10310,0.34812559,0.70551796,0.50255312,0.64736513,0.83641767,0.76204523,0.43209521,0.63803681,0.11956029,0.15274404,0.27230434
2,Jacob deGrom,2 Tms,10954,0.37350219,0.71897762,0.51992591,0.53912363,0.79498987,0.68908561,0.42383251,0.64494034,0.16157989,0.15170557,0.31328546
3,Aaron Nola,PHI,16149,0.34576998,0.64543953,0.472219,0.61565285,0.84859255,0.75,0.42196151,0.65873852,0.11799992,0.18967452,0.30767445
4,Gerrit Cole,3 Tms,13125,0.33159167,0.68405453,0.48707779,0.579492,0.82076834,0.7289728,0.44114186,0.64780316,0.13194233,0.17393388,0.3058762
5,Max Scherzer,5 Tms,3137,0.35120263,0.71113752,0.51354512,0.55850392,0.80115449,0.71005693,0.45103294,0.66368932,0.14884083,0.15863043,0.30747126
6,Chris Sale,2 Tms,10603,0.36190377,0.64259454,0.4860611,0.57841727,0.79995913,0.70796989,0.4423278,0.6661234,0.14188679,0.18415094,0.32603774
7,Kevin Gausman,5 Tms,14107,0.34897605,0.71348472,0.50434159,0.60155162,0.84060249,0.74569578,0.42623277,0.63356164,0.1284127,0.15623016,0.28464286
8,Sonny Gray,6 Tms,12768,0.31380721,0.64782901,0.45014388,0.56222332,0.87994472,0.74885845,0.40816699,0.60660031,0.11294665,0.18190115,0.29484781
9,Justin Verlander,4 Tms,8700,0.34275106,0.70324245,0.50375827,0.63725231,0.83024888,0.7575848,0.44663259,0.62656187,0.12210031,0.16468761,0.28678792
10,Luis Castillo,2 Tms,15689,0.33872655,0.72020675,0.49778392,0.59789994,0.82329045,0.73386702,0.41694791,0.6172015,0.13246056,0.14652789,0.27898845
11,Logan Webb,SFG,17995,0.33620853,0.64269298,0.46252856,0.64364251,0.89335297,0.78665221,0.41215802,0.66103128,0.09865746,0.19269121,0.29134867
12,Max Fried,2 Tms,13743,0.32409299,0.67527827,0.46964347,0.61584634,0.86182336,0.76243027,0.41445495,0.61521548,0.11152226,0.16736878,0.27889104
13,Clayton Kershaw,LAD,2036,0.33266622,0.7023761,0.49911364,0.54545455,0.85153683,0.73937538,0.45021089,0.67425287,0.13003361,0.16712496,0.29715857
14,Blake Snell,4 Tms,13543,0.32856296,0.66778036,0.45348526,0.51056701,0.81487927,0.67559278,0.3682662,0.60549002,0.14708242,0.15703054,0.30411296
15,Dylan Cease,3 Tms,18525,0.33032565,0.68861799,0.46732192,0.5505339,0.80835097,0.69579358,0.3823589,0.59532412,0.14213352,0.15145375,0.29358728
16,Charlie Morton,5 Tms,4676,0.31170532,0.64762397,0.45522355,0.55203956,0.8529271,0.73492341,0.42724103,0.6048289,0.12055737,0.18004233,0.3005997
