rank,Name,Team,playerid,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+
1,Zack Wheeler,2 Tms,10310,1530.0,111.95137810792517,68.72632221110698,162.69794722837887,74.86270241421423,117.94681519210033,72.42256038208326,91.01301876229496,83.05175558642026,97.30483945620529,104.87308499987438,76.45033663645474,75.22194074559238,80.63490978107976,102.18665792548865,103.69592794560172,94.20248755375479
2,Jacob deGrom,2 Tms,10954,1161.0,132.0541131823633,57.97523912755589,227.49584286095092,78.92368733977658,144.54404190764046,63.492265574285256,81.28183997262438,71.89535462990916,92.94615683550923,110.34521565970097,63.887880249013435,63.99747563213049,65.83986083883353,98.86039473940805,97.95132519319203,102.57086563825825
3,Aaron Nola,PHI,16149,1619.0,114.27076556029918,72.27023182439274,157.99190676687041,99.87846684467281,118.84182646693195,75.19492987769075,95.3984643264355,88.1077238661791,100.0324988734596,101.37146419058173,91.0950722326628,83.03527930637433,80.60312714819808,97.3367697966947,104.52374688489998,95.90463677073893
4,Max Scherzer,5 Tms,3137,1288.2,130.23154132399807,65.17474538987541,199.4502815684617,99.47429406464953,139.08087378204752,69.60751683041806,85.63055446930744,77.60212843522925,94.53861048135626,110.15835377081027,73.87260294877659,76.05517511277144,81.22551403557415,92.39231931617172,78.42553880947264,130.31173392063226
5,Gerrit Cole,3 Tms,13125,1417.1,128.59506382354223,70.94191931390591,181.4859333885348,97.32766673268281,137.3341438738692,75.71690203069943,86.59536274302725,79.89790829856685,95.41797453700957,108.96004393366931,76.11985290784703,76.48251260883819,75.4345921563355,94.54498746681308,95.47401246486302,107.9841048743821
6,Chris Sale,2 Tms,10603,1063.1,142.5652948747746,65.2230684660864,218.25196403353596,72.13091477185232,150.70986829312147,68.93695430843972,86.56337608568731,78.58915774032643,103.93431005426481,107.67285351960419,66.23845565469664,63.973889176374286,66.96621053491667,102.4900998410993,99.08252876056027,99.82116661116129
7,Kevin Gausman,5 Tms,14107,1539.0,109.11996701831083,77.4254303798973,140.88961783647648,88.91294185692932,111.20140200832435,78.93117941541709,100.80322460870879,94.85124546290064,105.47163569288938,101.23440004451534,91.27623213195062,82.51133896361891,87.72306159676427,105.26086070405299,96.16123408414626,101.4194729226711
8,Sonny Gray,6 Tms,12768,1382.1,111.27546412122477,88.30946337755385,125.71341793198938,79.2599075951983,114.47093830101312,90.88770707197956,93.47375180431594,90.93795193230024,99.36731709712474,101.45947478825683,84.56474755916871,81.49872244218369,82.86509362370485,103.31063957023507,111.15357523381262,85.40971648264568
9,Justin Verlander,4 Tms,8700,1232.1,116.01710642750906,69.931782508023,165.72243065731826,90.20039087381284,122.93320749854885,74.05468022217478,86.379544902834,79.98650391219637,90.9111101823933,108.87762087580859,73.0609603648695,81.6709160912425,90.03767819010837,99.82417771886634,79.6360604270694,123.35010784014968
10,Luis Castillo,2 Tms,15689,1482.0,108.35209632576317,87.68081225450128,123.30756713463491,92.99439131541047,111.36140308404137,90.15085205325234,94.56447155055973,91.59892214974063,97.89638794664079,102.78323708400067,87.41732798277665,88.95858727171286,87.05960414153606,91.91421090541839,109.31368426734626,92.71662723185818
