rank,Name,Team,playerid,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
1,Zack Wheeler,2 Tms,10310,9.749372369376191,2.321548113449371,4.19951338,0.9150627600457375,0.26718266,0.06362229,0.20356037,0.22242647058823528,1.0933054375855107,0.285400390625,0.75876471,76.79287648897837,75.68820471362349,80.65955930237635,3.214016731271757,3.220169959555069,-0.006153228283312107,3.4027514499393616,3.5502353028552123
2,Jacob deGrom,2 Tms,10954,11.480722064872564,2.0008203727205562,5.73800738,0.9450369288126612,0.32599581,0.05681342,0.26918239,0.20008932559178205,0.9573420971565761,0.27477638640429336,0.79203013,66.29874282675975,64.09515020134985,66.44162686746527,2.6726825642983076,2.691829340027657,-0.019146775729349308,2.820923566583521,2.9308551707349677
3,Chris Sale,2 Tms,10603,12.124407699387746,2.0473933845931813,5.921875,0.8717417145338155,0.33465784,0.05651214,0.2781457,0.21249701884092534,1.0192535642918312,0.3045171339563863,0.77552539,65.37120855255854,62.15507520466635,66.5727072865978,2.91113746871843,2.6283474375814824,0.28279003113694756,2.834311225520605,2.8267312411096865
4,Gerrit Cole,3 Tms,13125,11.045454601784847,2.250000011474691,4.90909091,1.2152406479087903,0.30702341,0.06254181,0.24448161,0.21342667384670616,1.0447861015849502,0.2793659779224455,0.78847324,76.41863745293443,76.98153380132139,75.8172971024479,3.1945187328691467,3.2933415674001876,-0.0988228345310409,3.2199660512019284,3.2026813797821574
5,Aaron Nola,PHI,16149,9.852929817618255,2.4366890012321005,4.04357298,1.2209988459332968,0.26697353,0.06602417,0.20094937,0.2329660096228465,1.1561148492894984,0.2917144824420473,0.742891,89.55780291910587,84.14400757263105,81.04623775871455,3.843492019372638,3.6417189543883532,0.20177306498428482,3.4177311311348864,3.5718895503903325
6,Max Scherzer,5 Tms,3137,11.168243171997677,2.2242409686710176,5.02114804,1.1893977385340486,0.30990117,0.06171919,0.24818199,0.2088111044055522,1.0221503478048415,0.27490421455938696,0.79343597,75.05194680344077,76.94093952962518,82.84925839790303,3.1515680190534963,3.28471158225385,-0.13314356320035392,3.502308279445604,3.2315473591812918
7,Kevin Gausman,6 Tms,14107,9.456169543074807,2.512671385111218,3.76339286,1.0936850895015346,0.25137916,0.06679588,0.18458327,0.2456253010113983,1.2326547618427552,0.3070377184912603,0.7314121,92.50887136499941,83.00742070426172,87.56700058630352,3.858745341420799,3.53361338308304,0.3251319583377592,3.6922606740044457,3.7764907249187547
8,Sonny Gray,6 Tms,12768,9.539958923440564,2.868788684689839,3.32543103,0.9459583378395373,0.25592967,0.07696135,0.17896832,0.22901178603807798,1.186398002504634,0.2906520031421838,0.73649859,83.9620708903307,81.5783702760839,83.3725753114807,3.5736203873938077,3.4728228891400224,0.10079749825378537,3.5206067834042027,3.7705370811555983
9,Justin Verlander,4 Tms,8700,9.910467972548982,2.2420881853887527,4.42019544,1.1319989209617483,0.27347844,0.06187021,0.21160822,0.21239705244906806,1.0443602948227741,0.26595744680851063,0.78847885,73.13844968899694,81.69383610805531,90.04206560741406,3.067351914864092,3.452548686842517,-0.38519677197842483,3.833360291487627,3.608526139851756
10,Logan Webb,SFG,17995,8.33159775896894,2.130994808688326,3.90972222,0.6437380151245984,0.22574178,0.05773857,0.16800321,0.24908661078873845,1.1896410062392004,0.3116279069767442,0.71126658,85.41414923488051,76.16165017357045,76.86163768447683,3.507262289299536,3.066759266793638,0.4405030225058981,3.2131794842270205,3.509144237494277
