rank,Name,Team,playerid,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
1,Zack Wheeler,2 Tms,10310,0.28592777085927773,1.31575196,0.211216314,0.44816703,0.340616654,0.116892373,0.111190306,849.0,4.903315500019395,8475.0,16303.0,24778.0,0.38546414,0.34684577,0.26769009,0.2103622,0.51163349,0.27800432
2,Jacob deGrom,2 Tms,10954,0.2763448784082535,1.136276391,0.206134094,0.422253922,0.371611982,0.119961612,0.119961612,615.0,4.686706219048191,5927.0,12316.0,18243.0,0.38147235,0.33990842,0.27861923,0.19549137,0.49066573,0.3138429
3,Gerrit Cole,3 Tms,13125,0.27955736750145604,1.011805555,0.193485523,0.405623608,0.400890868,0.101388888,0.133333333,904.0,5.5675182675532815,7940.0,15581.0,23521.0,0.37741579,0.35450028,0.26808393,0.17863059,0.49917173,0.32219768
4,Chris Sale,2 Tms,10603,0.30488782051282054,1.131386861,0.206829646,0.421032207,0.372138145,0.099061522,0.112617309,656.0,5.380315970369487,5815.0,11945.0,17760.0,0.39938556,0.33832565,0.26228879,0.1843318,0.52457757,0.29109063
5,Max Scherzer,5 Tms,3137,0.27607765712405397,0.729292929,0.190926275,0.341209829,0.467863894,0.12053872,0.117171717,765.0,5.265103355072606,6775.0,14092.0,20867.0,0.40691158,0.32534247,0.26774595,0.19613948,0.49283935,0.31102117
6,Aaron Nola,PHI,16149,0.29333020197275717,1.305194805,0.199909848,0.453008789,0.347081361,0.092857142,0.146753246,939.0,5.100181144022436,8905.0,17584.0,26489.0,0.44746821,0.33236672,0.22016507,0.1779661,0.50334523,0.31868867
7,Kevin Gausman,6 Tms,14107,0.3070607553366174,1.06515242,0.213879408,0.40546075,0.38065984,0.088463837,0.111775254,823.0,4.7128314025287565,8685.0,17089.0,25774.0,0.37128713,0.34990999,0.27880288,0.16314131,0.48852385,0.34833483
8,Sonny Gray,6 Tms,12768,0.2908750334492909,1.49752883,0.210210992,0.473560823,0.316228184,0.088138385,0.123558484,785.0,4.95673532409022,8240.0,14295.0,22535.0,0.43353941,0.34028851,0.22617208,0.16589387,0.51081917,0.32328697
9,Justin Verlander,4 Tms,8700,0.26595744680851063,0.735531628,0.202288895,0.33807609,0.459635013,0.141318977,0.104306864,668.0,4.878550188402889,6585.0,13374.0,19959.0,0.40233415,0.34766585,0.25,0.18212531,0.48925061,0.32862408
10,Logan Webb,SFG,17995,0.3097213989330172,2.391304347,0.201754385,0.562865497,0.235380116,0.069565217,0.10310559,642.0,4.836495592340243,6335.0,12188.0,18523.0,0.40811594,0.37014493,0.22173913,0.16013925,0.54511169,0.29474906
11,Luis Castillo,3 Tms,15689,0.28394123606889565,1.34939759,0.187898089,0.46643802,0.34566389,0.104181431,0.135364989,760.0,4.529801278728952,8843.0,16210.0,25053.0,0.40149867,0.34928692,0.24921441,0.16944646,0.49697849,0.33357505
12,Max Fried,2 Tms,13743,0.29056237879767294,1.996428571,0.196360153,0.535440613,0.268199233,0.076190476,0.104761904,760.0,5.99474165528593,6459.0,11486.0,17945.0,0.40283019,0.35062893,0.24654088,0.18899371,0.53018868,0.28081761
13,Dylan Cease,3 Tms,18525,0.2929913294797688,0.941979522,0.207520891,0.384401114,0.408077994,0.110068259,0.110921501,636.0,4.964440721164534,7736.0,12635.0,20371.0,0.41770401,0.34370678,0.23858921,0.1735823,0.51210235,0.31431535
