rank,Name,Team,playerid,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,Zack Wheeler,2 Tms,10310,107.0,64.0,0.0,258.0,258.0,1579.1,9.756015180575668,2.3250316551839205,0.9231743336759685,0.2856439300664861,0.75755643,0.446895228,0.113524877,96.16940230971296,3.2368087748638894,3.187381658480269,3.2331685898642535,3.406583996071411,40.792456328868866
2,Jacob deGrom,2 Tms,10954,76.0,52.0,0.0,199.0,199.0,1203.2,11.462475883521412,1.988922756044811,0.9495984587131241,0.27516292541636495,0.79259706,0.423265592,0.119698397,97.32362630286669,2.6693436989022463,2.7747091816223337,2.6948053698542265,2.8183439674407285,38.70227333903313
3,Gerrit Cole,3 Tms,13125,114.0,57.0,0.0,241.0,241.0,1478.2,11.095807052446863,2.2763751166292523,1.1807935096953877,0.28021820269882286,0.78705828,0.40570958,0.132785763,96.98160539525858,3.165013531142276,3.289831583824411,3.2427921652316023,3.2069298115689517,36.386452078819275
4,Chris Sale,2 Tms,10603,84.0,47.0,0.0,189.0,189.0,1118.1,12.152012039948763,2.04411328354105,0.8771982201022617,0.3053704429635437,0.77707125,0.421192556,0.111111111,94.83625156689831,2.9052161234579494,2.9262640623597234,2.627904568620165,2.826663703699975,35.7978378534317
5,Aaron Nola,PHI,16149,103.0,88.0,0.0,280.0,280.0,1675.0,9.908059882011935,2.4286567606667,1.2250746491858575,0.2928189635138276,0.74020841,0.452720785,0.146435452,92.82414457772504,3.8740299213289617,3.4884846769661273,3.6326825314444893,3.4040218809127682,35.37559151649475
6,Max Scherzer,5 Tms,3137,98.0,55.0,0.0,223.0,223.0,1329.1,11.211635172824687,2.2138917279671935,1.191574752667358,0.27483870967741936,0.79599863,0.340958268,0.115942028,94.2415439735919,3.127883725751815,3.063525752442159,3.2762767949670923,3.481179890327552,35.04551786184311
7,Kevin Gausman,6 Tms,14107,98.0,92.0,0.0,279.0,279.0,1595.0,9.445768047669432,2.5166144260815813,1.0777429492860584,0.3068734089331173,0.73191933,0.405969479,0.112684365,94.47103905834884,3.836990604788061,4.139420806301197,3.5147972178009037,3.6980850376978522,33.48854310810566
8,Sonny Gray,6 Tms,12768,102.0,75.0,0.0,260.0,260.0,1443.1,9.552886945435988,2.8621247440960307,0.9478060154740668,0.2910723718964606,0.73732422,0.473007712,0.123476848,92.79856691576087,3.5667436898103038,3.7687044252340174,3.47172781358951,3.512907646328363,30.962529003620148
9,Justin Verlander,4 Tms,8700,93.0,53.0,0.0,204.0,204.0,1232.1,9.910467972548982,2.2420881853887527,1.1319989209617483,0.26595744680851063,0.78847885,0.33807609,0.104306864,94.74683578463369,3.067351914864092,3.2900755358692577,3.4525444291014455,3.8333373133858575,29.393521463498473
10,Logan Webb,SFG,17995,77.0,61.0,0.0,202.0,202.0,1205.1,8.29563059223375,2.1280420511130678,0.6346792082267044,0.31145619689422793,0.71197649,0.56184971,0.104422604,92.90203720829652,3.4870022381396586,3.872316332502464,3.062157293364232,3.219841130709487,27.2053502202034
11,Max Fried,2 Tms,13743,96.0,43.0,0.0,200.0,200.0,1150.1,8.692263381174701,2.4332078411749163,0.6963199288249761,0.29015710163513947,0.75505545,0.533734558,0.104337631,94.01871774395235,3.004346659199897,3.3352454146033703,3.1658440351684334,3.375672103450942,26.959560990333557
