rank,Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
1,Clayton Kershaw,LAD,16.0,7.0,2.127507132075644,33.0,33.0,27.0,4.0,3.0,0.0,0.0,0.0,232.2,890.0,163.0,62.0,55.0,15.0,42.0,1.0,5.0,9.0,3.0,301.0
2,Jake Arrieta,CHC,22.0,6.0,1.7685588783131363,33.0,33.0,29.0,4.0,3.0,0.0,0.0,0.0,229.0,870.0,150.0,52.0,45.0,10.0,48.0,2.0,6.0,6.0,0.0,236.0
3,David Price,2 Tms,18.0,5.0,2.45083200454926,32.0,32.0,24.0,3.0,1.0,0.0,0.0,0.0,220.1,888.0,190.0,70.0,60.0,17.0,47.0,2.0,3.0,4.0,0.0,225.0
4,Max Scherzer,WSN,14.0,12.0,2.794460486005528,33.0,33.0,23.0,4.0,3.0,0.0,0.0,0.0,228.2,899.0,176.0,74.0,71.0,27.0,34.0,2.0,5.0,10.0,1.0,276.0
5,Dallas Keuchel,HOU,20.0,8.0,2.4827584165738847,33.0,33.0,27.0,3.0,2.0,0.0,0.0,0.0,232.0,911.0,185.0,68.0,64.0,17.0,51.0,0.0,2.0,9.0,0.0,216.0
6,Chris Sale,CHW,13.0,11.0,3.407348346629412,31.0,31.0,23.0,1.0,0.0,0.0,0.0,0.0,208.2,854.0,185.0,88.0,79.0,23.0,42.0,0.0,13.0,7.0,0.0,274.0
7,Corey Kluber,CLE,9.0,16.0,3.4864863329686133,32.0,32.0,19.0,4.0,0.0,0.0,0.0,0.0,222.0,886.0,189.0,92.0,86.0,22.0,45.0,3.0,11.0,6.0,1.0,245.0
8,Zack Greinke,LAD,19.0,3.0,1.6571855341068693,32.0,32.0,30.0,1.0,0.0,0.0,0.0,0.0,222.2,843.0,148.0,43.0,41.0,14.0,40.0,1.0,5.0,7.0,0.0,200.0
9,Chris Archer,TBR,12.0,13.0,3.2264150943396226,34.0,34.0,19.0,1.0,1.0,0.0,0.0,0.0,212.0,868.0,175.0,85.0,76.0,19.0,66.0,0.0,3.0,13.0,0.0,252.0
10,Gerrit Cole,PIT,19.0,8.0,2.5961538461538463,32.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,208.0,832.0,183.0,71.0,60.0,11.0,44.0,1.0,10.0,7.0,0.0,202.0
11,Madison Bumgarner,SFG,18.0,9.0,2.926717727702933,32.0,32.0,22.0,4.0,2.0,0.0,0.0,0.0,218.1,869.0,181.0,73.0,71.0,21.0,39.0,2.0,7.0,1.0,0.0,234.0
12,Jon Lester,CHC,11.0,12.0,3.3365855171934395,32.0,32.0,21.0,1.0,0.0,0.0,0.0,0.0,205.0,828.0,183.0,83.0,76.0,16.0,47.0,0.0,7.0,8.0,0.0,207.0
