rank,Name,Team,playerid,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
1,Zack Wheeler,2 Tms,10310,108.0,64.0,3.214016731271757,260.0,260.0,164.0,4.0,2.0,0.0,0.0,0.0,1593.1,6460.0,1331.0,608.0,569.0,162.0,411.0,9.0,65.0,28.0,2.0,1726.0
2,Jacob deGrom,2 Tms,10954,77.0,52.0,2.659989049505215,201.0,201.0,127.0,3.0,1.0,0.0,0.0,0.0,1214.2,4747.0,891.0,386.0,359.0,128.0,267.0,12.0,20.0,23.0,0.0,1553.0
3,Chris Sale,2 Tms,10603,84.0,47.0,2.91113746871843,190.0,190.0,108.0,3.0,2.0,0.0,0.0,0.0,1125.1,4530.0,891.0,394.0,364.0,109.0,256.0,1.0,81.0,19.0,2.0,1516.0
4,Gerrit Cole,3 Tms,13125,115.0,59.0,3.1945187328691467,244.0,244.0,157.0,7.0,5.0,0.0,0.0,0.0,1496.0,5980.0,1189.0,561.0,531.0,202.0,374.0,2.0,35.0,33.0,8.0,1836.0
5,Aaron Nola,PHI,16149,104.0,88.0,3.843492019372638,283.0,283.0,149.0,6.0,4.0,0.0,0.0,0.0,1695.1,6952.0,1501.0,756.0,724.0,230.0,459.0,14.0,50.0,18.0,2.0,1856.0
6,Max Scherzer,5 Tms,3137,99.0,56.0,3.1515680190534963,225.0,225.0,134.0,6.0,1.0,0.0,0.0,0.0,1339.1,5363.0,1038.0,492.0,469.0,177.0,331.0,9.0,61.0,26.0,2.0,1662.0
7,Kevin Gausman,6 Tms,14107,98.0,93.0,3.858745341420799,281.0,281.0,144.0,3.0,2.0,0.0,0.0,0.0,1604.2,6707.0,1530.0,739.0,688.0,195.0,448.0,7.0,30.0,38.0,13.0,1686.0
8,Sonny Gray,6 Tms,12768,102.0,76.0,3.5736203873938077,262.0,262.0,128.0,2.0,1.0,0.0,0.0,0.0,1455.2,6029.0,1263.0,626.0,578.0,153.0,464.0,3.0,50.0,62.0,6.0,1543.0
9,Justin Verlander,4 Tms,8700,93.0,53.0,3.067351914864092,204.0,204.0,129.0,3.0,2.0,0.0,0.0,0.0,1232.1,4962.0,980.0,452.0,420.0,155.0,307.0,5.0,41.0,27.0,3.0,1357.0
10,Logan Webb,SFG,17995,77.0,62.0,3.507262289299536,204.0,204.0,119.0,4.0,2.0,0.0,0.0,0.0,1216.1,4988.0,1159.0,518.0,474.0,87.0,288.0,3.0,47.0,23.0,1.0,1126.0
11,Max Fried,2 Tms,13743,97.0,43.0,2.993107494791147,202.0,202.0,110.0,6.0,4.0,0.0,0.0,0.0,1160.2,4715.0,1001.0,427.0,386.0,90.0,313.0,5.0,46.0,49.0,4.0,1124.0
12,Luis Castillo,3 Tms,15689,87.0,94.0,3.7054195464410857,266.0,266.0,140.0,1.0,0.0,0.0,0.0,0.0,1525.1,6341.0,1342.0,687.0,628.0,198.0,489.0,10.0,54.0,19.0,8.0,1591.0
13,Dylan Cease,3 Tms,18525,76.0,64.0,3.67041942697006,217.0,217.0,84.0,4.0,4.0,0.0,0.0,0.0,1184.1,4989.0,962.0,536.0,483.0,132.0,508.0,9.0,38.0,61.0,4.0,1470.0
14,Blake Snell,4 Tms,13543,79.0,55.0,3.0713211553339534,211.0,211.0,93.0,1.0,1.0,0.0,0.0,0.0,1107.2,4547.0,824.0,405.0,378.0,106.0,486.0,6.0,12.0,81.0,4.0,1394.0
15,Clayton Kershaw,LAD,2036,97.0,36.0,2.807012252252526,188.0,188.0,109.0,1.0,0.0,0.0,0.0,0.0,1093.1,4350.0,898.0,376.0,341.0,130.0,236.0,1.0,17.0,41.0,9.0,1133.0
16,Tarik Skubal,2 Tms,22267,65.0,42.0,3.034153592173172,159.0,159.0,83.0,1.0,1.0,0.0,0.0,0.0,907.2,3608.0,728.0,335.0,306.0,101.0,195.0,0.0,30.0,12.0,2.0,1054.0
17,Charlie Morton,5 Tms,4676,101.0,62.0,3.8628220759453704,248.0,248.0,108.0,0.0,0.0,0.0,0.0,0.0,1358.1,5757.0,1180.0,623.0,583.0,152.0,514.0,7.0,124.0,32.0,6.0,1549.0
18,Shane Bieber,2 Tms,19427,71.0,35.0,3.2627815561124502,152.0,152.0,97.0,5.0,2.0,0.0,0.0,0.0,932.1,3786.0,831.0,360.0,338.0,110.0,217.0,1.0,18.0,34.0,3.0,1036.0
19,Framber Valdez,2 Tms,17295,87.0,60.0,3.463469166032573,196.0,196.0,121.0,9.0,3.0,0.0,0.0,0.0,1195.1,4980.0,1031.0,502.0,460.0,100.0,425.0,1.0,67.0,63.0,6.0,1131.0
20,Corbin Burnes,3 Tms,19361,55.0,35.0,3.0313316854224817,151.0,151.0,91.0,0.0,0.0,0.0,0.0,0.0,893.2,3599.0,690.0,332.0,301.0,95.0,251.0,1.0,34.0,40.0,6.0,1021.0
21,José Berríos,2 Tms,14168,104.0,75.0,3.9218543640822006,259.0,259.0,138.0,5.0,1.0,0.0,0.0,0.0,1510.0,6310.0,1396.0,706.0,658.0,206.0,436.0,7.0,93.0,34.0,4.0,1428.0
22,Sandy Alcantara,MIA,18684,65.0,77.0,3.6792453712906115,201.0,201.0,116.0,13.0,5.0,0.0,0.0,0.0,1272.0,5244.0,1120.0,572.0,520.0,134.0,381.0,8.0,53.0,28.0,8.0,1070.0
23,Patrick Corbin,4 Tms,9323,81.0,111.0,4.658959674547366,280.0,280.0,121.0,4.0,2.0,0.0,0.0,0.0,1557.0,6731.0,1683.0,858.0,806.0,227.0,490.0,19.0,37.0,40.0,1.0,1437.0
24,Yu Darvish,4 Tms,13074,69.0,63.0,3.8548721319759545,197.0,197.0,99.0,0.0,0.0,0.0,0.0,0.0,1132.1,4627.0,945.0,502.0,485.0,166.0,314.0,4.0,60.0,48.0,4.0,1263.0
25,Eduardo Rodriguez,3 Tms,13164,94.0,59.0,3.991742145771787,225.0,225.0,96.0,0.0,0.0,0.0,0.0,0.0,1251.1,5328.0,1220.0,591.0,555.0,155.0,438.0,7.0,26.0,14.0,4.0,1227.0
26,Carlos Rodón,3 Tms,16137,81.0,58.0,3.6273764850456693,190.0,190.0,87.0,2.0,1.0,0.0,0.0,0.0,1052.0,4362.0,825.0,458.0,424.0,132.0,390.0,2.0,52.0,49.0,2.0,1184.0
27,Lance Lynn,6 Tms,2520,81.0,60.0,4.0019321088965825,212.0,212.0,102.0,2.0,1.0,0.0,0.0,0.0,1207.2,5138.0,1110.0,597.0,537.0,172.0,412.0,11.0,55.0,42.0,0.0,1240.0
28,Nathan Eovaldi,3 Tms,9132,73.0,47.0,3.686747092224831,192.0,192.0,87.0,5.0,3.0,0.0,0.0,0.0,1079.0,4428.0,987.0,473.0,442.0,145.0,253.0,4.0,44.0,33.0,0.0,1063.0
