rank,Name,Team,playerid,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA
1,Zack Wheeler,2 Tms,10310,1536.0,4109.0,86.38759671142397,103.4,118.6,11.363501115794694,248.0,0.06035532,1339.0,0.32587004,3.1699218592548277,3.167617682629651
2,Jacob deGrom,2 Tms,10954,1165.2,2791.0,87.78693118451454,103.8,114.9,13.274524158125915,188.0,0.06735937,945.0,0.33858832,2.609665454553416,2.745582725642838
3,Gerrit Cole,3 Tms,13125,1429.2,3547.0,88.61368005269573,104.5,115.2,14.072821100917432,279.0,0.07865802,1358.0,0.38285875,3.185357897948788,3.293470620157758
4,Aaron Nola,PHI,16149,1630.0,4410.0,88.21018860787632,104.0,120.5,11.485661849047947,307.0,0.06961451,1602.0,0.36326531,3.8926381096895017,3.478366209245544
5,Max Scherzer,5 Tms,3137,1288.2,3157.0,87.6228110609214,103.7,113.3,19.35006435006435,248.0,0.07855559,1079.0,0.34178017,3.107863495260694,3.057055460606848
6,Chris Sale,2 Tms,10603,1073.1,2554.0,86.90075267499938,103.9,116.7,12.344690966719494,169.0,0.06617071,822.0,0.32184808,2.934782638248482,2.9445209110593358
7,Kevin Gausman,5 Tms,14107,1545.0,4360.0,89.01101757789752,104.9,119.4,13.404706430568499,366.0,0.08394495,1730.0,0.39678899,3.8155339900033054,4.144459621203447
8,Sonny Gray,6 Tms,12768,1394.1,3794.0,88.444229532385,104.7,115.8,9.472012917115178,265.0,0.06984713,1422.0,0.37480232,3.5823572220049145,3.767753067273624
9,Justin Verlander,4 Tms,8700,1232.1,3257.0,88.32787525177002,103.9,118.8,18.684161199625116,236.0,0.07245932,1153.0,0.35400675,3.067351914864092,3.2899897142413073
10,Luis Castillo,2 Tms,15689,1487.0,4072.0,88.77067859488366,104.8,115.2,10.787090317738304,305.0,0.07490177,1604.0,0.39390963,3.619367817601096,3.7321902019915933
11,Logan Webb,SFG,17995,1162.2,3365.0,89.41435043431565,105.4,120.4,3.3224932249322494,219.0,0.06508172,1409.0,0.41872214,3.429185821070632,3.8511286495585018
12,Max Fried,2 Tms,13743,1116.1,3127.0,86.87858136681766,103.9,122.2,5.712981082844096,152.0,0.04860889,1087.0,0.34761752,3.039414847609594,3.3656211449758433
13,Clayton Kershaw,LAD,2036,1093.1,2964.0,87.99267237384421,104.5,115.9,10.784019539427774,181.0,0.06106613,1030.0,0.34750337,2.807012252252526,3.310660956158442
14,Blake Snell,4 Tms,13543,1072.0,2578.0,87.70260758778645,103.8,117.9,12.221958925750394,179.0,0.06943367,880.0,0.34134988,3.1399254290012357,3.517796103159291
15,Dylan Cease,3 Tms,18525,1119.2,2832.0,88.56414271763393,104.2,116.8,15.23920028561228,217.0,0.07662429,1058.0,0.37358757,3.769872071336235,3.604351750050753
16,Charlie Morton,5 Tms,4676,1358.1,3570.0,88.26579653252399,104.3,115.8,9.426099290780142,249.0,0.0697479,1291.0,0.36162465,3.8628220759453704,3.9045103016560474
17,Tarik Skubal,DET,22267,838.2,2148.0,88.18105800882735,104.8,115.7,12.072237960339944,174.0,0.08100559,808.0,0.37616387,3.0476948459939046,3.2468333914818053
18,Shane Bieber,2 Tms,19427,900.1,2418.0,90.45969732302162,104.7,116.3,10.506297229219143,197.0,0.08147229,1052.0,0.43507031,3.258793044217441,3.9252641560067105
19,Corbin Burnes,3 Tms,19361,886.0,2269.0,87.0469034921353,104.2,117.5,9.651380231522706,136.0,0.0599383,761.0,0.33539004,3.0067720996495226,3.106560783660462
20,José Berríos,2 Tms,14168,1510.0,4353.0,88.41020332977416,104.5,118.1,13.663000234027615,345.0,0.07925569,1624.0,0.37307604,3.9218543640822006,4.363136165775755
21,Framber Valdez,2 Tms,17295,1134.1,3164.0,90.4219796541111,105.5,119.6,0.357188703465982,203.0,0.06415929,1388.0,0.43868521,3.4354981919755265,3.78806449649666
22,Sandy Alcantara,MIA,18684,1203.2,3514.0,88.35106718299711,104.5,117.9,8.129320276497696,224.0,0.06374502,1356.0,0.38588503,3.671282317406419,3.887913537125889
23,Patrick Corbin,4 Tms,9323,1557.0,4767.0,89.68367180821222,105.5,116.3,10.38405642231246,399.0,0.08370044,1962.0,0.41157961,4.658959674547366,4.942754263542268
24,Yu Darvish,4 Tms,13074,1132.1,2990.0,88.08380901805414,103.9,115.5,14.738038683406854,229.0,0.07658863,1065.0,0.35618729,3.8548721319759545,3.613310685815602
25,Lance Lynn,6 Tms,2520,1207.2,3431.0,87.96107314176602,104.1,117.6,14.105482717520859,236.0,0.06878461,1217.0,0.35470708,4.0019321088965825,3.9281653954087306
26,Zack Greinke,3 Tms,1943,1122.1,3363.0,88.11279017689212,103.8,117.1,11.065021071643589,233.0,0.06928338,1181.0,0.35117455,3.6085535267862237,4.049895246991646
27,Carlos Rodón,3 Tms,16137,1022.0,2659.0,89.30608787130184,104.8,115.5,16.70509893455099,207.0,0.07784882,1030.0,0.38736367,3.6634051359214634,3.571608508464471
28,Nathan Eovaldi,3 Tms,9132,1061.2,3016.0,88.98321522979481,104.7,118.4,10.039825970548861,237.0,0.0785809,1215.0,0.40285146,3.6791210201291844,3.8040362910814514
29,Brandon Woodruff,MIL,16162,763.2,1943.0,87.19869373285658,104.2,118.4,14.734725848563968,118.0,0.06073083,666.0,0.34276891,3.134875634103409,3.1699270955414494
30,Pablo López,2 Tms,17085,965.0,2697.0,87.46632907595973,104.0,117.3,11.338202247191012,198.0,0.07341491,945.0,0.35038932,3.8145078172575935,3.6203116165434768
