rank,Name,Team,IP,K/9,BB/9,K/BB,HR/9,K,BB,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,LD%,GB%,FB%
1,Zack Wheeler,2 Tms,1443.0,9.661122610042609,2.2765072644709825,4.24383562,0.8856548809722727,,365.0,0.22410303587856487,1.097020091219959,0.28739316239316237,0.75214503,77.87774636607023,75.4024845548605,81.37257766977154,0.211789254,0.448878455,0.33933229
2,Jacob deGrom,2 Tms,1076.0,11.55111532353905,1.9405204598559445,5.95258621,0.9284386682931458,,232.0,0.19720457433290978,0.9368029806201111,0.2722063037249284,0.80426801,62.05679576974219,62.772353283411384,65.29856760016456,0.203490678,0.429194763,0.367314557
3,Max Scherzer,5 Tms,1277.0,11.396241454124812,2.1425215844489442,5.31907895,1.17697731777294,,304.0,0.20739957716701904,1.0062647061465255,0.27630685675492195,0.80183585,72.1807497017624,74.70412454772693,80.43572266879477,0.192908262,0.339297332,0.467794404
4,Aaron Nola,PHI,1549.1,9.939113801176367,2.3642427335352316,4.2039312,1.1559810908440076,,407.0,0.2305990469707284,1.137263362404881,0.2914775592536561,0.7378869,88.52420186855795,81.48499662278799,79.76347360191781,0.201115963,0.458272683,0.340611353
5,Gerrit Cole,3 Tms,1374.2,11.215082464976792,2.3045586851557682,4.86647727,1.1850145511738466,,352.0,0.21125931737936446,1.0395247351917907,0.27965043695380776,0.78686083,75.48223302128,75.66097529930228,74.69052131670922,0.193558007,0.409484044,0.396957948
6,Kevin Gausman,5 Tms,1455.0,9.525773195876289,2.5175257731958762,3.78378378,1.0639175257731959,,407.0,0.24347362812999468,1.2219931271477664,0.30594539423322276,0.73745371,89.86789351256608,81.64211897039726,87.08792269026166,0.21469206,0.409102151,0.376205787
7,Chris Sale,2 Tms,990.1,12.25042086745843,2.099293190195028,5.83549784,0.9451363280531727,,231.0,0.21213763207802763,1.0238976887242706,0.3032603841000447,0.77259165,67.7970622548073,64.62386491998423,66.99812370945911,0.205780845,0.41760138,0.376617773
8,Justin Verlander,4 Tms,1232.1,9.910467972548982,2.2420881853887527,4.42019544,1.1319989209617483,,307.0,0.21239705244906806,1.0443602948227741,0.26595744680851063,0.78847885,73.06118783405489,81.67893667015012,90.02805495709596,0.202288895,0.33807609,0.459635013
9,Sonny Gray,6 Tms,1313.0,9.651180670904795,2.899466920307335,3.3286052,0.9596344417092836,,423.0,0.22879486665329857,1.1911652911375552,0.2910729863332364,0.72489392,86.52023535874089,81.72624844599443,83.04222833949642,0.209796149,0.475368063,0.314835787
10,Luis Castillo,2 Tms,1423.2,9.526808580141926,2.889018925763013,3.297593,1.106298275729819,,457.0,0.22806691449814126,1.1828611405263587,0.2844780962682531,0.74865591,86.64566498628278,88.30316243467611,86.18301060969891,0.185863874,0.474607329,0.339528795
