rank,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN
1,Zack Wheeler,PHI,192.0,95.792407761177,,90.85253859092595,,,95.17676049890653,84.38217060572109,81.38254862016588,,,90.75384580172025,,
2,Spencer Strider,ATL,186.2,97.24471763606664,,,,,,85.61965651184548,,,,87.02533311631944,,
3,Sonny Gray,MIN,184.0,92.8992152189085,,87.60216755854081,,,92.78803602782652,84.34861623374648,79.57251537879476,72.93333180745442,,87.86542515044516,,
4,Gerrit Cole,NYY,209.0,96.65520478611091,,92.7160868105681,,,,89.13265093109443,,82.90934364241782,,89.09098737331931,,
5,Kevin Gausman,TOR,185.0,94.65618212233744,,,86.3042482750438,,,83.61178266173764,,,,,,
6,Zac Gallen,ARI,210.0,93.55000027569204,,90.19765016696597,,,93.03181769631125,87.42068933947333,,82.49279884670092,,86.82339969323434,,
7,Logan Webb,SFG,216.0,92.64017056196164,,,,,92.29662903060627,84.27800824418996,,,,87.45611747442055,,
8,Zach Eflin,TBR,177.2,92.9031448844094,,88.4702384585426,,,92.24350001542565,79.98407144462112,79.05375570260723,,,86.42595398881053,,
9,Justin Steele,CHC,173.1,91.78526251526607,,,,,92.15416542689006,83.2504947272071,80.6941182753619,,,87.48571423121861,,
10,Pablo López,MIN,194.0,94.88120803028373,,,,,94.4631249666214,84.39133058908185,82.47082292875497,,,88.37617564425572,,
11,Framber Valdez,HOU,198.0,95.73333231608073,,89.14499969482422,,,95.29347755321558,84.67354114695746,80.23973134700084,,,90.13995684300335,,
12,George Kirby,SEA,190.2,96.11672688216615,,,84.85263248912075,,95.80952360907995,86.2507203465743,,81.84012299996836,,86.59411651012944,,75.0999984741211
13,Jordan Montgomery,2 Tms,188.2,93.35387090867566,,88.19999996821086,,,93.27779569495425,,80.51050955582255,,,83.48893913417297,,
14,Blake Snell,SDP,180.0,95.51077244762938,,,,,,88.36442276147696,80.98054205059435,,,86.73441795453634,,
15,Kyle Bradish,BAL,168.2,94.47702737756677,,,,,94.96739867493346,88.06884913589015,84.8078779558645,,,90.80821921291961,,
16,Jesús Luzardo,MIA,178.2,96.71638592578411,,91.41818167946555,,,96.53636440560837,85.07242178447277,,,,88.32028783243685,,
17,Aaron Nola,PHI,193.2,92.72109857915522,,86.3243479853091,,,91.77189646753772,,,79.3688844897486,,85.92641006860977,,
18,Dylan Cease,CHW,177.0,95.5642044760964,,,,,,86.25023764958458,,80.2292925593829,,74.59797961302478,,
19,Kodai Senga,NYM,166.1,95.66104681916939,,90.8035827461833,,83.23232580455769,,82.74166662899064,72.8213324991862,,,,,
20,Corbin Burnes,MIL,193.2,,,94.42180602240255,,,95.3016945467157,86.0342199811464,79.8435594963305,,,89.32080924855491,,
21,Justin Verlander,2 Tms,162.1,94.30176606302804,,,,,,86.87754161875237,78.2453849205604,,,85.18925576958775,,
22,Tarik Skubal,DET,80.1,95.75707896332763,,,,,95.8513511451515,87.62222217378162,,76.4397592199854,,84.26397355718645,,
23,Luis Castillo,SEA,197.0,96.26001405481378,,,,,95.85836212477203,85.67830973880392,,,,88.34740014648438,,
24,Mitch Keller,PIT,194.1,95.166748046875,,89.69550367890211,,,93.85535175162302,82.7560878608993,77.98072275674966,,,90.69545468417081,,
25,Tyler Glasnow,TBR,120.0,96.37045165121337,,,,,96.4000015258789,90.14476464695561,83.87797078047649,,,92.26000213623047,,
26,Merrill Kelly,ARI,177.2,92.17719738160629,,90.82603522306363,,,92.41754346702531,85.4692824120615,82.12532370431083,,,88.67530926362967,,
27,Braxton Garrett,MIA,156.2,90.7729278901664,,87.52068169333718,,,90.48517536217896,82.83162036485504,77.6940888653835,,,84.12672811059907,,
28,Eduardo Rodriguez,DET,152.2,92.15083693039905,,88.78399169654178,,,92.39409034035423,84.50350751374897,,,,85.89977586269379,,
29,Tanner Bibee,CLE,142.0,94.90402149151622,,,,,,84.71082748121516,78.34279064799465,,,83.8243526004139,,
30,Sandy Alcantara,MIA,184.2,97.96614910119143,,,,,97.6448106210443,89.88120447980226,86.13333384195964,,,91.12970462922127,,
31,Miles Mikolas,STL,201.1,93.32103351446298,,,,,92.66169687776149,86.40309237450668,75.87914648553206,68.11666615804036,,84.36918675622275,,
32,Logan Gilbert,SEA,190.2,95.68429982145595,,,85.56736112523961,,93.68750286102295,88.66332212313924,,80.31173484179439,,,,
33,Freddy Peralta,MIL,165.2,94.43916042509034,,,,,,82.38239097287081,76.93693152340975,,,88.6077114610787,,
34,José Berríos,TOR,189.2,94.25308803246295,,,,,93.83037835198479,,82.6129885618714,,,84.10976133118238,,
35,Bobby Miller,LAD,124.1,99.04673818221589,,,,,98.75505408834904,89.66608246028075,80.63204450238476,,,88.20063742862385,,
36,Seth Lugo,SDP,146.1,93.43262895914177,,,,,93.20169494111659,85.16958154018387,79.62832277029153,,,86.28357211521694,,
37,Kyle Hendricks,CHC,137.0,87.77314744172273,,,,,87.49687509951384,,73.31369948713747,,,80.71372526492215,,
38,Charlie Morton,ATL,163.1,94.86651821094183,,89.14889818771294,,,94.23523320805842,,82.32573270021122,,,86.04486329588171,,
39,Kyle Gibson,BAL,192.0,92.09311966579727,,89.83154781281002,,,91.92795945174748,81.61625017438617,79.46679681539536,,,85.49419693790044,,
40,Michael Wacha,SDP,134.1,91.98732417290199,,86.9405802851138,,,91.88644098831435,,74.03755094567124,,,81.60496182354561,,
41,Chris Bassitt,TOR,200.0,92.4253426643267,,87.7977135037682,82.58365411024828,,91.88508969497063,75.59182243703681,70.65304518956218,,,84.11804895168397,,
42,Aaron Civale,2 Tms,122.1,91.84556505756993,,87.6954484605087,85.22941297643325,,92.38145241686092,82.45982882507846,78.10183324250573,,,,,
43,Yusei Kikuchi,TOR,167.2,95.06737475125294,,,,,,88.70656743290975,83.12633583251504,,,88.65992652668672,,
44,Marcus Stroman,CHC,133.2,92.00284034555608,,89.67914715084419,86.63473072166214,,91.46490521112445,86.1290903264826,84.65731681265483,,,,,
45,Bailey Ober,MIN,144.1,91.3480714957667,,,,,,81.03807418455963,77.46838757914881,,,83.71871255511887,,
46,Clayton Kershaw,LAD,131.2,90.6979949461585,,,84.43999938964843,,90.92500114440918,86.53265123942334,73.35971886003522,,,84.62000013078962,,
47,Yu Darvish,SDP,136.1,94.68997233734544,,90.93484967164319,89.209356386062,,94.28184075159253,84.00833372808808,72.28392900739398,79.33469422009526,,82.30000305175781,,
48,Cole Ragans,KCR,71.2,96.73724238954742,,92.31266571044922,,,,86.64848503343987,,82.04160681954265,,86.69436645507812,,
