rank,Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
1,Tarik Skubal,DET,195.1,125.40713436385255,119.5395555555556,,124.04,108.08410112359549,111.94455696202535,131.83912849162013,,,123.30483307730088,101.76004656586959,123.60181292422759
2,Paul Skenes,PIT,187.2,106.55377926421404,113.97283154121864,,96.26425427872861,128.57718985275935,110.53542857142858,99.72104294478527,,,110.12493100231934,112.05191000504479,121.19921919350709
3,Cristopher Sánchez,PHI,202.0,,111.50363363363363,,,108.28349272349271,,128.98821791320404,,,117.55739494153649,99.18952468698572,116.1717440670648
4,Garrett Crochet,BOS,205.1,117.00773684210527,108.66983935742972,110.26406392694061,,141.69685258964142,,99.84149253731343,,,117.01556904479776,100.31952123307629,114.5846037621215
5,Logan Webb,SFG,207.0,109.279453125,113.91529945553536,86.66586872586872,,99.34891179839633,,106.80111111111111,,,105.80954524310036,105.21583295294015,110.74538610005668
6,Jesús Luzardo,PHI,183.2,92.56009737098347,106.98073089700998,,,123.33779209621996,,91.43117082533587,,,105.83494188264632,108.97691504720365,112.96483467195067
7,Yoshinobu Yamamoto,LAD,173.2,95.88816901408447,96.58660287081338,90.42221498371335,106.79951977401127,107.79124999999996,104.57132382892061,,,,100.01638753095541,107.91752766032307,110.48681983297124
8,Max Fried,NYY,195.1,106.77049095607235,115.44453720508164,103.30190366972475,,113.02208162383934,113.21091247672254,104.37712609970671,,,109.03654207040337,103.77753565949708,114.04486547571865
9,Hunter Brown,HOU,185.1,113.02924444444446,109.9995731707317,93.80536585365854,,87.01984732824428,,84.12477528089889,104.33652830188677,,105.09452792405622,97.27217336928065,104.15263090657199
10,Kevin Gausman,TOR,193.0,99.50812039312041,120.07,,107.64103781882147,93.0227376425856,,,,,102.01433833547289,102.24060000252071,103.10574741808624
11,Zack Wheeler,PHI,149.2,116.61639143730885,112.99862407862406,89.14436893203884,93.97452830188679,113.99491525423726,110.05803418803418,,,,110.6121724464097,108.98473399351056,120.92010239269882
12,Ranger Suarez,PHI,157.1,86.46983050847457,98.2280287769784,89.57350710900475,,119.49176470588235,109.45862595419848,94.53163793103451,,,97.01284246680014,111.02350192233934,106.90077189548283
13,Framber Valdez,HOU,192.0,78.0959090909091,98.01893081761006,,,110.91538461538462,121.74863113897595,98.99863377609107,,,106.22842261964502,100.49950612967756,110.54987398017673
14,Andrew Abbott,CIN,166.1,95.5637688044339,,90.25373913043477,,120.75555555555555,101.17262376237622,94.74619771863121,,,99.48879795340288,104.65590414992505,101.65809074063432
15,Nathan Eovaldi,TEX,130.0,96.00472222222221,105.67298969072164,92.05231168831169,100.90664451827243,90.68347826086958,107.93941952506597,,,,99.53500475118459,103.94934679576923,104.94901127238697
16,Nick Pivetta,SDP,181.2,102.59257621951221,80.8621238938053,81.48743083003953,85.63199999999999,113.89231407559959,98.32652037617554,,,,101.64432652496598,101.93880523435628,103.15463828209833
17,Michael Wacha,KCR,172.2,90.56373056994818,87.0862456140351,78.9341463414634,,84.82520634920634,91.99388349514562,124.5272673559823,,,96.43164493075213,102.9617377724219,99.21485278769448
18,Freddy Peralta,MIL,176.2,99.7062507571169,,,,115.60130584192441,104.9960736196319,84.87908396946564,,,98.81686376929602,107.59961477348638,105.64576164875243
19,Bryan Woo,SEA,186.2,113.68681215900232,107.00083573487034,,,112.70029411764708,,81.10352331606217,,,109.44458564896,105.58604873752046,113.18100168559108
20,Sonny Gray,STL,180.2,88.17607260726075,103.30532769556025,86.03476744186047,,132.96610622065725,99.77730382293761,82.37467248908297,,,101.6193494657187,99.61528006246768,103.9246580056448
21,Matthew Boyd,CHC,179.2,91.53153605015673,96.72396039603962,,,113.84504901960783,107.71048231511256,102.19292307692307,,,99.36215391423161,106.62754369355176,101.51193522883302
22,Chris Sale,ATL,120.0,105.03918417799754,122.46840579710144,,,128.53910675381263,,97.51280575539568,,,116.32374232388406,102.12934268279669,112.78623736171812
