rank,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%
1,Chris Sale,ATL,0.36895035,0.64624183,0.48952043,0.5758092,0.81163085,0.71117562,0.4348135,0.69373219,0.14123492,0.18168914,0.32292406
2,Tarik Skubal,DET,0.35192563,0.69779412,0.51605024,0.56603774,0.80084299,0.71670047,0.47452896,0.68658699,0.14609484,0.17468619,0.32078103
3,Zack Wheeler,PHI,0.36448598,0.71330798,0.51084876,0.64102564,0.82196162,0.7470331,0.41959158,0.64167726,0.12914541,0.14381378,0.27295918
4,Cole Ragans,KCR,0.3308026,0.71585557,0.48813342,0.57704918,0.79057018,0.70499343,0.40859525,0.58661417,0.14400257,0.14528544,0.28928801
5,Dylan Cease,SDP,0.33538778,0.70588235,0.47961104,0.53139357,0.81278539,0.69260955,0.38927227,0.59580052,0.14742785,0.14523212,0.29265997
6,Seth Lugo,KCR,0.31397971,0.66143498,0.46336761,0.63375224,0.89717514,0.79542302,0.42994859,0.64354067,0.09479434,0.18669666,0.281491
7,Cristopher Sánchez,PHI,0.39290162,0.67338371,0.51233464,0.67194929,0.86533666,0.78018144,0.42581337,0.65782493,0.11258041,0.16261615,0.27519657
8,Garrett Crochet,CHW,0.35978428,0.72926162,0.52901879,0.5267666,0.79125,0.6937648,0.45803758,0.64033613,0.16200418,0.14530271,0.30730689
9,Logan Webb,SFG,0.3458922,0.6283941,0.4596875,0.69742814,0.90987654,0.81441196,0.4028125,0.69678954,0.08525921,0.19862586,0.28388507
10,Paul Skenes,PIT,0.34482759,0.70011025,0.49647059,0.58809524,0.83307087,0.73554502,0.42682353,0.62256809,0.13117066,0.16267043,0.29384109
11,George Kirby,SEA,0.35888078,0.74527589,0.53117627,0.65762712,0.86308316,0.78616751,0.44590495,0.66066838,0.11350623,0.15055574,0.26406197
12,Logan Gilbert,SEA,0.34274194,0.71669219,0.50328731,0.50588235,0.83119658,0.70476813,0.42932281,0.67745953,0.14858646,0.1522025,0.30078895
13,Michael King,SDP,0.32746051,0.63287905,0.45460993,0.60667904,0.82907133,0.73556942,0.41631206,0.65867419,0.12021277,0.19255319,0.31276596
14,Tyler Glasnow,LAD,0.31396439,0.67372881,0.48284436,0.47462687,0.84119497,0.71472709,0.4694182,0.63984674,0.13767396,0.16650099,0.30417495
15,Tanner Houck,BOS,0.33842239,0.63714531,0.4654479,0.65225564,0.88663968,0.78868814,0.42522852,0.6487214,0.09831871,0.19298246,0.29130117
16,Corbin Burnes,BAL,0.35964425,0.67892977,0.48714524,0.56414219,0.87068966,0.73474983,0.39933222,0.63903061,0.12912913,0.15648982,0.28561895
17,Sonny Gray,STL,0.33870968,0.67833491,0.48328635,0.51966874,0.85913529,0.7225,0.42569472,0.63636364,0.13395012,0.17779566,0.31174578
18,Hunter Greene,CIN,0.32740943,0.73703367,0.50312256,0.59916493,0.82469136,0.74088441,0.42896175,0.62193126,0.13031604,0.13655872,0.26687476
19,Framber Valdez,HOU,0.31237458,0.63100635,0.44765204,0.5267666,0.88936782,0.74376612,0.42455735,0.61877667,0.11439539,0.1831094,0.2975048
20,Yusei Kikuchi,2 Tms,0.30915796,0.70092736,0.4827114,0.56262425,0.82910695,0.73404255,0.44299897,0.65353261,0.12816131,0.16848941,0.29665072
21,Reynaldo López,ATL,0.32540357,0.70152505,0.4902148,0.5613577,0.86180124,0.74975657,0.43818616,0.64259259,0.12226451,0.16317793,0.28544244
22,Ranger Suarez,PHI,0.34082923,0.66595059,0.46941376,0.66597938,0.90322581,0.79909502,0.39549703,0.64536741,0.09426752,0.17452229,0.26878981
23,Erick Fedde,2 Tms,0.29032258,0.69844021,0.4532872,0.69047619,0.87965261,0.80687023,0.39930796,0.64738292,0.08739206,0.16062176,0.24801382
24,Max Fried,ATL,0.32098765,0.64886165,0.45655322,0.64423077,0.86774629,0.77557494,0.4134685,0.64985994,0.10231381,0.17606652,0.27838033
25,Jack Flaherty,2 Tms,0.3293601,0.68102564,0.462826,0.54666667,0.84337349,0.71236333,0.37952511,0.61171032,0.13303099,0.17951625,0.31254724
26,Michael Wacha,KCR,0.31561009,0.69339207,0.48039969,0.65226782,0.86149936,0.784,0.43620292,0.64525547,0.10372647,0.15866308,0.26238955
27,Tanner Bibee,CLE,0.31499051,0.7503937,0.50894423,0.65060241,0.81741868,0.7601654,0.44545773,0.65915493,0.12197687,0.15247108,0.27444795
28,Pablo López,MIN,0.35752212,0.72269558,0.51540522,0.62541254,0.82958199,0.74918778,0.43235097,0.67487047,0.12926993,0.14835901,0.27762894
29,MacKenzie Gore,WSN,0.31526223,0.74710871,0.50233801,0.58130841,0.84623323,0.75199468,0.43319973,0.58139535,0.1245409,0.13656093,0.26110184
30,Joe Ryan,MIN,0.32387923,0.70681145,0.50807217,0.62146893,0.81703911,0.75233645,0.48100665,0.70446097,0.12571157,0.16982922,0.2955408
31,Hunter Brown,HOU,0.30514706,0.67918089,0.46148359,0.67269076,0.84045226,0.77588872,0.41797432,0.60202605,0.10338681,0.16506239,0.2684492
32,Brandon Pfaadt,ARI,0.32618583,0.6937799,0.49122807,0.59960159,0.86551724,0.76822157,0.44897959,0.70789474,0.11369324,0.17590275,0.289596
33,Aaron Nola,PHI,0.34673629,0.68602826,0.48228285,0.62650602,0.88215103,0.77178153,0.39949828,0.66463415,0.10992797,0.16974632,0.27967429
34,Shota Imanaga,CHC,0.38942308,0.76719577,0.55482625,0.59964727,0.82988506,0.73903967,0.43783784,0.68011527,0.14456438,0.12914418,0.27370856
35,Blake Snell,SFG,0.34588441,0.65134707,0.45459673,0.49367089,0.78345499,0.64143921,0.35589397,0.64832536,0.16290868,0.16516347,0.32807215
36,Justin Steele,CHC,0.30792377,0.70543375,0.51173021,0.61563518,0.86486486,0.79178606,0.51270772,0.68108108,0.10649731,0.17098192,0.27747924
37,Kevin Gausman,TOR,0.33034648,0.72468619,0.49459742,0.67088608,0.86836028,0.7914024,0.41652144,0.64285714,0.10544103,0.15241636,0.25785738
38,Bailey Ober,MIN,0.37079365,0.73684211,0.52299703,0.63184932,0.79661017,0.72836879,0.41580119,0.674189,0.14200964,0.15164998,0.29365962
