rank,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
1,Tarik Skubal,DET,0.2727272727272727,1.067039106,0.206008583,0.409871244,0.384120171,0.117318435,0.100558659,100.0,4.607508652397615,846.0,2003.0,2849.0,0.37100213,0.34541578,0.28358209,0.20255864,0.51172708,0.28571429
2,Paul Skenes,PIT,0.27292576419213976,1.189655172,0.184154175,0.443254817,0.372591006,0.103448275,0.06321839,71.0,3.404973403157878,1045.0,1952.0,2997.0,0.43070362,0.35607676,0.21321962,0.18123667,0.52452026,0.29424307
3,Cristopher Sánchez,PHI,0.29831144465290804,2.43076923,0.177121771,0.58302583,0.239852398,0.03076923,0.092307692,104.0,4.633663475717967,956.0,1941.0,2897.0,0.43014706,0.34926471,0.22058824,0.14889706,0.53492647,0.31617647
4,Garrett Crochet,BOS,0.29012345679012347,1.429411764,0.178926441,0.483101391,0.337972166,0.111764705,0.14117647,120.0,5.25974031674116,1037.0,2114.0,3151.0,0.42436149,0.34577603,0.22986248,0.17681729,0.49901768,0.32416503
5,Logan Webb,SFG,0.3462897526501767,2.14084507,0.218914185,0.532399299,0.248686514,0.084507042,0.098591549,125.0,5.434782683811778,1117.0,2165.0,3282.0,0.39378238,0.36442142,0.2417962,0.14853195,0.57512953,0.27633851
6,Jesús Luzardo,PHI,0.3240343347639485,1.152542372,0.201257861,0.427672955,0.371069182,0.096045197,0.09039548,129.0,6.321234240131372,1060.0,1955.0,3015.0,0.41701245,0.34232365,0.2406639,0.16182573,0.51659751,0.32157676
7,Yoshinobu Yamamoto,LAD,0.24324324324324326,1.692307692,0.160671462,0.527577937,0.311750599,0.107692307,0.107692307,68.0,3.523992413974115,1004.0,1788.0,2792.0,0.40617577,0.32779097,0.26603325,0.16627078,0.52969121,0.304038
8,Max Fried,NYY,0.27932960893854747,1.776397515,0.181318681,0.523809523,0.294871794,0.062111801,0.086956521,158.0,7.279863635245813,1136.0,1974.0,3110.0,0.43012704,0.353902,0.21597096,0.21415608,0.50816697,0.27767695
9,Hunter Brown,HOU,0.26244343891402716,1.476510067,0.192560175,0.481400437,0.326039387,0.093959731,0.114093959,83.0,4.030575608702454,1132.0,1832.0,2964.0,0.38562092,0.35947712,0.25490196,0.19825708,0.52069717,0.28104575
10,Kevin Gausman,TOR,0.26171875,0.873303167,0.212927756,0.366920152,0.420152091,0.08597285,0.095022624,94.0,4.3834197974185205,988.0,2042.0,3030.0,0.35969868,0.33333333,0.30696798,0.15065913,0.48775895,0.36158192
