rank,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,Zack Wheeler,PHI,13.0,6.0,0.0,32.0,32.0,192.0,9.937500148080291,1.8281250272411858,0.9375000139698388,0.29191321499013806,0.71276596,0.41221374,0.0990099,95.96223280164931,3.6093750537838796,3.2143299327516655,3.1508736912781994,3.5361708548212625,5.899597246867329
2,Spencer Strider,ATL,20.0,5.0,0.0,32.0,32.0,186.2,13.548214608728893,2.796428638100626,1.0607143110036856,0.3155216284987277,0.7025247,0.34057971,0.121546961,97.37610024253091,3.857142949104311,3.083881123458006,2.8532546356320374,2.9242724987447257,5.483891063519699
3,Sonny Gray,MIN,8.0,8.0,0.0,32.0,32.0,184.0,8.95108709570253,2.6902174331346402,0.3913043539104931,0.2948207171314741,0.76773567,0.473267326,0.051948051,92.84131366680195,2.7880435216122637,3.6927460124219924,2.8256925267341684,3.6442586813551188,5.389149995305487
4,Gerrit Cole,NYY,15.0,4.0,0.0,33.0,33.0,209.0,9.55980878692716,2.0669856836599263,0.8612440348583027,0.26145038167938933,0.80434783,0.396296296,0.094339622,96.83374685179679,2.6267943063178234,3.446143978934229,3.164131266928694,3.5971962118542296,5.305351613458739
5,Kevin Gausman,TOR,12.0,9.0,0.0,31.0,31.0,185.0,11.52972996747259,2.6756757308480696,0.9243243433838786,0.3207126948775056,0.76646091,0.426406926,0.107344632,94.6458258213141,3.1621622273659007,3.843937856972587,2.9685538671032368,3.2152741989428826,5.268610749629511
6,Zac Gallen,ARI,17.0,9.0,0.0,34.0,34.0,210.0,9.42857168547962,2.014285769170646,0.9428571685479619,0.3007246376811594,0.73135755,0.417832167,0.109452736,93.51585274424292,3.471428666017496,4.201770680344073,3.264564169280383,3.4851532350241676,5.1555515660558076
7,Logan Webb,SFG,11.0,13.0,0.0,33.0,33.0,216.0,8.083333547468545,1.291666700884149,0.8333333554091282,0.3016666666666667,0.73684211,0.621138211,0.153846153,92.669955025732,3.2500000860956004,3.6377484246803244,3.1624477644516116,2.9538168700984633,4.935663224471749
8,Zach Eflin,TBR,16.0,8.0,0.0,31.0,31.0,177.2,9.422138921066153,1.2157598607827294,0.9624765564529941,0.2951167728237792,0.73232323,0.497925311,0.11728395,93.10002042101576,3.495309599750347,3.024544751262551,3.0073855730413293,3.124700681820241,4.888350987075271
9,Justin Steele,CHC,16.0,5.0,0.0,30.0,30.0,173.1,9.13846165578041,1.8692307932278112,0.7269230862552599,0.3167701863354037,0.73004202,0.493877551,0.098591549,,3.0634615777900236,3.5260903633262304,3.0185018949219464,3.3229785280283917,4.8236743811554055
10,Pablo López,MIN,11.0,8.0,0.0,32.0,32.0,194.0,10.855670369916856,2.226804178444483,1.1134020892222416,0.31275720164609055,0.76228686,0.452380952,0.13114754,94.87547127527135,3.6649485436898788,3.0116092211494876,3.332359949026393,3.28371753016519,4.590729995069183
11,Framber Valdez,HOU,12.0,11.0,0.0,31.0,31.0,198.0,9.090909178482491,2.5909091158675097,0.8636363719558366,0.28160919540229884,0.7122093,0.542056074,0.139705882,95.66151210239956,3.4545454878233466,4.302081685953289,3.4974646042566038,3.3856254038722593,4.430921081264951
12,George Kirby,SEA,13.0,10.0,0.0,31.0,31.0,190.2,8.11888130838944,0.8968531677872057,1.038461562700975,0.29182156133828996,0.75057737,0.441651705,0.106796116,96.18561455862863,3.351398679625874,3.884071114760448,3.3442012007390733,3.630514815710879,4.230921660442507
13,Jordan Montgomery,2 Tms,10.0,11.0,0.0,32.0,32.0,188.2,7.918728142017827,2.289752715764191,0.8586572684115716,0.29390018484288355,0.75564279,0.432432432,0.093264248,93.38051208892426,3.1961131657541832,3.9762889014666003,3.562460863002448,4.013504454609597,4.211810262941538
14,Blake Snell,SDP,14.0,9.0,0.0,32.0,32.0,180.0,11.700000061988831,4.950000026226044,0.750000003973643,0.2557544757033248,0.86734694,0.444444444,0.108695652,95.68590666952264,2.250000011920929,3.7698312328274532,3.4383736938017386,3.6226100394729492,4.14275122268921
15,Kyle Bradish,BAL,12.0,7.0,0.0,30.0,30.0,168.2,8.964427114007934,2.3478261489068397,0.7470355928339945,0.2700228832951945,0.79075426,0.492204899,0.102189781,,2.8280633157286936,3.7595198526921414,3.2668980673198327,3.530786554270011,3.864185626095951
16,Jesús Luzardo,MIA,10.0,10.0,0.0,32.0,32.0,178.2,10.47761225721624,2.7705224718600636,1.1082089887440254,0.3111111111111111,0.74921956,0.401709401,0.115183246,96.79169266767602,3.576492645492082,3.9599907345922523,3.5516821595144106,3.718418274657361,3.848611645250897
17,Aaron Nola,PHI,12.0,9.0,0.0,32.0,32.0,193.2,9.387263647242419,2.091222099633212,1.4870912708502841,0.28460038986354774,0.6640625,0.426199261,0.15609756,92.87470310469946,4.461273812550852,3.6997419447061937,4.029567063064928,3.631651953064402,3.827804592905073
18,Dylan Cease,CHW,7.0,9.0,0.0,33.0,33.0,177.0,10.88135622534661,4.016949260758795,0.9661017209419887,0.3304535637149028,0.6940874,0.359832635,0.101604278,95.77544420415705,4.576271309725209,4.143714576676762,3.723966925802246,4.075248166840165,3.5765623914202975
