rank,Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
1,Aaron Nola,PHI,11.0,13.0,3.248780548259094,32.0,32.0,18.0,2.0,1.0,0.0,0.0,0.0,205.0,807.0,168.0,75.0,74.0,19.0,29.0,1.0,9.0,2.0,0.0,235.0
2,Carlos Rodón,SFG,14.0,8.0,2.882022502792257,31.0,31.0,16.0,1.0,0.0,0.0,0.0,0.0,178.0,710.0,131.0,59.0,57.0,12.0,52.0,0.0,3.0,10.0,0.0,237.0
3,Justin Verlander,HOU,18.0,4.0,1.748571447629345,28.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,175.0,666.0,116.0,43.0,34.0,12.0,29.0,0.0,6.0,3.0,0.0,185.0
4,Sandy Alcantara,MIA,14.0,9.0,2.282798868728153,32.0,32.0,24.0,6.0,1.0,0.0,0.0,0.0,228.2,886.0,174.0,67.0,58.0,16.0,50.0,1.0,9.0,3.0,0.0,207.0
5,Shohei Ohtani,LAA,15.0,9.0,2.3313253413853934,28.0,28.0,16.0,0.0,0.0,0.0,0.0,0.0,166.0,660.0,124.0,45.0,43.0,14.0,44.0,0.0,2.0,14.0,0.0,219.0
6,Kevin Gausman,TOR,12.0,10.0,3.3492367265594174,31.0,31.0,17.0,0.0,0.0,0.0,0.0,0.0,174.2,725.0,188.0,72.0,65.0,15.0,28.0,0.0,1.0,2.0,2.0,205.0
7,Max Fried,ATL,14.0,7.0,2.476618734771967,30.0,30.0,21.0,0.0,0.0,0.0,0.0,0.0,185.1,733.0,156.0,55.0,51.0,12.0,32.0,2.0,4.0,9.0,0.0,170.0
8,Shane Bieber,CLE,13.0,8.0,2.8800000686645526,31.0,31.0,23.0,1.0,0.0,0.0,0.0,0.0,200.0,791.0,172.0,70.0,64.0,18.0,36.0,0.0,2.0,5.0,1.0,198.0
9,Corbin Burnes,MIL,12.0,8.0,2.940594142704033,33.0,33.0,21.0,0.0,0.0,0.0,0.0,0.0,202.0,797.0,144.0,73.0,66.0,23.0,51.0,0.0,13.0,10.0,0.0,243.0
10,Max Scherzer,NYM,11.0,5.0,2.2912844537875947,23.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,145.1,565.0,108.0,39.0,37.0,13.0,24.0,0.0,11.0,1.0,0.0,173.0
11,Framber Valdez,HOU,17.0,6.0,2.8162252233690426,31.0,31.0,26.0,3.0,1.0,0.0,0.0,0.0,201.1,827.0,166.0,71.0,63.0,11.0,67.0,0.0,11.0,11.0,1.0,194.0
12,Dylan Cease,CHW,14.0,8.0,2.2010870021547855,32.0,32.0,16.0,1.0,1.0,0.0,0.0,0.0,184.0,747.0,126.0,55.0,45.0,16.0,78.0,2.0,3.0,7.0,1.0,227.0
13,Logan Webb,SFG,15.0,9.0,2.9012132482998285,32.0,32.0,19.0,0.0,0.0,0.0,0.0,0.0,192.1,787.0,174.0,76.0,62.0,11.0,49.0,0.0,7.0,6.0,0.0,163.0
14,Zac Gallen,ARI,12.0,4.0,2.543478313601086,31.0,31.0,19.0,0.0,0.0,0.0,0.0,0.0,184.0,714.0,121.0,56.0,52.0,15.0,47.0,0.0,12.0,5.0,0.0,192.0
