rank,Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA
1,Zack Wheeler,PHI,192.0,527.0,86.92519000104366,103.2,113.2,14.244274809160306,27.0,0.0512334,192.0,0.36432638,3.6093750537838796,3.2143299327516655
2,Spencer Strider,ATL,186.2,415.0,88.50507225736904,104.2,111.8,17.02415458937198,34.0,0.08192771,150.0,0.36144578,3.857142949104311,3.083881123458006
3,Sonny Gray,MIN,184.0,510.0,89.12970309115873,104.4,113.7,9.60990099009901,35.0,0.06862745,200.0,0.39215686,2.7880435216122637,3.6927460124219924
4,Gerrit Cole,NYY,209.0,544.0,89.22201538085938,104.4,114.9,14.753731343283581,41.0,0.07536765,213.0,0.39154412,2.6267943063178234,3.446143978934229
5,Kevin Gausman,TOR,185.0,468.0,89.41149703747797,105.6,117.9,12.245119305856832,46.0,0.0982906,202.0,0.43162393,3.1621622273659007,3.843937856972587
6,Zac Gallen,ARI,210.0,574.0,91.48266131239055,104.9,113.8,12.320490367775832,53.0,0.09233449,265.0,0.46167247,3.471428666017496,4.201770680344073
7,Logan Webb,SFG,216.0,620.0,90.7086887046939,106.2,114.2,0.6029411764705882,43.0,0.06935484,285.0,0.45967742,3.2500000860956004,3.6377484246803244
8,Zach Eflin,TBR,177.2,490.0,87.45384612846772,104.8,115.5,9.132780082987551,44.0,0.08979592,172.0,0.35102041,3.495309599750347,3.024544751262551
9,Justin Steele,CHC,173.1,497.0,87.80061172173947,103.6,111.1,9.30204081632653,27.0,0.05432596,182.0,0.36619718,3.0634615777900236,3.5260903633262304
10,Pablo López,MIN,194.0,510.0,87.05801989866956,103.2,112.8,12.63960396039604,32.0,0.0627451,177.0,0.34705882,3.6649485436898788,3.0116092211494876
11,Framber Valdez,HOU,198.0,541.0,91.50526324967693,105.3,114.8,4.24202626641651,43.0,0.07948244,246.0,0.45471349,3.4545454878233466,4.302081685953289
12,George Kirby,SEA,190.2,560.0,89.24847412109375,104.9,115.6,12.398563734290844,42.0,0.075,229.0,0.40892857,3.351398679625874,3.884071114760448
13,Jordan Montgomery,2 Tms,188.2,559.0,88.3387680053711,103.7,114.0,12.009041591320072,42.0,0.07513417,212.0,0.37924866,3.1961131657541832,3.9762889014666003
