rank,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN
1,Cam Schlittler,NYY,53.1,97.90406976744185,,94.02916745786314,,,97.27870857484879,89.19545329700817,84.19038567176231,,,,,
2,Cristopher Sánchez,PHI,55.1,,,,,,94.85873041708003,85.59150326797386,,,,86.26792437475433,,
3,Dylan Cease,TOR,45.1,97.85724171605604,,,,,96.05146879308364,88.38571478396045,,82.7218747138977,,84.59101096163975,,
4,Davis Martin,CHW,50.0,94.0373054464864,,89.6057134719122,,,92.8874991280692,87.12090953480114,81.94096429663968,,,90.21240329003149,,
5,Max Fried,NYY,58.2,94.74069024447738,,92.00364557902019,,,93.07021510347407,80.52840839732777,73.92320068359375,,,85.43305115780588,,
6,Tarik Skubal,DET,43.1,96.5795087970671,,,,,96.43162340995593,89.32325638172239,79.90555614895291,,,86.63540327178765,,
7,Nolan McLean,NYM,45.1,96.37761084713154,,91.40655667664575,,,95.0114818431713,84.69914467314369,81.49666646321614,,,88.0985304888557,,
8,Seth Lugo,KCR,47.2,91.52460298084077,,90.12192950332374,,,91.40066731770834,81.17210876049639,76.91700630447491,68.95625066757202,,85.40508619405456,,
9,Jacob Misiorowski,MIL,44.0,99.52522277832031,,,,,,94.92289127211973,87.2068619073606,,,92.73124837875366,,
10,Parker Messick,CLE,47.0,93.6511111111111,,90.76172892252605,,,92.32282771234927,86.87428545270647,78.97307645357571,,,85.3164701573989,,
11,Shota Imanaga,CHC,47.1,91.85742590372318,,,83.3255542896412,,90.00208377838135,81.63796262387876,74.05999959309896,,,,,
12,Jacob deGrom,TEX,44.2,97.17920444500191,,,,,96.43333519829645,91.18648824605856,80.84722391764323,,,89.92192907500686,,
13,Shohei Ohtani,LAD,37.0,97.9947998046875,,91.83999633789062,88.05846275916467,,95.73333358764648,85.03767123287672,74.47777896457248,,,,,
14,José Soriano,LAA,54.1,97.69857061476935,,,92.7335573746854,,96.82416687011718,90.41956528373386,,85.66666666666667,,,,
15,Bryce Elder,ATL,54.2,92.62526212993421,,88.90659474802541,,,91.52166714138455,83.33785897714121,,,,85.76075976407981,,
16,Braxton Ashcraft,PIT,48.2,96.76909124200995,,,91.28750006357829,,96.49655098750674,91.74710127236186,84.81397796959006,,,,,
17,Joe Ryan,MIN,44.2,92.67165244034146,,,87.00120572009719,,92.61553540276093,81.98874143890987,,77.75697610544604,,,,
18,Kevin Gausman,TOR,51.1,93.80494425912921,,,83.89312515258788,,,84.3072723388672,,,,,,
19,Landen Roupp,SFG,43.2,92.67499923706055,,88.45914024435064,,,93.22892804827009,,76.47168916327769,,,87.08767031316887,,
20,Reid Detmers,LAA,43.2,93.98795953961121,,,,,93.45172487456223,86.34115365835336,72.73132618364082,,,83.00937525431316,,
21,Paul Skenes,PIT,42.0,97.3195657481318,,,93.59670265952309,,96.80412150904075,83.80891131410505,81.8099983215332,,,89.00172319083379,,
22,Max Meyer,MIA,42.0,95.02416172923658,,,,,93.63023340979288,89.4366859767748,,,,87.90123532142168,,
23,George Kirby,SEA,57.0,96.62744370080475,,92.54333318074545,,,96.72363651160038,86.62112670325338,,83.62441732717114,,88.70579683607903,,
24,Mitch Keller,PIT,47.0,93.45325203252033,,90.36666644061053,,,92.23967043033316,83.61333279079861,78.12244929099569,,,88.81428428748985,,
25,Jesús Luzardo,PHI,43.2,97.07871238784034,,,,,96.2745610287315,86.25054116369584,,,,86.5229878041936,,
26,Shane McClanahan,TBR,34.2,95.16919068615846,,,,,,87.85333342375579,81.91803378746158,,,86.82580723916331,,
