rank,Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
1,Cam Schlittler,NYY,27.2,120.44098765432098,117.58969696969696,103.75607476635513,,122.86666666666667,110.33828571428572,,,,114.56389800104958,113.95893880471898,122.81332115425245
2,Cristopher Sánchez,PHI,28.1,,110.5245054945055,,,106.66314285714286,,126.0565,,,114.80079122367202,98.98317420764367,111.76676729692721
3,José Soriano,LAA,32.2,102.38295652173913,103.7656953642384,,110.15633333333332,94.21793103448276,,,98.745625,,102.34412915532603,109.96420499220694,115.305009421453
4,Tarik Skubal,DET,30.1,117.0900689655172,112.45163636363637,,,112.39500000000001,105.13818181818182,119.87752808988765,,,115.97935533034261,104.88489624322996,119.93893927000006
5,Taj Bradley,MIN,27.2,110.80230366492147,,112.55658536585365,110.4425581395349,,118.81302325581396,,,,111.94004975124376,91.47786069651741,101.71288557213931
6,Braxton Ashcraft,PIT,22.2,90.64485981308411,98.06245614035087,,78.22,94.24190476190476,124.04356435643565,,,,102.0264766549145,99.72709941019474,101.08935912221162
7,Joe Ryan,MIN,27.1,116.25831775700935,113.25423076923077,,73.77954545454544,87.51121367521367,,,124.00638297872342,,107.31470182321334,110.0482401968463,115.40276279002431
8,Bryan Woo,SEA,25.0,108.99626373626373,107.90026315789474,,,117.09166666666667,,86.90666666666667,,,109.48388405797103,105.0695652173913,110.57171014492754
9,Jeffrey Springs,ATH,24.2,96.26703703703704,,90.74875,,92.96003389830508,,112.50191780821918,,,98.19708318604926,103.87555496641922,102.49972899728996
10,Seth Lugo,KCR,24.1,91.56000000000002,81.19135135135134,81.89466666666667,,84.42901185770751,100.42363636363636,71.756,,,86.79006520951576,109.74971319888904,95.26568953024996
11,Parker Messick,CLE,25.2,96.64031496062992,98.98756756756758,90.22319999999999,,88.51063829787235,103.36681818181819,101.73132530120483,,,97.34973684627572,105.19247363065546,105.60362131124452
12,Nick Pivetta,SDP,16.0,106.507375,87.89500000000001,73.30827586206897,,121.10810810810811,88.96326530612242,,,,101.66904593639576,104.18572438162543,106.54720848056537
