rank,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%
1,Cam Schlittler,NYY,0.39953811,0.75,0.55766793,0.61271676,0.82022472,0.73863636,0.45120406,0.65346535,0.14520202,0.13131313,0.27651515
2,Dylan Cease,TOR,0.33103448,0.68518519,0.4579646,0.53645833,0.78378378,0.66908213,0.35840708,0.58986175,0.15154867,0.15818584,0.30973451
3,Cristopher Sánchez,PHI,0.39544513,0.63387978,0.49823322,0.58115183,0.81034483,0.70685579,0.43109541,0.70338983,0.14605418,0.16961131,0.31566549
4,Max Fried,NYY,0.31588448,0.64187328,0.44492912,0.64571429,0.87124464,0.7745098,0.39585605,0.52916667,0.10032715,0.17448201,0.27480916
5,Davis Martin,CHW,0.36616162,0.68249258,0.51159618,0.5862069,0.87826087,0.76533333,0.45975443,0.60416667,0.12005457,0.16371078,0.28376535
6,Jacob Misiorowski,MIL,0.35010941,0.6504065,0.4842615,0.45625,0.7625,0.64,0.44673123,0.65346535,0.17391304,0.17391304,0.34782609
7,Shohei Ohtani,LAD,0.35561497,0.63822526,0.47976012,0.54135338,0.81283422,0.7,0.43928036,0.57894737,0.14392804,0.17841079,0.32233883
8,Seth Lugo,KCR,0.28632479,0.7075718,0.47591069,0.73134328,0.88929889,0.83703704,0.45005875,0.68778281,0.07755582,0.16921269,0.24676851
9,Paul Skenes,PIT,0.3752809,0.73489933,0.51951548,0.65868263,0.84018265,0.76165803,0.40107672,0.62702703,0.12382234,0.14401077,0.26783311
10,Shota Imanaga,CHC,0.41555977,0.68690096,0.51666667,0.60730594,0.79534884,0.70046083,0.37261905,0.56872038,0.15457788,0.13198573,0.28656361
11,Tarik Skubal,DET,0.37714286,0.67753623,0.50958466,0.58333333,0.8342246,0.73040752,0.44089457,0.6746988,0.13716108,0.15311005,0.29027113
12,Nolan McLean,NYM,0.29511677,0.60220994,0.42857143,0.61870504,0.86697248,0.77030812,0.43457383,0.62561576,0.09843938,0.20408163,0.30252101
13,Parker Messick,CLE,0.35887097,0.6873065,0.48840049,0.64606742,0.84684685,0.7575,0.39438339,0.62439024,0.1181486,0.15347138,0.27161998
14,Jacob deGrom,TEX,0.3872549,0.72666667,0.53107345,0.46835443,0.83944954,0.68351064,0.42372881,0.63218391,0.16784203,0.13963329,0.30747532
15,José Soriano,LAA,0.35645472,0.62202381,0.46081871,0.54594595,0.85645933,0.7106599,0.39298246,0.57674419,0.13333333,0.16959064,0.30292398
16,Shane McClanahan,TBR,0.33522727,0.64981949,0.47376789,0.59322034,0.83888889,0.74161074,0.44038156,0.52201258,0.12241653,0.16852146,0.290938
17,Chase Burns,CIN,0.36435644,0.70226537,0.49262899,0.57608696,0.79262673,0.69326683,0.37960688,0.59903382,0.15110565,0.13390663,0.28501229
18,Bryce Elder,ATL,0.30916844,0.67834395,0.45721584,0.59310345,0.89671362,0.77374302,0.40102171,0.59907834,0.10331633,0.16071429,0.26403061
19,Braxton Ashcraft,PIT,0.35400517,0.66666667,0.48976608,0.5620438,0.84848485,0.73134328,0.43421053,0.65445026,0.13157895,0.17690058,0.30847953
20,Jesús Luzardo,PHI,0.38095238,0.60479042,0.46798603,0.53,0.84158416,0.68656716,0.38882421,0.57746479,0.14668219,0.17345751,0.3201397
21,Ranger Suarez,BOS,0.3425,0.636,0.45538462,0.68613139,0.88679245,0.79391892,0.38461538,0.63313609,0.09355828,0.17177914,0.26533742
22,Landen Roupp,SFG,0.29454545,0.64401294,0.42025611,0.60493827,0.86934673,0.75069252,0.35972061,0.56716418,0.10477299,0.17462165,0.27939464
23,Reid Detmers,LAA,0.34072581,0.67741935,0.48502304,0.61538462,0.86904762,0.7672209,0.42857143,0.62910798,0.11264368,0.16091954,0.27356322
24,Kevin Gausman,TOR,0.37791932,0.70487106,0.51707317,0.62359551,0.85772358,0.75943396,0.42560976,0.62200957,0.12439024,0.15365854,0.27804878
25,Joe Ryan,MIN,0.34320988,0.67551622,0.49462366,0.6618705,0.85152838,0.7798913,0.45564516,0.65745856,0.10872483,0.16241611,0.27114094
26,Chris Sale,ATL,0.38398357,0.67130919,0.50591017,0.63101604,0.81742739,0.73598131,0.42434988,0.63425926,0.13356974,0.17375887,0.30732861
27,George Kirby,SEA,0.4004065,0.70623145,0.52472859,0.71573604,0.8907563,0.81149425,0.40651387,0.64757709,0.09879518,0.14457831,0.24337349
28,Bailey Ober,MIN,0.30512249,0.68501529,0.46520619,0.71532847,0.84375,0.79501385,0.42139175,0.63157895,0.09536082,0.17268041,0.26804124
29,Mitch Keller,PIT,0.35205184,0.64984227,0.47307692,0.69325153,0.91262136,0.81571816,0.40641026,0.61904762,0.08706786,0.16901408,0.25608195
30,Bryan Woo,SEA,0.36363636,0.75882353,0.53836151,0.65384615,0.87596899,0.79227053,0.44213264,0.7014218,0.11168831,0.14545455,0.25714286
31,Max Meyer,MIA,0.36659436,0.6677116,0.48974359,0.46153846,0.89201878,0.70157068,0.40897436,0.63054187,0.14615385,0.15384615,0.3
32,Will Warren,NYY,0.28725702,0.62536873,0.43017456,0.61654135,0.85849057,0.76521739,0.42269327,0.60606061,0.10099751,0.20448878,0.30548628
