rank,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+
1,Cristopher Sánchez,PHI,64.1,132.2178763914022,55.26977819323516,239.222742125227,39.738766899622476,135.077761313852,56.46526412097982,105.30790527413888,92.37342350945106,123.99829066328188,112.94671153367892,44.051901717009855,46.412317345292934,56.04743748718266,79.82479396490257,137.537606019221,67.41525012662171
2,Cam Schlittler,NYY,60.0,120.38653378625335,44.47426301565581,270.68806471686713,27.67570394774685,136.96428602745846,50.59856657701657,69.99642283413831,59.01975423741421,81.54420974185932,112.90903517078029,32.717091419770824,42.92661726929624,61.51509447570543,92.19698110744307,115.5977927077467,87.34429805981574
3,Dylan Cease,TOR,52.1,152.23100355364915,97.34378282555147,156.384911340458,15.865053099597237,157.32885934470298,100.60360177944081,88.80519103093397,89.26147883928037,118.89301571211264,104.62430510965592,58.04196545107194,44.08331568097352,61.37522488900527,119.47419457844148,113.33947213829995,76.29561767902877
4,Davis Martin,CHW,56.0,111.91395044995112,43.319086713554455,258.34787356543836,44.478809259548036,124.91667511096345,48.35211801582151,93.12642889442907,73.99893089243147,104.32862128737884,123.68226397834981,38.41233362524096,55.790142976902246,72.07071222052504,117.49708032323971,97.46756151505824,94.05927819273904
5,Max Fried,NYY,61.2,86.1270904260781,74.74298702642596,115.23098730119075,13.463855893605729,94.83434028818672,82.2993351178862,82.07977284393819,75.75163350526182,86.94051773948236,93.00866733879245,77.81362236822791,63.97163569381043,91.36442234880761,87.32651961143979,117.6471168834672,87.57581292641561
6,Jacob Misiorowski,MIL,51.0,166.78464128329503,84.65926333274365,197.0069640735771,66.83731593423174,179.2120793444912,90.96737819668789,68.13440044059584,69.61134479610172,91.49179432620626,113.22037089928408,52.52467229736475,55.937928179351495,54.765084355297304,121.45649476255099,97.40898698495866,92.23631966751087
7,Seth Lugo,KCR,58.2,92.34194309557923,86.83507924054797,106.34173969925087,28.30469708636419,94.37173382347244,88.74382740421596,113.33371425552147,105.31087626369586,119.29047782859207,99.7695787517342,85.64892047998384,69.39499429131214,96.59681774891392,130.18728052866373,87.41781287604479,98.43855631999078
8,Paul Skenes,PIT,55.0,121.79069370345326,36.942223989537666,329.6788415078125,77.47052526600432,137.0584690127711,41.57332660402745,66.88774708981788,54.72607302814174,71.36359957444085,96.4753160495874,63.24727254772925,65.35501253940093,71.31936288473672,77.17971230967689,98.12260591938895,113.52162400345006
9,Shohei Ohtani,LAD,44.0,120.82409867030992,63.49444631224355,190.2908175900979,38.73526191937259,132.31301174711956,69.53199696592156,67.34126992810921,63.14546771528009,76.95766928467177,126.64384024473098,20.243228127222864,56.73287325409263,74.56417018053767,64.76351215447761,118.15106231941411,96.96001250893158
10,Tarik Skubal,DET,43.1,110.30892774707534,33.588953803814135,328.4083138543708,38.320205372405894,123.39890065434457,37.57483910610277,92.02010514096625,71.28736255434038,102.46561019296136,99.01943159935927,64.53684746226432,50.66175901352506,61.28881100744567,130.59641720127965,110.7774987216875,73.52658750151289
11,Nolan McLean,NYM,52.1,130.0282815755038,72.79618225413527,178.61964743452455,65.13445474638591,142.66340888699438,79.86993810354957,80.0087088118833,73.73674753132516,93.08703586830418,99.65045308906765,74.4366593530591,66.33093223171677,67.9918049855948,130.9268716674127,97.75400103559147,87.1181294515488
12,Kevin Gausman,TOR,57.1,98.19489914388639,38.080500312563885,257.8613426911761,86.8888385857205,104.44093576597568,40.50274799879408,96.0348819289698,78.84875683334293,96.00793370004187,96.71665407516996,83.25454799746838,73.02732651544096,82.74268261515367,105.40437940798455,90.95538890675522,106.90523663484657
13,Joe Ryan,MIN,50.2,109.0187630825516,67.03058654842134,162.64030780108237,49.16078899020563,116.60419374660094,71.69452096367527,83.15733925411742,75.84005232271303,90.25885811121833,86.29404271760146,76.04168909253892,67.87603815613743,90.1248366057828,77.8528584421842,94.26621292422047,116.97568700257703
14,Parker Messick,CLE,53.2,114.8004596577555,63.28353729398398,181.4064971391677,77.35445323446957,128.7896602606728,70.99506150754453,85.80701834272656,74.40841340129336,93.10165679188664,117.98059929048826,56.931622386621626,72.71492820734593,71.75897427587468,84.28024571966598,115.87942649392653,90.94640403492681
15,Bryan Woo,SEA,59.0,99.02182175114308,49.33970470467964,200.6939695630751,84.43434834292853,107.45178480970966,53.540113595853164,87.80626862374783,74.06734158567222,88.04103062226064,94.03008034315819,89.92666176253132,82.02889431695945,95.00305838567236,91.54831591800769,74.9774532957727,130.63298423713448
16,Max Meyer,MIA,53.2,118.87290556650483,89.91760365187622,132.20204167213961,63.51620776138661,120.66946674957386,91.27654880331373,85.41394177876633,86.28573483729232,93.51909451703152,108.91290035786024,69.24084692801655,75.29038632279537,87.00745970045162,111.56444678338777,93.0971201945296,102.07238577551074
