rank,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
1,Cristopher Sánchez,PHI,10.896428719880632,1.7357143093615166,6.27777778,0.3857142909692259,0.30133333,0.048,0.25333333,0.22752808988764045,1.0607143001653712,0.32217573221757323,0.83686441,36.50078950448296,43.691898438090284,54.74911139598797,1.5428571638769035,1.8551943471966956,-0.3123371833197921,2.2835021807270666,2.5167873056866092
2,Jacob Misiorowski,MIL,13.55172428648197,2.2758620939130028,5.95454545,0.4137931079841823,0.39817629,0.0668693,0.33130699,0.14,0.7356321919718797,0.23030303030303031,0.84097859,32.5790239689199,40.578649763974006,48.84318137460274,1.3448276009485924,1.6949726739007231,-0.3501450729521307,2.0369946163630077,2.113594377732337
3,Cam Schlittler,NYY,9.76829302374769,1.5365854194659287,6.35714286,0.4390244055616939,0.2807571,0.04416404,0.23659306,0.18874172185430463,0.8658536887466741,0.2535885167464115,0.78313253,45.13791764917991,49.7915338134041,70.48349423143212,1.865853723637199,2.1209608803328686,-0.2551071566956695,2.9467415081821087,3.00527030604448
4,Davis Martin,CHW,9.076596002522619,1.9531915448466395,4.64705882,0.3446808608552893,0.25239617,0.0543131,0.19808307,0.2363013698630137,1.0978723716131438,0.3142857142857143,0.8041958,57.56445965592917,55.674662988207345,75.22125204204897,2.4127660259870254,2.393872155517191,0.018893870469834262,3.144703304678836,3.345141798793526
5,Paul Skenes,PIT,10.539473956982274,1.7763158354464508,5.93333333,0.7105263341785802,0.29372937,0.04950495,0.24422442,0.19718309859154928,0.9342105504940593,0.26455026455026454,0.67567568,67.05695872266728,61.217785043848366,71.3543348858761,2.842105336714321,2.542976304519292,0.29912903219502907,2.9765874667686187,2.923529419481888
6,Reid Detmers,LAA,10.777778285357547,2.6666667922534137,4.04166667,0.7777778144072457,0.29305136,0.07250755,0.22054381,0.20132013201320131,1.0493827654700933,0.271356783919598,0.63131313,94.56711537611655,67.86029992925904,82.83897394850939,4.00000018838012,2.8741978805651294,1.125802307814991,3.4630011101166853,3.2588030218256607
7,Dylan Cease,TOR,13.632353323553684,3.573529511999509,3.81481481,0.6617647244443535,0.36785714,0.09642857,0.27142857,0.208,1.1617647384689762,0.33098591549295775,0.76,70.0695394769262,55.61169454943384,57.684509845029496,2.9117647875551556,2.358765771809746,0.5529990157454097,2.4119505704123423,2.709178441255306
8,Joe Ryan,MIN,10.056680320900114,1.7489878818956721,5.75,0.8744939409478361,0.27710843,0.04819277,0.22891566,0.21221864951768488,0.9959514327461466,0.27488151658767773,0.69920844,75.257000516362,69.42458999514984,82.89917411840374,3.1700405359359056,2.902288056789552,0.2677524791463535,3.4655165054277304,3.1858486658005933
9,Braxton Ashcraft,PIT,9.566929421219996,2.0196851000353324,4.73684211,0.8503937263306663,0.26162791,0.05523256,0.20639535,0.23197492163009403,1.0984252298437773,0.2986425339366516,0.74031891,77.74911191299127,74.54510973321598,79.09791131758192,3.295275689531332,3.0969547688698653,0.1983209206614669,3.299796539469248,3.2819960024163546
10,Shohei Ohtani,LAD,9.709359697138591,2.7931034745193206,3.47619048,0.39901478207418867,0.27862595,0.08015267,0.19847328,0.15254237288135594,0.8423645399343983,0.20625,0.88235294,25.712798927134074,62.42338206296002,79.90851597584933,1.064039418864503,2.6801943602484775,-1.6161549413839744,3.333630360602941,3.3361452357728854
11,Chase Burns,CIN,10.466960572292322,2.73568287684913,3.82608696,1.0704846039844422,0.2962963,0.07744108,0.21885522,0.1897810218978102,0.9911894481337428,0.24293785310734464,0.91346154,49.061995220189,73.97594427209513,76.69773481960259,2.1409692079688845,3.2409243859311787,-1.0999551779622943,3.1996155924518686,3.2188189090800208
12,Chris Sale,ATL,10.570212937541116,2.2978723777263297,4.6,0.6893617133178989,0.28840125,0.06269592,0.22570533,0.21305841924398625,1.0468085276308836,0.29015544041450775,0.83333333,54.9834973332362,69.13509693394295,73.85286311719318,2.2978723777263297,2.8279147244579064,-0.5300423467315767,3.080873515971137,3.0708721931493903
13,Kevin Gausman,TOR,8.887500317841779,1.5750000563263913,5.64285714,1.012500036209823,0.24307692,0.04307692,0.2,0.23548387096774193,1.0875000388920322,0.2882882882882883,0.71618037,86.63143129425308,74.48633812403935,82.48422028351875,3.6000001287460375,3.158765794634819,0.4412343341112184,3.4481781335858948,3.4427724777990054
