rank,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,Cristopher Sánchez,PHI,5.0,2.0,0.0,10.0,10.0,64.1,11.191710065766765,1.958549261509184,0.4196891274662537,0.35294117647058826,0.81300813,0.593023255,0.068181818,,1.8186528856870994,2.754518744811283,1.9261712132321063,2.28450663856498,2.5199516371593185
2,Cam Schlittler,NYY,6.0,1.0,0.0,10.0,10.0,60.0,10.200000324249277,1.650000052452089,0.3000000095367435,0.23448275862068965,0.81447964,0.479452054,0.04,98.0196802787686,1.3500000429153456,2.596143373677735,1.8241850127114179,2.566096246664218,2.518327862164989
3,Dylan Cease,TOR,3.0,1.0,0.0,9.0,9.0,52.1,12.898089485365011,3.6114650559022032,0.17197452647153347,0.3418803418803419,0.75471698,0.47008547,0.028571428,97.98735919688482,2.407643370601469,2.900804112526542,1.8654801401019676,2.5602624022469467,2.2072828944200937
4,Davis Martin,CHW,6.0,1.0,0.0,9.0,9.0,56.0,9.482143018622791,1.6071428845123374,0.4821428653537012,0.3,0.89219331,0.404255319,0.057692307,94.29759428426289,1.6071428845123374,3.6643359196961924,2.393232660390893,3.0063623052425714,2.0855109454552676
5,Max Fried,NYY,4.0,3.0,0.0,10.0,10.0,61.2,7.2972974853850054,2.772973044446302,0.1459459497077001,0.25,0.67092652,0.487951807,0.017543859,95.06169537313623,3.2108108935694024,2.5068136531695773,2.718329187620287,3.811086947502473,1.880630884340753
6,Jacob Misiorowski,MIL,3.0,2.0,0.0,9.0,9.0,51.0,14.117647322816424,3.0000000560984903,0.7058823661408212,0.2604166666666667,0.81497797,0.42,0.114285714,99.7282632657797,2.117647098422464,2.4872639440375774,2.2839889596765293,2.232229563325502,1.854703530941386
7,Seth Lugo,KCR,1.0,4.0,0.0,10.0,10.0,58.2,7.823863848335739,3.2215909963735396,0.3068181901308133,0.3430232558139535,0.71969697,0.362573099,0.03030303,91.89207323291633,3.6818182815697593,4.920648420529882,2.8859274717463443,4.029325818539545,1.645810801146972
8,Paul Skenes,PIT,6.0,3.0,0.0,10.0,10.0,55.0,10.30909109901791,1.3090909332086236,0.8181818332553897,0.203125,0.69444444,0.423076923,0.089285714,97.36912392482695,2.618181866417247,2.0775324142727043,2.65297292392116,2.9070898983616353,1.6413426805419982
9,Shohei Ohtani,LAD,3.0,2.0,0.0,7.0,7.0,44.0,10.227272727272727,2.25,0.4090909090909091,0.21904761904761905,0.91160221,0.509433962,0.051282051,97.98838116233499,0.8181818181818182,2.3161386111996847,2.380245659568093,3.0393694015050476,1.6334807621055116
10,Tarik Skubal,DET,3.0,2.0,0.0,7.0,7.0,43.1,9.346154120405759,1.2461538827207677,0.41538462757358924,0.29464285714285715,0.71428571,0.459459459,0.0625,97.14187161192602,2.7000000792283303,3.171699871785093,2.115210665415024,2.556658150941108,1.5408312528414916
