rank,Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
1,Cam Schlittler,NYY,2.0,1.0,1.951807273768397,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,27.2,105.0,18.0,7.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,36.0
2,José Soriano,LAA,5.0,0.0,0.23893805713042635,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,37.2,140.0,18.0,1.0,1.0,1.0,13.0,1.0,0.0,0.0,0.0,43.0
3,Bryan Woo,SEA,1.0,2.0,2.25,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,32.0,123.0,22.0,10.0,8.0,0.0,6.0,0.0,2.0,0.0,1.0,26.0
4,Max Fried,NYY,3.0,1.0,2.3951613640065768,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,41.1,156.0,22.0,11.0,11.0,1.0,10.0,0.0,2.0,0.0,0.0,32.0
5,Dylan Cease,TOR,1.0,0.0,2.103896156011214,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,25.2,111.0,19.0,8.0,6.0,0.0,14.0,0.0,1.0,1.0,0.0,44.0
6,Cristopher Sánchez,PHI,2.0,2.0,1.5882353119371673,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,28.1,123.0,32.0,10.0,5.0,1.0,8.0,0.0,0.0,0.0,0.0,39.0
7,Seth Lugo,KCR,1.0,1.0,1.1489362168387642,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,31.1,116.0,19.0,5.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,28.0
8,Tarik Skubal,DET,3.0,2.0,2.076923163987177,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,30.1,118.0,23.0,8.0,7.0,1.0,6.0,0.0,1.0,0.0,0.0,33.0
9,Taj Bradley,MIN,3.0,0.0,1.626506061473664,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,27.2,118.0,24.0,5.0,5.0,0.0,10.0,0.0,2.0,1.0,0.0,34.0
10,Shohei Ohtani,LAD,2.0,0.0,0.375,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,92.0,12.0,2.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,25.0
11,Kevin Gausman,TOR,1.0,1.0,2.5411764990994676,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,28.1,113.0,21.0,9.0,8.0,2.0,6.0,0.0,0.0,0.0,1.0,35.0
12,Braxton Ashcraft,PIT,1.0,1.0,2.4269663441468645,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,29.2,116.0,21.0,11.0,8.0,1.0,9.0,0.0,1.0,0.0,0.0,32.0
13,Parker Messick,CLE,3.0,0.0,1.7608696017238286,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,30.2,113.0,19.0,6.0,6.0,1.0,8.0,0.0,1.0,1.0,0.0,29.0
14,Nolan McLean,NYM,1.0,1.0,2.670329782269228,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,30.1,114.0,15.0,10.0,9.0,2.0,8.0,0.0,1.0,0.0,0.0,38.0
15,Joe Ryan,MIN,2.0,2.0,3.292682965123746,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,27.1,107.0,18.0,12.0,10.0,1.0,6.0,0.0,2.0,1.0,0.0,28.0
16,Keider Montero,DET,1.0,2.0,3.681818341420709,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,85.0,17.0,10.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0
17,Nick Pivetta,SDP,1.0,2.0,4.5,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,66.0,12.0,8.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,24.0
18,Randy Vásquez,SDP,2.0,0.0,1.8837209720106118,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,28.2,114.0,23.0,6.0,6.0,1.0,8.0,0.0,2.0,0.0,0.0,30.0
19,Logan Gilbert,SEA,1.0,3.0,4.363636489742062,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0,136.0,35.0,16.0,16.0,3.0,7.0,0.0,2.0,2.0,0.0,35.0
20,Reid Detmers,LAA,1.0,2.0,4.081395575135008,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,28.2,120.0,23.0,14.0,13.0,2.0,8.0,0.0,3.0,0.0,0.0,31.0
21,Tyler Glasnow,LAD,2.0,0.0,3.24,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,95.0,15.0,9.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,29.0
22,Landen Roupp,SFG,4.0,1.0,2.2771084860631294,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,27.2,110.0,16.0,9.0,7.0,0.0,12.0,0.0,2.0,1.0,0.0,31.0
23,Yoshinobu Yamamoto,LAD,2.0,2.0,2.479591884994349,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,32.2,123.0,24.0,9.0,9.0,3.0,5.0,0.0,1.0,0.0,0.0,28.0
24,Shota Imanaga,CHC,2.0,1.0,2.1724137931034484,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,29.0,108.0,15.0,7.0,7.0,3.0,6.0,0.0,0.0,2.0,0.0,32.0
25,Casey Mize,DET,2.0,1.0,2.511628046236928,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,28.2,117.0,23.0,8.0,8.0,2.0,10.0,0.0,1.0,0.0,0.0,32.0
26,Rhett Lowder,CIN,3.0,1.0,3.1034483779199658,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,29.0,118.0,24.0,11.0,10.0,1.0,9.0,0.0,0.0,0.0,0.0,18.0
27,Framber Valdez,DET,2.0,1.0,3.3,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,30.0,127.0,27.0,12.0,11.0,1.0,9.0,0.0,1.0,1.0,0.0,20.0
28,Mitch Keller,PIT,2.0,1.0,2.793103448275862,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,29.0,115.0,23.0,9.0,9.0,1.0,9.0,0.0,1.0,0.0,1.0,19.0
29,Carmen Mlodzinski,PIT,0.0,1.0,4.339286083773723,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,85.0,23.0,9.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,21.0
30,Bryce Elder,ATL,3.0,1.0,1.5000000953674377,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,30.0,118.0,20.0,8.0,5.0,2.0,9.0,0.0,2.0,0.0,0.0,29.0
31,Michael Wacha,KCR,2.0,1.0,2.505154663805172,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,32.1,123.0,20.0,9.0,9.0,3.0,10.0,0.0,1.0,0.0,0.0,28.0
32,Bailey Ober,MIN,2.0,0.0,4.153846306208329,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,111.0,23.0,13.0,12.0,2.0,9.0,0.0,1.0,0.0,0.0,24.0
33,Ryan Weathers,NYY,1.0,2.0,3.1764707307914612,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,28.1,116.0,27.0,10.0,10.0,4.0,8.0,0.0,0.0,2.0,0.0,36.0
