rank,Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA
1,Cam Schlittler,NYY,53.1,134.0,87.83458554834351,103.2,115.1,10.909774436090226,8.0,0.05970149,54.0,0.40298507,1.3500000321865089,2.513505551870435
2,Dylan Cease,TOR,52.1,118.0,87.45431045006062,106.4,112.6,12.14655172413793,5.0,0.04237288,44.0,0.37288136,2.407643370601469,2.9230042913489163
3,Cristopher Sánchez,PHI,55.1,154.0,88.72679626863766,105.2,111.7,0.2549019607843137,13.0,0.08441558,63.0,0.40909091,2.114457879915763,2.7761252733340047
4,Max Fried,NYY,61.2,169.0,86.11626351597798,103.1,111.6,8.704819277108435,3.0,0.01775148,52.0,0.30769231,3.2108108935694024,2.4015406330844438
5,Jacob Misiorowski,MIL,51.0,100.0,86.87599975585937,101.6,111.7,11.94,3.0,0.03,34.0,0.34,2.117647098422464,2.716545442109377
6,Davis Martin,CHW,50.0,127.0,90.60725747385332,105.1,113.7,12.798387096774194,10.0,0.07874016,58.0,0.45669291,1.6200000308990485,3.898950995698237
7,Shohei Ohtani,LAD,44.0,107.0,88.36792337669516,104.1,111.2,14.084905660377359,3.0,0.02803738,43.0,0.40186916,0.8181818181818182,2.170003419501604
8,Seth Lugo,KCR,52.2,156.0,90.93267941942402,105.6,109.7,16.535947712418302,11.0,0.07051282,65.0,0.41666667,3.7594937843459704,4.44284107345557
9,Paul Skenes,PIT,50.0,119.0,85.65469882019565,104.6,110.4,14.085470085470085,5.0,0.04201681,35.0,0.29411765,1.9800000401258477,1.8535586447706358
10,Shota Imanaga,CHC,54.1,139.0,88.71521703747736,103.6,109.0,18.485507246376812,12.0,0.08633094,54.0,0.38848921,2.3190184184760017,3.023762846669826
11,Tarik Skubal,DET,43.1,114.0,89.87387387387388,105.5,111.8,8.306306306306306,6.0,0.05263158,49.0,0.42982456,2.7000000792283303,3.156778680985849
12,Nolan McLean,NYM,45.1,104.0,85.86634650597206,104.0,110.3,8.759615384615385,6.0,0.05769231,37.0,0.35576923,2.779411842666285,2.3203602220088726
13,Parker Messick,CLE,53.2,132.0,86.5914727735889,103.5,110.4,12.930232558139535,7.0,0.0530303,41.0,0.31060606,2.3478261982142383,3.051404980558904
14,Jacob deGrom,TEX,44.2,109.0,91.58148136845341,104.7,110.9,19.5,12.0,0.11009174,48.0,0.44036697,2.619403078285725,3.0183763336958185
15,José Soriano,LAA,54.1,134.0,88.0204541755445,102.5,109.0,8.954545454545455,12.0,0.08955224,47.0,0.35074627,1.6564417565572014,3.7555591939089616
16,Shane McClanahan,TBR,39.2,103.0,88.37979958274148,103.3,112.2,9.95959595959596,10.0,0.09708738,39.0,0.37864078,2.268907653941133,3.276278282780031
17,Bryce Elder,ATL,54.2,142.0,89.7028564453125,104.5,110.8,12.728571428571428,5.0,0.03521127,55.0,0.38732394,1.8109756940039516,2.8985741767796798
18,Braxton Ashcraft,PIT,48.2,125.0,89.37886208635035,104.3,110.1,14.43089430894309,7.0,0.056,44.0,0.352,2.7739726933378943,2.5696792863923057
19,Reid Detmers,LAA,49.1,139.0,88.4087586785755,104.2,111.4,16.708029197080293,7.0,0.05035971,50.0,0.35971223,4.378378660509951,2.8887451513581417
20,Joe Ryan,MIN,44.2,120.0,89.9924372825302,104.9,112.2,18.218487394957982,12.0,0.1,49.0,0.40833333,3.4253731853703964,3.2745651752927616
21,Kevin Gausman,TOR,51.1,152.0,87.5913330078125,105.2,112.3,14.446666666666667,14.0,0.09210526,55.0,0.36184211,3.8571430243455045,3.468669414243299
22,Landen Roupp,SFG,43.2,105.0,85.64019536037071,101.7,106.4,7.803921568627451,0.0,0.0,25.0,0.23809524,3.0916031659687992,2.518194225408774
23,George Kirby,SEA,57.0,165.0,88.8548784953792,104.5,109.2,9.042424242424243,6.0,0.03636364,66.0,0.4,2.8421053582611537,2.8839984579435987
24,Mitch Keller,PIT,52.2,156.0,86.57677435105846,104.0,109.5,13.264516129032257,6.0,0.03846154,62.0,0.3974359,3.5886076382577587,3.8657014800209457
25,Bailey Ober,MIN,52.0,153.0,86.40394752903988,103.9,114.0,22.914473684210527,11.0,0.07189542,46.0,0.30065359,3.4615385250226995,3.138257343077776
26,Max Meyer,MIA,47.2,129.0,89.70390558242798,105.2,112.1,12.5859375,11.0,0.08527132,53.0,0.41085271,3.209790316821489,4.0187505310782115
27,Bryan Woo,SEA,53.0,152.0,89.27697272049754,105.2,110.4,22.375,13.0,0.08552632,67.0,0.44078947,3.9056603773584904,3.2779043447456795
28,Jesús Luzardo,PHI,43.2,119.0,85.93760694194044,104.0,110.9,6.82051282051282,7.0,0.05882353,35.0,0.29411765,5.770992702512825,3.2032725461250675
29,Will Warren,NYY,47.1,126.0,91.36348954458086,107.5,115.0,11.992063492063492,9.0,0.07142857,52.0,0.41269841,3.4225354411256443,3.1759273702031767
30,Nick Martinez,TBR,47.2,150.0,86.42953102060612,103.6,110.1,13.704697986577182,9.0,0.06,45.0,0.3,1.6993007559643176,3.834758560227675
31,Chase Burns,CIN,47.0,120.0,89.13628232162611,104.7,113.1,17.079646017699115,9.0,0.075,46.0,0.38333333,2.106383021463902,3.1138652024377858
32,Sandy Alcantara,MIA,57.2,182.0,88.34055650499133,103.6,111.3,11.261111111111111,10.0,0.05494505,66.0,0.36263736,3.9017341470633946,3.4617222737743347
33,Ryan Weathers,NYY,45.0,114.0,89.25624901907784,107.7,114.6,11.580357142857142,13.0,0.11403509,48.0,0.42105263,3.000000127156581,4.2093180255433795
34,Keider Montero,DET,39.2,118.0,91.25603406182651,105.0,111.8,21.46551724137931,12.0,0.10169492,51.0,0.43220339,3.1764707155175858,3.3147537655673043
35,Tyler Glasnow,LAD,39.2,86.0,90.41860429630724,103.6,108.8,14.372093023255815,7.0,0.08139535,33.0,0.38372093,2.722689119269894,2.4687075548236055
36,Ranger Suarez,BOS,39.0,106.0,87.68571370442709,106.6,111.1,14.504761904761905,8.0,0.0754717,38.0,0.35849057,2.7692308369472904,3.481942366455132
37,Taj Bradley,MIN,47.0,128.0,92.54881659079724,107.6,112.7,17.69291338582677,13.0,0.1015625,58.0,0.453125,2.8723404838144115,3.8324284599933374
38,Carmen Mlodzinski,PIT,34.0,106.0,92.98269301194411,106.0,109.4,12.221153846153847,10.0,0.09433962,58.0,0.54716981,5.294118092546864,5.28925420327085
39,Chris Sale,ATL,49.0,118.0,87.19237350205243,102.8,113.2,11.254237288135593,10.0,0.08474576,38.0,0.3220339,2.204081632653061,3.0507136979856315
40,Janson Junk,MIA,44.1,137.0,90.03209082760029,105.3,111.9,11.619402985074627,9.0,0.06569343,58.0,0.42335766,3.2481203939142556,3.869351997345829
41,Michael Wacha,KCR,51.1,140.0,87.98613076314439,103.1,112.5,19.51824817518248,10.0,0.07142857,51.0,0.36428571,2.6298701461561014,3.646641936741249
42,Clay Holmes,NYM,48.1,138.0,89.41159455672555,104.1,110.3,4.108695652173913,7.0,0.05072464,60.0,0.43478261,1.862069051245876,3.734489645829568
43,Freddy Peralta,NYM,49.1,139.0,87.45441257252412,102.3,106.5,14.176470588235293,6.0,0.04316547,52.0,0.37410072,3.1013514912415867,3.551626501637915
44,Casey Mize,DET,31.0,81.0,88.34625015258788,104.5,109.5,13.1375,7.0,0.08641975,34.0,0.41975309,2.9032259850794877,3.4166576892626694
