rank,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%
1,Zack Wheeler,2 Tms,0.34763148,0.70611133,0.50318821,0.64914163,0.83737596,0.76376301,0.43393438,0.6385124,0.11884658,0.15300177,0.27184835
2,Jacob deGrom,2 Tms,0.37468558,0.71857513,0.52061856,0.5405478,0.79411206,0.68906441,0.42436001,0.64507299,0.16180387,0.15155725,0.31336112
3,Aaron Nola,PHI,0.34649873,0.64445069,0.4722475,0.61576452,0.84901818,0.75010472,0.42204376,0.65887419,0.11796109,0.19020879,0.30816988
4,Max Scherzer,5 Tms,0.3513369,0.71069182,0.5134527,0.55885337,0.80073238,0.70988948,0.45113003,0.66367888,0.14889976,0.15892421,0.30782396
5,Gerrit Cole,3 Tms,0.3322969,0.68396513,0.48712571,0.57677543,0.81890931,0.72645658,0.44026953,0.64709061,0.13318466,0.1734612,0.30664585
6,Kevin Gausman,5 Tms,0.34867017,0.71413593,0.50482629,0.60310014,0.84022958,0.74643001,0.42727976,0.63399109,0.12816976,0.15648963,0.28465939
7,Chris Sale,2 Tms,0.36177693,0.64250168,0.48585186,0.57567727,0.7998744,0.70671724,0.44198074,0.66619014,0.14244117,0.18445448,0.32689565
8,Justin Verlander,4 Tms,0.34275106,0.70324245,0.50375827,0.63725231,0.83024888,0.7575848,0.44663259,0.62656187,0.12210031,0.16468761,0.28678792
9,Sonny Gray,6 Tms,0.31187298,0.64739619,0.44870655,0.56180344,0.87827782,0.74801918,0.40782149,0.60369573,0.11295976,0.18198813,0.29494789
10,Luis Castillo,2 Tms,0.33784071,0.71948078,0.49688236,0.59576697,0.82137447,0.73190393,0.41673205,0.61608473,0.13319571,0.14677952,0.27997523
11,Max Fried,2 Tms,0.32409299,0.67527827,0.46964347,0.61584634,0.86182336,0.76243027,0.41445495,0.61521548,0.11152226,0.16736878,0.27889104
12,Clayton Kershaw,LAD,0.33266622,0.7023761,0.49911364,0.54545455,0.85153683,0.73937538,0.45021089,0.67425287,0.13003361,0.16712496,0.29715857
13,Logan Webb,SFG,0.33561845,0.64145932,0.4616182,0.6407937,0.89213336,0.78468064,0.41197812,0.66156202,0.09937245,0.19316023,0.29253267
14,Blake Snell,4 Tms,0.32856296,0.66778036,0.45348526,0.51056701,0.81487927,0.67559278,0.3682662,0.60549002,0.14708242,0.15703054,0.30411296
15,Charlie Morton,5 Tms,0.31170532,0.64762397,0.45522355,0.55203956,0.8529271,0.73492341,0.42724103,0.6048289,0.12055737,0.18004233,0.3005997
16,Dylan Cease,3 Tms,0.3287206,0.69075263,0.46748691,0.54803719,0.80937315,0.69604659,0.38329843,0.59272249,0.14206449,0.15070142,0.29276591
17,Shane Bieber,2 Tms,0.34003563,0.66352145,0.47487941,0.5007485,0.86450228,0.71261135,0.41684601,0.64954853,0.13644458,0.18311322,0.3195578
18,Corbin Burnes,3 Tms,0.35231561,0.66679118,0.47173558,0.53813697,0.84705882,0.70395429,0.37974324,0.60863471,0.13961568,0.16677303,0.30638871
19,José Berríos,2 Tms,0.33294664,0.65762441,0.46962509,0.66289199,0.87048832,0.7852673,0.42096646,0.64041204,0.10081847,0.18027282,0.28109129
20,Tarik Skubal,DET,0.35055572,0.70254267,0.51354839,0.58226221,0.81631135,0.73052764,0.46306452,0.66855524,0.13833132,0.16187021,0.30020153
21,Framber Valdez,2 Tms,0.30801957,0.64308503,0.45343447,0.5531768,0.88826575,0.75942645,0.43398953,0.59440405,0.1088746,0.1772517,0.2861263
22,Patrick Corbin,4 Tms,0.34028232,0.6724103,0.47047839,0.59554446,0.88121797,0.75559497,0.39200572,0.6496844,0.11496901,0.15815191,0.27312093
23,Yu Darvish,4 Tms,0.31516588,0.66339792,0.4773803,0.58810069,0.8349065,0.74786719,0.46582278,0.61789496,0.12031027,0.1785675,0.29887776
24,Lance Lynn,6 Tms,0.30907751,0.73465092,0.48430277,0.66525424,0.82505571,0.76506264,0.41173921,0.60256909,0.11375343,0.14220382,0.25595725
25,Zack Greinke,3 Tms,0.33434766,0.64238988,0.45616556,0.67320819,0.87236931,0.78412098,0.39545847,0.65366821,0.09845959,0.1851937,0.28365329
26,Sandy Alcantara,MIA,0.35187832,0.71260352,0.5109564,0.64113722,0.862357,0.77719455,0.44099521,0.62998944,0.11379192,0.15371891,0.26751084
27,Carlos Rodón,3 Tms,0.32464146,0.69866893,0.47971585,0.58294717,0.83259019,0.73369233,0.41460694,0.59576006,0.12767705,0.15390483,0.28158188
28,Pablo López,2 Tms,0.35436347,0.69735049,0.50054849,0.62900666,0.8341294,0.75080572,0.42621152,0.63704631,0.12470163,0.15463518,0.27933682
29,Nathan Eovaldi,3 Tms,0.33923304,0.71854626,0.50989203,0.6090301,0.84266409,0.75716034,0.44991575,0.64556962,0.12378338,0.15959571,0.28337909
30,Kyle Hendricks,2 Tms,0.34118054,0.63508688,0.46492283,0.71613394,0.86750375,0.80319034,0.42102626,0.6603139,0.09146006,0.19418983,0.28564989
31,Eduardo Rodriguez,3 Tms,0.32224047,0.69049449,0.47060645,0.67891631,0.8471243,0.77835052,0.40289032,0.62204401,0.10423436,0.16354634,0.2677807
32,Brandon Woodruff,MIL,0.33333333,0.69922452,0.49829352,0.62846749,0.82175865,0.75075175,0.45084492,0.64578474,0.12418845,0.16863659,0.29282504
33,Michael Wacha,6 Tms,0.31811292,0.70135964,0.48693486,0.68344253,0.8572654,0.79373027,0.44050458,0.62268754,0.10039735,0.15719205,0.2575894
34,Luis Severino,3 Tms,0.32067511,0.69976968,0.49142613,0.66031856,0.8553727,0.78542158,0.45041801,0.64117364,0.10542371,0.16234519,0.2677689
35,Marcus Stroman,4 Tms,0.30815073,0.66485827,0.45202407,0.63135971,0.89351285,0.78688128,0.40333698,0.60252366,0.09627159,0.17346381,0.2697354
36,Zac Gallen,2 Tms,0.3270464,0.64882412,0.45423439,0.62197232,0.88636869,0.77124922,0.39526661,0.64272809,0.10386501,0.17842891,0.28229392
37,Corey Kluber,5 Tms,0.35638794,0.65731258,0.48621421,0.56694287,0.86101589,0.73845874,0.43142453,0.6500664,0.12715384,0.18078996,0.3079438
38,Freddy Peralta,2 Tms,0.31115296,0.69142408,0.46301766,0.57666443,0.81406463,0.71824104,0.39935901,0.61415045,0.13038563,0.15425198,0.28463761
39,Chris Bassitt,4 Tms,0.28988873,0.67232558,0.46358595,0.69025367,0.8545486,0.79847346,0.45418537,0.61402797,0.09328201,0.18092175,0.27420375
40,Germán Márquez,2 Tms,0.30172503,0.68410557,0.48077557,0.55391989,0.88014403,0.77127842,0.46825222,0.62183512,0.10992752,0.16505601,0.27498353
41,Joe Musgrove,3 Tms,0.34770664,0.65942891,0.48655273,0.5901752,0.86332882,0.75507148,0.445416,0.64936042,0.11908387,0.17918846,0.29827232
42,Jose Quintana,8 Tms,0.30689185,0.65214495,0.44165367,0.68260145,0.89090909,0.80266101,0.39032761,0.63115927,0.08706946,0.17034651,0.25741597
43,Jon Gray,2 Tms,0.30552424,0.67421746,0.4717717,0.5704797,0.86397882,0.7596116,0.45090999,0.64278982,0.1132542,0.17284866,0.28610287
44,Jack Flaherty,4 Tms,0.30623408,0.6721109,0.45525183,0.57252849,0.83357157,0.72949411,0.4072894,0.60201742,0.12317026,0.17086882,0.29403907
45,Cristopher Sánchez,PHI,0.37613169,0.65227882,0.49604191,0.60722101,0.84833539,0.74489556,0.43422584,0.65861923,0.12651304,0.17446462,0.30097765
46,Jameson Taillon,3 Tms,0.32907588,0.68270032,0.48501076,0.66552511,0.87268922,0.79411128,0.44096183,0.64575794,0.09983728,0.16938743,0.26922471
47,Walker Buehler,4 Tms,0.32172492,0.67417901,0.47628124,0.63853068,0.86556829,0.77945754,0.43851475,0.64051748,0.10501059,0.17657022,0.2815808
48,Lucas Giolito,5 Tms,0.30543319,0.69242622,0.47431852,0.57932692,0.8284834,0.73805889,0.43640408,0.60222818,0.12413437,0.16134367,0.28547804
49,Tyler Glasnow,3 Tms,0.30022646,0.65386876,0.46017542,0.46605603,0.84451768,0.70927994,0.45229025,0.61879804,0.13359285,0.17561709,0.30920994
