rank,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
1,Zack Wheeler,2 Tms,9.633658823047421,2.2750397347871374,4.23450135,0.8769021080176838,0.26376763,0.06229013,0.2014775,0.2236103566902046,1.0942539125690756,0.28668941979522183,0.75214607,77.61058442400912,75.23613323934063,81.40275859685686,3.225528033687424,3.185936589221751,0.03959144446567331,3.4315544919269736,3.5801003784423484
2,Jacob deGrom,2 Tms,11.5330317737444,1.9221719622907334,6.0,0.9285067953438289,0.32937893,0.05489649,0.27448244,0.19732937685459942,0.9357466144108372,0.2720763723150358,0.80479069,62.03270924097482,62.633289841288814,65.2717416530398,2.50045251026803,2.6369114683213715,-0.1364589580533413,2.7802496406443473,2.89178754377063
3,Max Scherzer,5 Tms,11.329357109861148,2.1566390542875364,5.25324675,1.1903527247690946,0.3152767,0.06001559,0.25526111,0.20822837951301426,1.0114108118953091,0.2762096774193548,0.79946524,73.26209998163061,75.5979687971226,81.02955093965299,3.0809129346964803,3.2344114009260316,-0.15349846622955132,3.4302995939776575,3.162296259476812
4,Aaron Nola,PHI,9.929254495230593,2.3862333160115115,4.16105769,1.1644359691113866,0.26958418,0.06478742,0.20479676,0.23149236192714454,1.1440408125642798,0.2923191648023863,0.73710547,89.35801233323579,82.00984716246917,80.05807484282697,3.8087954851722206,3.5354672253203914,0.2733282598518292,3.371729917422769,3.5331735337265258
5,Gerrit Cole,3 Tms,11.215082464976792,2.3045586851557682,4.86647727,1.1850145511738466,0.31242021,0.06419843,0.24822178,0.21125931737936446,1.0395247351917907,0.27965043695380776,0.78686083,75.48223302128,75.66097529930228,74.69052131670922,3.1556741086507962,3.2386532217627497,-0.0829791131119535,3.180468221875836,3.1810376757730783
6,Kevin Gausman,5 Tms,9.442722371967655,2.492587601078167,3.78832117,1.0673854447439353,0.25161603,0.06641888,0.18519716,0.24425887265135698,1.2230458221024259,0.3058530510585305,0.73547822,90.47562075385268,81.93334830241368,87.39703424078307,3.7783018867924527,3.500099484164323,0.2782024026281298,3.6893177482726007,3.7754774489046445
7,Chris Sale,2 Tms,12.224755829441959,2.1019544195946964,5.81589958,0.9322475668495307,0.33746055,0.05802379,0.27943676,0.210609243697479,1.0172638543924124,0.30103806228373703,0.77545096,66.46749597416235,64.37672683646,66.90371173644343,2.972638467878692,2.7141648734912387,0.25847359438745343,2.8437619173440094,2.82788333167126
8,Justin Verlander,4 Tms,9.910467972548982,2.2420881853887527,4.42019544,1.1319989209617483,0.27347844,0.06187021,0.21160822,0.21239705244906806,1.0443602948227741,0.26595744680851063,0.78847885,73.07075377956104,81.67647769247317,90.02716445332176,3.067351914864092,3.4525824040089814,-0.38523048914488944,3.8328010514347883,3.6079521635612943
9,Sonny Gray,6 Tms,9.619598146690837,2.896733715540894,3.32084309,0.9565326789022623,0.25749047,0.07753768,0.17995279,0.2284465633690902,1.1886934867051755,0.29035971223021584,0.72671156,85.96011435952077,81.71728998486623,83.17419882137729,3.656532722895882,3.4877967756921766,0.16873594720370555,3.5194789358833054,3.7715364275929435
10,Luis Castillo,2 Tms,9.503207933082084,2.9016956514423815,3.2750533,1.1198441639894905,0.25489545,0.07782941,0.17706605,0.2290644868301544,1.1892758770422458,0.28511087645195354,0.74512626,88.16814749113988,89.19113604995871,86.7132399967238,3.637946786882986,3.754077952866487,-0.11613116598350137,3.648766037430496,3.8270769479621656
11,Max Fried,2 Tms,8.65870436693025,2.426694613078217,3.56810631,0.7014034263714448,0.23614776,0.06618294,0.16996482,0.2311354439419186,1.1394446466723853,0.29078947368421054,0.75238254,71.88209383019053,76.32586632390216,80.3527658288427,3.039414847609594,3.1848133856929595,-0.14539853808336556,3.3773023313009256,3.6662934970158636
12,Clayton Kershaw,LAD,9.326524580064843,1.942682966368317,4.80084746,1.0701219729994966,0.26045977,0.05425287,0.2062069,0.21918476934342201,1.0371951430610507,0.2709950599858857,0.7997936,68.05528939033915,78.12399696069095,77.31188048622222,2.807012252252526,3.3422041919539747,-0.5351919397014488,3.278655212172046,3.501073024653098
13,Logan Webb,SFG,8.431893794568513,2.1365146752194875,3.94656489,0.6360616208668703,0.22835689,0.05786219,0.1704947,0.2517151644192098,1.2014497283040884,0.3165329052969502,0.71508202,84.30650031056669,75.64551986006099,75.46817137688205,3.4575657339429875,3.0324516853046424,0.4251140486383451,3.1449650106922866,3.450240753308403
14,Blake Snell,4 Tms,11.30876885792691,3.962686637670009,2.85381356,0.8899253889682647,0.30558076,0.10707804,0.19850272,0.20484076433121018,1.1902985286409913,0.28236245954692557,0.7781486,76.29885031026087,79.06189235265077,81.33503202420667,3.1399254290012357,3.301255711592293,-0.1613302825910572,3.470555930319514,3.717260265133109
15,Dylan Cease,3 Tms,11.009054234759773,3.8017484378841178,2.89578714,1.0284108856360585,0.28887414,0.09975669,0.18911745,0.22197420634920634,1.260693125743292,0.29685099846390167,0.72947577,90.88150139214935,83.54825765440947,89.98230614129638,3.810178035307364,3.582279255222433,0.22789878008493103,3.774008778100644,3.7813645439114016
16,Charlie Morton,5 Tms,10.263312857014371,3.4056441630118703,3.01361868,1.007116561824522,0.26906375,0.08928261,0.17978114,0.23051377222113695,1.2471165612066815,0.30076067875950846,0.74445552,92.12386105582814,90.46948410512445,87.19098221512901,3.8628220759453704,3.756749583978422,0.10607249196694823,3.7090507330270372,3.8221619908308306
17,Shane Bieber,2 Tms,10.18403040347947,1.981368818418889,5.13989637,1.0266159680926885,0.27990971,0.05445824,0.22545147,0.23282328232823282,1.105323192313128,0.30165104863900044,0.77331759,74.90646289771236,73.61801690250492,72.77373946340676,3.1927756607682616,3.1208077941347776,0.07196786663348398,3.108150540187684,3.3333747802660985
