rank,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
1,Zack Wheeler,2 Tms,0.28382165605095544,1.322368421,0.210290827,0.449664429,0.340044742,0.11622807,0.109649122,824.0,4.88430295559511,8226.0,15855.0,24081.0,0.3859563,0.34642769,0.26761601,0.20967346,0.51362632,0.27670022
2,Jacob deGrom,2 Tms,0.27121212121212124,1.141164856,0.205203371,0.423598387,0.371198241,0.119447186,0.122408687,603.0,4.694636716930402,5745.0,11999.0,17744.0,0.3813314,0.34008683,0.27858177,0.19609262,0.4931259,0.31078148
3,Max Scherzer,5 Tms,0.27638190954773867,0.726712328,0.19146889,0.340282232,0.468248877,0.121232876,0.117808219,761.0,5.314795775041322,6661.0,13871.0,20532.0,0.40621039,0.32731305,0.26647655,0.1964512,0.49112801,0.31242079
4,Aaron Nola,PHI,0.2929828791897757,1.316107382,0.200231749,0.454461181,0.345307068,0.092617449,0.144295302,927.0,5.175558410636171,8619.0,17122.0,25741.0,0.44737446,0.33226324,0.2203623,0.17835855,0.50389729,0.31774415
5,Gerrit Cole,3 Tms,0.2792874396135266,1.016582552,0.193017888,0.406809001,0.40017311,0.102379235,0.13554434,887.0,5.652348380044369,7693.0,15079.0,22772.0,0.375,0.35640732,0.26859268,0.18077803,0.49942792,0.31979405
6,Chris Sale,2 Tms,0.30523255813953487,1.131891891,0.207076799,0.420989143,0.371934057,0.096216216,0.114594594,630.0,5.357480369674302,5618.0,11509.0,17127.0,0.40214797,0.33731106,0.26054097,0.18575975,0.52704853,0.28719173
7,Kevin Gausman,5 Tms,0.3056894889103182,1.073800738,0.212701377,0.407658183,0.379640438,0.089175891,0.113776137,811.0,4.759182782404946,8461.0,16647.0,25108.0,0.37162006,0.35058932,0.27779062,0.16200601,0.48902242,0.34897157
8,Sonny Gray,6 Tms,0.2903584328980272,1.49786142,0.210170408,0.473627265,0.316202326,0.090675791,0.124893071,759.0,4.963187299522422,7987.0,13856.0,21843.0,0.43208556,0.34144385,0.22647059,0.16764706,0.51042781,0.32192513
9,Justin Verlander,4 Tms,0.26595744680851063,0.735531628,0.202288895,0.33807609,0.459635013,0.141318977,0.104306864,668.0,4.878550188402889,6585.0,13374.0,19959.0,0.40233415,0.34766585,0.25,0.18212531,0.48925061,0.32862408
10,Luis Castillo,2 Tms,0.284043659043659,1.360116873,0.187578576,0.468192104,0.344229318,0.104455807,0.133674214,742.0,4.524390197129597,8654.0,15841.0,24495.0,0.40307769,0.34896997,0.24795235,0.17076198,0.49664929,0.33258873
