rank,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,Clayton Kershaw,LAD,16.0,7.0,0.0,33.0,33.0,232.2,11.643266304632158,1.6246418099486732,0.5802292178388119,0.2808349146110057,0.78306878,0.5,0.101351351,94.13818345953305,2.127507132075644,2.1289464215427834,1.99032729114723,2.0908993155057454,8.552693099000482
2,Jake Arrieta,CHC,22.0,6.0,0.0,33.0,33.0,229.0,9.275108784042226,1.886462803534012,0.39301308406958585,0.24561403508771928,0.8,0.561837455,0.077519379,94.79448214173317,1.7685588783131363,2.358239026871199,2.3475675818608286,2.61115687760591,7.0336053291019525
3,David Price,2 Tms,18.0,5.0,0.0,32.0,32.0,220.1,9.190620017059725,1.919818403563587,0.694402401288957,0.2902684563758389,0.78630897,0.404326123,0.07762557,94.98048037867392,2.45083200454926,3.1858379635265592,2.775046104890016,3.238764465209794,6.698485438461468
4,Max Scherzer,WSN,14.0,12.0,0.0,33.0,33.0,228.2,10.862973156866559,1.338192345411098,1.0626821566499896,0.26750448833034113,0.79571106,0.358156028,0.10546875,94.74928627302424,2.794460486005528,2.6090912727607805,2.7662468316518556,2.8833279668216196,6.5152191418511665
5,Dallas Keuchel,HOU,20.0,8.0,0.0,33.0,33.0,232.0,8.379309655936861,1.9784481132073144,0.6594827044024382,0.2688,0.79365079,0.616954474,0.136,90.41532065651633,2.4827584165738847,2.8338521417024456,2.9094558373926356,2.751952639466256,5.69369816934928
6,Chris Sale,CHW,13.0,11.0,0.0,31.0,31.0,208.2,11.817891733879227,1.8115016526384218,0.9920128097781833,0.32270916334661354,0.73147257,0.426103646,0.125,95.50937968735522,3.407348346629412,2.7484006452913703,2.7310378271914626,2.5993638142654336,5.618009286897926
7,Corey Kluber,CLE,9.0,16.0,0.0,32.0,32.0,222.0,9.932431995085004,1.8243242439952048,0.8918918526198778,0.2966252220248668,0.71428571,0.423817863,0.107317073,93.46280369288485,3.4864863329686133,3.294075424344739,2.9714315949782044,3.045815277856929,5.5709066012423385
8,Zack Greinke,LAD,19.0,3.0,0.0,32.0,32.0,222.2,8.083831873692045,1.6167663747384091,0.5658682311584432,0.22945205479452055,0.8650519,0.479522184,0.07253886,92.30159488463434,1.6571855341068693,2.6449623408054457,2.7608392802686446,3.222538759166805,5.318363405888433
9,Chris Archer,TBR,12.0,13.0,0.0,34.0,34.0,212.0,10.69811320754717,2.80188679245283,0.8066037735849056,0.29545454545454547,0.73137075,0.461111111,0.103825136,96.03840613480227,3.2264150943396226,3.230017512389802,2.897744693396227,3.0064633227955064,5.107626706609137
10,Gerrit Cole,PIT,19.0,8.0,0.0,32.0,32.0,208.0,8.740384615384615,1.9038461538461537,0.47596153846153844,0.30442477876106194,0.74909747,0.479717813,0.06547619,96.40522935861512,2.5961538461538463,3.5373953291083575,2.657632211538462,3.1620227828048746,5.097633272149186
11,Madison Bumgarner,SFG,18.0,9.0,0.0,32.0,32.0,218.1,9.645802088485723,1.607633681414287,0.8656489053769238,0.28169014084507044,0.77935223,0.416955017,0.101941747,92.93440167157839,2.926717727702933,3.1535198267435263,2.872525032505372,3.0144587157340066,4.89214360463593
12,Jon Lester,CHC,11.0,12.0,0.0,32.0,32.0,205.0,9.087805290250554,2.0634147277380483,0.7024390562512505,0.3030852994555354,0.71761417,0.489090909,0.099378881,92.60500863882211,3.3365855171934395,3.1127677079930516,2.9189595939232293,3.063269456757107,4.86252276052926
13,Jacob deGrom,NYM,14.0,8.0,0.0,30.0,30.0,191.0,9.659686334130361,1.7905760033997742,0.7539267382735891,0.2714285714285714,0.78031212,0.443531827,0.094674556,95.80673233632609,2.544502741673363,2.7386649211505216,2.7042743573719843,2.9209702467905085,4.8603251862780175
14,Carlos Carrasco,CLE,14.0,12.0,0.0,30.0,30.0,183.2,10.584391267998129,2.1070778913144426,0.8820326056665108,0.30357142857142855,0.71832579,0.51203501,0.132352941,95.5405597364064,3.6261340455178774,2.8663537207120746,2.8395828814444966,2.6582308226766074,4.811463018917276
