rank,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,Zack Wheeler,2 Tms,95.0,59.0,0.0,234.0,234.0,1443.0,9.661122610042609,2.2765072644709825,0.8856548809722727,0.28739316239316237,0.75214503,0.448878455,0.10914681,96.25284793436347,3.2370062198916165,3.2019079703156725,3.1941930257340894,3.4325531424940627,37.726575791835785
2,Jacob deGrom,2 Tms,67.0,43.0,0.0,176.0,176.0,1080.0,11.533333414807732,1.9500000137752957,0.9250000065344351,0.2725050916496945,0.8056062,0.428345834,0.119098712,97.30228577599912,2.4916666842684334,2.6738437127460326,2.644228123586252,2.791129306240164,35.55104097723961
3,Max Scherzer,5 Tms,97.0,50.0,0.0,213.0,213.0,1283.0,11.34996129881008,2.139516808490157,1.171473137763463,0.27612946729602156,0.80110992,0.339366515,0.115411195,94.27392755056812,3.0374123871352063,3.0397803499040115,3.197673532337622,3.4149496449182077,35.14670445770025
4,Aaron Nola,PHI,98.0,80.0,0.0,257.0,257.0,1553.2,9.940356346068768,2.3808196143556315,1.1585496906840056,0.2918552036199095,0.73701299,0.457315598,0.141843971,92.84773533649248,3.7942502369901185,3.4505656208895794,3.5248354513069127,3.367833869931536,34.43451741337776
5,Gerrit Cole,3 Tms,106.0,50.0,0.0,223.0,223.0,1374.2,11.215082464976792,2.3045586851557682,1.1850145511738466,0.27965043695380776,0.78686083,0.409484044,0.135987978,96.99681564135535,3.1556741086507962,3.281827303210899,3.2386532217627497,3.180468221875836,33.86769473552704
6,Kevin Gausman,5 Tms,90.0,82.0,0.0,255.0,255.0,1461.0,9.51129363449692,2.513347022587269,1.0595482546201231,0.30616907844630614,0.73751747,0.409057346,0.112639161,94.50949900518259,3.751540041067762,4.144053664426285,3.4829887574735876,3.6766208462077676,31.42035050690174
7,Chris Sale,2 Tms,74.0,39.0,0.0,169.0,169.0,997.1,12.22760708438478,2.0935829103891286,0.947526748236459,0.30274822695035464,0.77412513,0.417808219,0.119182746,94.64475489381645,3.0230615300877504,2.912659012278592,2.734985914304543,2.8547377423004683,30.551475033164024
8,Justin Verlander,4 Tms,93.0,53.0,0.0,204.0,204.0,1232.1,9.910467972548982,2.2420881853887527,1.1319989209617483,0.26595744680851063,0.78847885,0.33807609,0.104306864,94.74683578463369,3.067351914864092,3.2893061907272894,3.4526864483887625,3.832749647938476,29.41001566313207
9,Sonny Gray,6 Tms,87.0,72.0,0.0,239.0,239.0,1315.2,9.64530038649514,2.9004307545205243,0.9576894000775317,0.2912677690745576,0.72496474,0.475141242,0.125673249,92.86682716602353,3.6802635517265143,3.806540834387626,3.487020205263281,3.5144745761531713,28.129192918539047
10,Luis Castillo,2 Tms,84.0,85.0,0.0,248.0,248.0,1434.0,9.514644224911132,2.8995815513911234,1.104602495768047,0.2849865951742627,0.74820431,0.47365689,0.134556574,96.29096827388234,3.5774058101578796,3.6987141940682022,3.7255989931301037,3.6322389084950437,26.85647365450859
11,Clayton Kershaw,LAD,97.0,36.0,0.0,188.0,188.0,1093.1,9.326524580064843,1.942682966368317,1.0701219729994966,0.2709950599858857,0.7997936,0.47746818,0.137420718,90.9340462335044,2.807012252252526,3.310660956158442,3.3422041919539747,3.278655212172046,25.542015552520752
12,Max Fried,2 Tms,95.0,40.0,0.0,189.0,189.0,1096.0,8.6715331183517,2.3978102940896746,0.7144160807732934,0.28930606771706335,0.75544504,0.535560701,0.107940446,93.9858381990901,3.0054745467014414,3.3645925366968172,3.1957625730936563,3.370269483586505,25.03260052204132
13,Logan Webb,SFG,71.0,55.0,0.0,182.0,182.0,1085.2,8.447344290594005,2.138778044134694,0.6300276409078943,0.3158066623122142,0.71532965,0.570554123,0.108571428,93.00956888537317,3.440282512852318,3.858793362488701,3.0192644454477118,3.1415690860387,24.85173872113228
14,Blake Snell,4 Tms,75.0,54.0,0.0,203.0,203.0,1069.0,11.298409930308763,3.9569692006297457,0.8924228409930915,0.28118650954896385,0.78100124,0.426086956,0.114594594,95.52390944316497,3.115060860070225,3.5162594979606885,3.305538916320233,3.4739987570124238,24.654804706573486
15,Charlie Morton,5 Tms,101.0,62.0,0.0,248.0,248.0,1358.1,10.263312857014371,3.4056441630118703,1.007116561824522,0.30076067875950846,0.74445552,0.459229898,0.133099824,95.01864796078232,3.8628220759453704,3.9045103016560474,3.756749583978422,3.7090507330270372,22.953677244484425
16,Dylan Cease,3 Tms,66.0,58.0,0.0,193.0,193.0,1041.0,11.023054977207394,3.83861679206281,1.0461095311702704,0.29617959826703427,0.72913146,0.381783681,0.112453531,96.75806509649043,3.83861679206281,3.6477597481972266,3.6164155569297423,3.7928342287904675,22.152826249599457
17,Shane Bieber,2 Tms,66.0,33.0,0.0,141.0,141.0,876.2,10.18403040347947,1.981368818418889,1.0266159680926885,0.30165104863900044,0.77331759,0.462859596,0.133511348,92.72209063507137,3.1927756607682616,3.82340884670445,3.1208077941347776,3.108150540187684,21.979311048984528
18,Corbin Burnes,3 Tms,55.0,35.0,0.0,149.0,149.0,886.0,10.310384057919816,2.529345448691659,0.9446952880655595,0.2711397058823529,0.76453697,0.472888888,0.12601626,95.13284564491929,3.0067720996495226,3.106560783660462,3.2057826851321694,3.181040332966227,21.626401603221893
