rank,Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
1,Zack Wheeler,2 Tms,98.0,59.0,3.210216982967217,239.0,239.0,152.0,4.0,2.0,0.0,0.0,0.0,1474.2,5981.0,1239.0,564.0,526.0,143.0,372.0,9.0,62.0,26.0,2.0,1579.0
2,Jacob deGrom,2 Tms,69.0,46.0,2.5193519568194533,181.0,181.0,118.0,3.0,1.0,0.0,0.0,0.0,1111.0,4322.0,803.0,338.0,311.0,118.0,236.0,10.0,19.0,21.0,0.0,1420.0
3,Max Scherzer,5 Tms,97.0,51.0,3.0809129346964803,214.0,214.0,132.0,6.0,1.0,0.0,0.0,0.0,1285.1,5132.0,992.0,463.0,440.0,170.0,308.0,9.0,60.0,23.0,1.0,1618.0
4,Aaron Nola,PHI,99.0,81.0,3.8342518822147658,261.0,261.0,140.0,6.0,4.0,0.0,0.0,0.0,1572.2,6439.0,1385.0,700.0,670.0,205.0,419.0,12.0,48.0,17.0,2.0,1733.0
5,Gerrit Cole,3 Tms,106.0,50.0,3.1556741086507962,223.0,223.0,145.0,7.0,5.0,0.0,0.0,0.0,1374.2,5483.0,1077.0,511.0,482.0,181.0,352.0,2.0,33.0,33.0,7.0,1713.0
6,Kevin Gausman,5 Tms,92.0,84.0,3.763087248322148,260.0,260.0,136.0,3.0,2.0,0.0,0.0,0.0,1490.0,6210.0,1408.0,669.0,623.0,176.0,411.0,6.0,29.0,37.0,12.0,1562.0
7,Chris Sale,2 Tms,76.0,41.0,2.972638467878692,173.0,173.0,97.0,2.0,1.0,0.0,0.0,0.0,1023.1,4119.0,802.0,365.0,338.0,106.0,239.0,1.0,72.0,19.0,1.0,1390.0
8,Justin Verlander,4 Tms,93.0,53.0,3.067351914864092,204.0,204.0,129.0,3.0,2.0,0.0,0.0,0.0,1232.1,4962.0,980.0,452.0,420.0,155.0,307.0,5.0,41.0,27.0,3.0,1357.0
9,Sonny Gray,6 Tms,90.0,72.0,3.6468234708594216,242.0,242.0,113.0,2.0,1.0,0.0,0.0,0.0,1332.2,5531.0,1155.0,588.0,540.0,141.0,428.0,3.0,47.0,61.0,6.0,1427.0
10,Luis Castillo,2 Tms,85.0,88.0,3.637946786882986,252.0,252.0,136.0,1.0,0.0,0.0,0.0,0.0,1454.2,6026.0,1261.0,643.0,588.0,181.0,469.0,8.0,52.0,19.0,8.0,1536.0
11,Max Fried,2 Tms,96.0,42.0,3.039414847609594,193.0,193.0,108.0,6.0,4.0,0.0,0.0,0.0,1116.1,4548.0,971.0,418.0,377.0,87.0,301.0,5.0,46.0,47.0,3.0,1074.0
12,Clayton Kershaw,LAD,97.0,36.0,2.807012252252526,188.0,188.0,109.0,1.0,0.0,0.0,0.0,0.0,1093.1,4350.0,898.0,376.0,341.0,130.0,236.0,1.0,17.0,41.0,9.0,1133.0
13,Logan Webb,SFG,71.0,57.0,3.4575657339429875,185.0,185.0,107.0,3.0,2.0,0.0,0.0,0.0,1103.2,4528.0,1064.0,467.0,424.0,78.0,262.0,3.0,39.0,22.0,1.0,1034.0
14,Blake Snell,4 Tms,75.0,55.0,3.1399254290012357,204.0,204.0,89.0,1.0,1.0,0.0,0.0,0.0,1072.0,4408.0,804.0,401.0,374.0,106.0,472.0,6.0,11.0,80.0,4.0,1347.0
15,Dylan Cease,3 Tms,68.0,60.0,3.834369250670691,198.0,198.0,73.0,3.0,3.0,0.0,0.0,0.0,1072.2,4543.0,899.0,504.0,457.0,124.0,455.0,9.0,38.0,57.0,3.0,1315.0
16,Charlie Morton,5 Tms,101.0,62.0,3.8628220759453704,248.0,248.0,108.0,0.0,0.0,0.0,0.0,0.0,1358.1,5757.0,1180.0,623.0,583.0,152.0,514.0,7.0,124.0,32.0,6.0,1549.0
17,Shane Bieber,2 Tms,66.0,33.0,3.1927756607682616,141.0,141.0,93.0,5.0,2.0,0.0,0.0,0.0,876.2,3544.0,776.0,332.0,311.0,100.0,193.0,1.0,18.0,33.0,3.0,992.0
