rank,Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA
1,Zack Wheeler,2 Tms,1443.0,3886.0,86.3915208018837,103.4,118.6,11.250852794542116,235.0,0.06047349,1262.0,0.32475553,3.2370062198916165,3.2019079703156725
2,Jacob deGrom,2 Tms,1080.0,2566.0,87.50143351123455,103.7,113.6,13.199681147867677,168.0,0.06547155,839.0,0.32696804,2.4916666842684334,2.673918112627297
3,Max Scherzer,5 Tms,1283.0,3133.0,87.60372794184703,103.7,113.3,19.3647859922179,244.0,0.07788063,1067.0,0.34056815,3.0374123871352063,3.0398362613380194
4,Aaron Nola,PHI,1553.2,4178.0,88.22121079562652,104.0,120.5,11.320987654320987,282.0,0.06749641,1512.0,0.36189564,3.7942502369901185,3.4506535532031175
5,Gerrit Cole,3 Tms,1374.2,3385.0,88.55599944464232,104.5,115.2,13.810194902548727,264.0,0.07799114,1295.0,0.38257016,3.1556741086507962,3.281827303210899
6,Kevin Gausman,5 Tms,1461.0,4111.0,88.9832258563739,104.9,119.4,13.175438596491228,345.0,0.08392119,1629.0,0.39625395,3.751540041067762,4.144181374833071
7,Chris Sale,2 Tms,997.1,2361.0,86.88173224054928,103.8,116.7,12.430347192456065,159.0,0.06734435,757.0,0.32062685,3.0230615300877504,2.912736227089259
8,Justin Verlander,4 Tms,1232.1,3257.0,88.32787525177002,103.9,118.8,18.684161199625116,236.0,0.07245932,1153.0,0.35400675,3.067351914864092,3.2893221697615562
9,Sonny Gray,6 Tms,1315.2,3587.0,88.38883514534676,104.7,115.8,9.326780626780627,254.0,0.07081126,1347.0,0.37552272,3.6802635517265143,3.8067414239582815
10,Luis Castillo,2 Tms,1434.0,3906.0,88.7431928448585,104.9,115.2,10.44261867501304,287.0,0.0734767,1533.0,0.39247312,3.5774058101578796,3.698761938241914
11,Clayton Kershaw,LAD,1093.1,2964.0,87.99267237384421,104.5,115.9,10.784019539427774,181.0,0.06106613,1030.0,0.34750337,2.807012252252526,3.310660956158442
12,Logan Webb,SFG,1085.2,3138.0,89.57357697283312,105.5,120.4,2.8950258397932815,208.0,0.06628426,1330.0,0.42383684,3.440282512852318,3.858954295579779
13,Max Fried,2 Tms,1088.0,3052.0,86.91952994356187,103.9,122.2,5.659873037086535,150.0,0.0491481,1063.0,0.3482962,3.027573624948062,3.373029993210914
14,Blake Snell,4 Tms,1069.0,2567.0,87.73424595424108,103.8,117.9,12.310591035303451,179.0,0.0697312,878.0,0.3420335,3.115060860070225,3.5162594979606885
15,Charlie Morton,5 Tms,1358.1,3570.0,88.26579653252399,104.3,115.8,9.426099290780142,249.0,0.0697479,1291.0,0.36162465,3.8628220759453704,3.9045103016560474
16,Dylan Cease,3 Tms,1041.0,2660.0,88.74779456541113,104.2,116.8,15.357278601292284,205.0,0.07706767,1001.0,0.37631579,3.83861679206281,3.647859865170684
17,Shane Bieber,2 Tms,876.2,2341.0,90.41665918180585,104.6,116.3,10.504555314533622,188.0,0.08030756,1011.0,0.43186672,3.1927756607682616,3.82340884670445
18,Corbin Burnes,3 Tms,886.0,2269.0,87.0469034921353,104.2,117.5,9.651380231522706,136.0,0.0599383,761.0,0.33539004,3.0067720996495226,3.106560783660462
19,José Berríos,2 Tms,1510.0,4353.0,88.41020332977416,104.5,118.1,13.663000234027615,345.0,0.07925569,1624.0,0.37307604,3.9218543640822006,4.363136165775755
20,Framber Valdez,2 Tms,1056.2,2925.0,90.46946893859631,105.5,119.6,-0.17412417620534165,185.0,0.06324786,1289.0,0.44068376,3.364353411492981,3.7272272236950656
21,Tarik Skubal,DET,786.1,2018.0,88.34101371305535,104.9,115.7,12.354741595584546,165.0,0.08176412,769.0,0.38107037,3.033064951180274,3.2712273286313867
22,Yu Darvish,4 Tms,1132.1,2990.0,88.08380901805414,103.9,115.5,14.738038683406854,229.0,0.07658863,1065.0,0.35618729,3.8548721319759545,3.613310685815602
23,Patrick Corbin,4 Tms,1502.2,4579.0,89.73575244879787,105.6,116.3,10.184327693677648,387.0,0.08451627,1882.0,0.41100677,4.629769442021442,4.924809204771984
24,Lance Lynn,6 Tms,1207.2,3431.0,87.96107314176602,104.1,117.6,14.105482717520859,236.0,0.06878461,1217.0,0.35470708,4.0019321088965825,3.9281653954087306
25,Zack Greinke,3 Tms,1122.1,3363.0,88.11279017689212,103.8,117.1,11.065021071643589,233.0,0.06928338,1181.0,0.35117455,3.6085535267862237,4.049895246991646
26,Sandy Alcantara,MIA,1102.1,3201.0,88.40360568370494,104.6,117.9,7.971871049304678,207.0,0.06466729,1251.0,0.39081537,3.6250379031480358,3.877871277442927
27,Pablo López,2 Tms,965.0,2697.0,87.46632907595973,104.0,117.3,11.338202247191012,198.0,0.07341491,945.0,0.35038932,3.8145078172575935,3.6203116165434768
28,Carlos Rodón,3 Tms,975.2,2544.0,89.27724683180439,104.8,115.5,16.84884645982498,201.0,0.07900943,989.0,0.38875786,3.6805603462186958,3.5678388707910176
29,Kyle Hendricks,2 Tms,1280.1,4019.0,86.13846943502914,103.5,119.0,12.380481622306718,271.0,0.06742971,1307.0,0.32520527,4.0981515393212264,4.149788946278993
30,Nathan Eovaldi,3 Tms,973.0,2773.0,89.07365074936224,104.7,118.4,10.065526028394613,215.0,0.07753336,1121.0,0.40425532,3.653648645844659,3.7877634854890334
31,Zac Gallen,2 Tms,1033.0,2811.0,89.53787329040155,104.4,114.0,12.163492633848366,233.0,0.08288865,1157.0,0.4115973,3.5808325464566195,3.9007821979574335
32,Brandon Woodruff,MIL,742.0,1896.0,87.11049828225428,104.2,118.4,14.451820128479657,114.0,0.06012658,648.0,0.34177215,3.153638846442527,3.1765735470335046
33,Marcus Stroman,4 Tms,1129.2,3431.0,89.11470815493402,105.0,118.3,5.096056922620813,201.0,0.0585835,1370.0,0.3993005,3.760401332180095,4.280974309865687
34,Corey Kluber,5 Tms,741.0,2044.0,87.11445136101355,104.1,116.7,13.977420973406923,137.0,0.06702544,692.0,0.33855186,3.4615384971787355,3.5621667829646917
35,Germán Márquez,2 Tms,1144.1,3430.0,90.00308401304632,104.9,116.3,9.230723606168446,249.0,0.07259475,1457.0,0.42478134,4.648121096757003,4.412600566974478
36,Michael Wacha,6 Tms,1129.1,3358.0,88.00588099084672,104.4,118.6,13.924545454545454,260.0,0.07742704,1189.0,0.35407981,3.801357698934997,4.484363114704039
37,Chris Bassitt,4 Tms,1134.0,3289.0,87.32657940262165,104.1,117.2,12.534933825792551,228.0,0.06932198,1136.0,0.34539374,3.6428571214120855,3.9737539921604186
38,Luis Severino,3 Tms,955.1,2684.0,88.17055283343585,104.1,114.7,11.85590015128593,186.0,0.06929955,1017.0,0.37891207,3.900209395137475,3.898106636665955
39,Eduardo Rodriguez,3 Tms,1090.2,3152.0,87.38027223538225,104.2,117.2,13.375,226.0,0.07170051,1068.0,0.33883249,4.1341686704174165,3.999798496905251
40,Joe Musgrove,3 Tms,955.2,2715.0,87.88777036246026,103.5,115.8,11.667289719626169,178.0,0.06556169,975.0,0.35911602,3.814091440546092,3.7860659057862134
41,Jameson Taillon,3 Tms,1151.2,3468.0,88.32416448061767,104.2,117.4,14.947245017584994,254.0,0.07324106,1262.0,0.3638985,3.9308249977931204,4.044583453225118
42,Jon Gray,2 Tms,1000.2,2908.0,89.07188797530594,104.6,116.8,10.93361285814116,185.0,0.06361761,1141.0,0.39236589,4.407061852291629,4.239750385562132
43,Freddy Peralta,2 Tms,873.2,2174.0,87.78838741245555,103.7,117.9,17.74813432835821,167.0,0.07681693,776.0,0.35694572,3.5745899708613154,3.3660946057555496
44,Jose Quintana,8 Tms,1123.1,3360.0,88.41361099968003,104.1,116.4,11.669406392694064,225.0,0.06696429,1250.0,0.37202381,4.078041661893095,4.529564336273964
45,Lucas Giolito,4 Tms,1137.1,3116.0,88.63686080981998,104.9,117.4,16.0,251.0,0.08055199,1173.0,0.37644416,4.257327207025494,4.180418521381574
46,Jack Flaherty,4 Tms,1007.0,2628.0,88.02199436183321,104.6,117.5,14.272902976420564,205.0,0.07800609,955.0,0.36339422,3.8073485672909047,4.022062847686795
47,Trevor Bauer,3 Tms,740.2,1874.0,88.89291614555165,104.5,115.7,14.44889129259059,142.0,0.07577375,692.0,0.36926361,3.3537353505067777,3.576204132313634
48,Tyler Glasnow,3 Tms,694.2,1678.0,89.5717477821442,105.0,117.6,10.669272399278412,152.0,0.09058403,686.0,0.40882002,3.640595052912904,3.3318532718345404
49,Kyle Freeland,COL,1269.2,4112.0,88.91932495238169,104.7,116.3,11.417740336967295,319.0,0.07757782,1597.0,0.38837549,4.522447083282036,4.823937562200904
50,Zach Eflin,3 Tms,998.0,3074.0,87.83290253750468,104.3,116.5,11.695016611295681,232.0,0.0754717,1085.0,0.35296031,4.247494900685381,3.7828449599833887
51,Logan Gilbert,SEA,864.1,2364.0,90.42333879817987,105.0,118.0,14.781156316916489,191.0,0.08079526,1022.0,0.4323181,3.592364205054336,3.5525206589274108
52,Walker Buehler,4 Tms,841.0,2331.0,88.43917413777723,104.3,114.4,11.109306409130816,150.0,0.06435006,851.0,0.36507937,3.4458977954907244,3.6493876614840266
53,Nick Pivetta,3 Tms,1133.0,3124.0,89.74605228018939,104.3,117.5,15.374147450470932,288.0,0.0921895,1264.0,0.40460948,4.503971726070099,4.181651460540464
54,Carlos Carrasco,4 Tms,959.2,2743.0,89.25533353365384,105.3,116.7,10.534373838721665,227.0,0.08275611,1087.0,0.39628144,4.379645852491166,4.295835267516571
55,Jordan Montgomery,4 Tms,857.0,2559.0,87.81935053075901,104.1,114.9,11.856180665610143,174.0,0.06799531,924.0,0.36107855,3.990665119733477,4.124102719370976
56,Miles Mikolas,2 Tms,1170.1,3761.0,88.5760364837192,104.3,115.5,11.886812889249933,305.0,0.08109545,1432.0,0.3807498,4.244944489093524,4.55193783242079
57,Ranger Suarez,2 Tms,688.1,2016.0,87.27796872039224,104.1,115.8,7.958606764260474,120.0,0.05952381,689.0,0.34176587,3.43874107890746,3.6463075036933943
58,Kyle Gibson,5 Tms,1296.0,3916.0,88.62723536922643,104.6,115.4,8.443152454780362,278.0,0.07099081,1539.0,0.39300306,4.576388902359212,4.711253344560211
59,Merrill Kelly,2 Tms,1018.0,2950.0,89.5223487647804,105.0,116.9,12.956356078974714,252.0,0.08542373,1179.0,0.39966102,3.8192534882048483,4.363175455212389
60,Shohei Ohtani,2 Tms,546.2,1307.0,87.1857141443201,103.8,113.9,13.204475308641975,90.0,0.06885998,459.0,0.35118592,2.9140244336662504,3.1212847069012506
61,Matthew Boyd,3 Tms,928.0,2679.0,88.05197809603732,104.1,115.5,18.479467680608366,212.0,0.07913401,933.0,0.34826428,4.461207006582893,3.9993301019545053
62,George Kirby,SEA,671.0,1955.0,89.53066072986685,104.5,115.6,12.572830578512397,157.0,0.08030691,781.0,0.39948849,3.5543964838701037,3.5739102876587485
63,Mike Clevinger,3 Tms,741.1,1998.0,87.54556912579113,103.5,114.4,16.671059300557527,142.0,0.07107107,695.0,0.34784785,3.3385790736994814,3.882430699755323
64,Cristopher Sánchez,PHI,524.0,1498.0,88.44198578479244,105.8,120.0,3.0350877192982457,95.0,0.06341789,570.0,0.38050734,3.005725289477618,3.3677316698771813
65,Stephen Strasburg,WSN,545.2,1403.0,88.24491465972476,104.3,113.5,9.991953182150695,91.0,0.06486101,490.0,0.3492516,3.364691289317164,3.3454211921112385
66,Robbie Ray,4 Tms,1135.1,2810.0,89.93243990017046,105.2,116.0,16.338166002174702,258.0,0.09181495,1163.0,0.413879,3.7099237399525267,3.984433082784265
67,James Paxton,4 Tms,665.0,1786.0,89.26177435170804,104.4,118.1,15.125711035267349,132.0,0.07390817,697.0,0.39025756,3.9112781618338146,3.605766568576373
68,Jesús Luzardo,3 Tms,691.1,1862.0,88.99106865510961,104.8,115.5,13.406862745098039,148.0,0.07948443,717.0,0.38506982,4.2439731824747415,3.8759612141313986
69,Brady Singer,2 Tms,873.0,2579.0,89.6411639121416,105.2,116.5,9.798507462686567,196.0,0.07599845,1087.0,0.42148119,4.247422856729676,4.458110623796963
70,Sean Manaea,4 Tms,1015.0,2952.0,89.75397116308054,104.8,116.2,13.982734806629834,229.0,0.07757453,1203.0,0.40752033,4.1231526861154,4.241539975562906
71,Mitch Keller,PIT,901.0,2693.0,88.86177038731311,104.5,115.7,11.0,199.0,0.07389528,1066.0,0.39584107,4.465038892987713,4.405840264001212
72,Joe Ryan,MIN,663.2,1761.0,89.16760415170879,104.8,116.4,20.714121699196326,166.0,0.09426462,682.0,0.38727995,3.756403885550309,3.324857026667033
