rank,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN
1,Chris Sale,ATL,177.2,94.84210549261337,,,,,94.19703077561785,78.64493381315391,,,,87.07004757203917,,
2,Tarik Skubal,DET,192.0,96.84862024262706,,,,,96.61804178244469,88.73971492686171,,78.48916683197021,,86.31311716847605,,
3,Zack Wheeler,PHI,200.0,95.26426249411895,,91.12826923599513,86.1267853464399,,94.64048052570219,84.94564730762492,81.80229502193264,,,,,
4,Cole Ragans,KCR,186.1,95.39946334030843,,90.74419197752523,,,,85.98671705202949,,80.75294107254075,,84.78418859533362,,
5,Dylan Cease,SDP,189.1,96.8668595459688,,91.8105263960989,,,,87.21604486661015,,82.29920226929197,,69.67142868041992,,
6,Seth Lugo,KCR,206.2,92.23739984016316,,90.09137154373468,85.73414676945384,,92.14540700400103,85.18289786223278,79.38858867247411,,,87.36944477646439,,
7,Cristopher Sánchez,PHI,181.2,,,86.5,,,94.4819483454494,84.37139853784593,,,,85.11322633059086,,
8,Garrett Crochet,CHW,146.0,97.15622994015892,,91.55117717069739,,,97.93200134277343,84.25319168415476,,,,90.98873256629622,,
9,Logan Webb,SFG,204.2,92.5664706510656,,90.96190470740909,,,92.57776060530051,83.75999953326057,,,,87.35434299045139,,
10,Paul Skenes,PIT,133.0,98.82410107070594,,,,,93.98723089872901,85.3930224928745,82.98000043786091,,,87.34912256608929,,
11,George Kirby,SEA,191.0,96.00863995973498,,92.28182012384588,86.00298102170426,,96.04693307482057,87.20811953639712,,83.36460882744181,,,,73.9000015258789
12,Logan Gilbert,SEA,208.2,96.5834755317997,,92.30498464233779,84.48796040302999,,95.53333129882813,88.43765384375804,83.21281416104033,,,,,
13,Michael King,SDP,170.1,93.6899124948602,,,,,92.92223686790224,82.90563983452029,,,,86.71486347853535,,
14,Tyler Glasnow,LAD,134.0,96.31038663242403,,,,,96.55428562709264,89.98794950855722,83.72245894651363,,,,,
15,Tanner Houck,BOS,178.2,,,87.10250129699708,88.43475791245743,,93.53005646958863,83.17488898185373,,,,,,
16,Corbin Burnes,BAL,194.1,,,95.27346211313936,,,96.95622292710988,87.16004581538509,80.26759723988614,,,89.20513639421262,,
17,Sonny Gray,STL,166.1,92.36313174469302,,87.65543044422547,,,92.69366503409131,84.76600012207031,79.95797030683877,75.4000015258789,,88.28427714221883,,
18,Hunter Greene,CIN,150.1,97.60812119306144,,,86.9700933795109,,,86.83119366620038,80.9111102634006,,,,,
19,Framber Valdez,HOU,176.1,94.49666849772136,,,,,94.09772893778911,85.05089357921055,79.65461233591829,,,89.8588110297787,,
20,Yusei Kikuchi,2 Tms,175.2,95.51681123203238,,,,,,88.31237286563524,82.41498111339098,,,86.74814732869466,,
21,Reynaldo López,ATL,134.2,95.49100312229672,,,,,,84.99690465274773,76.9778685022573,,,86.08765496148004,,
22,Ranger Suarez,PHI,150.2,91.84945499195771,,86.50806927597314,,,90.78825957057607,81.29999923706055,74.431469903476,,,80.00442783037822,,
