rank,Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
1,Corbin Burnes,MIL,167.0,109.42102564102562,90.36527196652719,133.59246312684368,,133.13425,132.25626326963908,95.5706827309237,,,125.17107291258083,101.31263636613515,126.61111615704789
2,Zack Wheeler,PHI,213.1,122.7674760853569,133.0521843003413,109.81098626716603,,,117.63341176470588,79.53655172413792,,,119.21689518290754,103.28876087044267,120.61492220942385
3,Nathan Eovaldi,BOS,182.1,104.73524656426838,,104.25021739130433,125.30474393530999,111.77358208955224,111.30178506375228,,,,109.48795328961378,106.70532716573477,113.8081685409858
4,Walker Buehler,LAD,207.2,111.39150606709495,94.94914529914527,109.11038610038611,,133.25353137860083,,97.84198675496688,110.35048076923077,,112.08401556644013,100.39770119598029,111.20759187254046
5,Max Scherzer,2 Tms,179.1,113.97509520182791,,104.58160000000001,,120.45011363636361,103.96963768115943,98.62348448687351,,,110.98510777088299,100.26340126257358,109.66697450672912
6,Gerrit Cole,NYY,181.1,125.97227142857145,133.8733333333333,,,126.63602427921093,,83.06152019002376,115.10537634408604,,118.38243091580284,105.41917736063414,123.49296566991833
7,Julio Urías,LAD,185.2,109.00004454342984,137.53,,,,133.69905660377358,107.42902691511388,,,117.18040951807508,105.63694547294388,118.18361830503736
8,Carlos Rodón,CHW,132.2,105.27443932411676,,,,132.67579470198675,89.37105263157895,98.79614545454547,,,111.65303965304004,100.32109771695767,111.632861294564
9,Jacob deGrom,NYM,92.0,113.69485795454544,,,,141.5155990220049,131.42000000000002,112.02917431192658,,,122.91014604747333,109.64963609755853,134.49995394389927
10,Kevin Gausman,SFG,192.0,94.99540113708149,,,118.42229107981221,97.52075268817207,,92.64416666666665,,,103.34396050559057,103.5727762872274,107.21207344105416
11,Brandon Woodruff,MIL,179.1,115.96318901795144,101.01739014647139,,,111.07974468085105,114.94413361169103,103.73301507537685,,,109.59775628738456,109.42328251479434,116.61652552233717
12,Charlie Morton,ATL,185.2,91.95834558823529,108.83146529562983,102.97391304347826,,,124.7955373406193,95.76591194968553,,,107.42657476731736,99.03928262485977,104.87708991590608
13,Dylan Cease,CHW,165.2,94.1614553314121,,,,126.20511576626238,,115.41436619718309,107.85300668151447,,107.59252588819757,100.74188504464902,106.99438521741617
14,Aaron Nola,PHI,180.2,103.53629496402878,107.11895981087473,90.64000000000001,,,,94.37195246179965,128.38139825218477,,108.71452024973824,103.54530006883263,109.76398418111592
15,Sandy Alcantara,MIA,205.2,96.6474850299401,118.55935926773458,,,112.13820134228185,94.09518987341771,113.53629120879118,,,110.4556503784148,105.0362402980103,116.50341551841682
16,Lance Lynn,CHW,157.0,115.3707869481766,92.63575150300602,109.67315245478035,,108.03999999999999,107.10027027027027,85.36767857142854,,,107.49485970080077,103.51900422706824,109.81071171593396
17,Trevor Rogers,MIA,133.0,94.99846522781776,168.60000000000002,,,99.55690402476782,,109.55400673400673,,,99.72127908389629,104.5846064715041,103.62244113123593
18,Lucas Giolito,CHW,178.2,96.60542242703531,,,,105.5863125,108.4978048780488,123.61016985138008,,,107.45390328851002,102.47128570388463,110.03388534115149
19,Logan Webb,SFG,147.1,85.23441860465115,114.64410564225687,89.03083333333335,,115.83420621931258,,114.60480769230769,,,111.81530993974074,99.10008744230377,109.80786594631014
20,Frankie Montas,OAK,187.0,105.5211270718232,104.32891734575084,113.8713901345292,127.52106508875738,110.08947945205479,,,,,111.24758031196357,101.87500870320412,111.14520779720526
21,José Berríos,2 Tms,192.0,96.11068322981367,109.95768467475193,,,,111.39618945102261,89.63965174129355,,,103.99547511037744,102.32328335955391,104.7191219995007
22,Freddy Peralta,MIL,142.1,107.17130142737193,92.14903225806454,,,111.24881188118812,99.4715873015873,86.41426008968611,,,105.18811987052105,101.46057865202579,107.97989312910948
23,Robbie Ray,TOR,193.1,106.87114454594305,102.6875,,,105.25241735537192,,73.20424778761061,97.23403141361257,,104.55607587325872,101.21467733667788,106.00083393941637
24,Adam Wainwright,STL,206.1,81.8077591973244,86.88906141367325,91.88231927710844,,,114.74451737451739,76.24748717948717,,,96.17383991253138,101.22726713244813,97.40728716089559
25,Eduardo Rodriguez,BOS,156.2,97.45307550644567,115.55815789473682,106.22609603340291,,99.93636363636365,,93.36253205128205,,,100.29370700051082,107.32480416517022,105.96014097459518
26,Tyler Mahle,CIN,180.0,102.28513847967001,,90.53776470588237,80.6959207920792,91.92958536585364,,,,,95.57124786711778,107.06934465126025,103.85549736611388
27,Luis Castillo,CIN,187.2,102.41113082039911,106.61745989304815,,,118.0444,,109.01199170124481,,,108.14931240243298,102.08883491511436,110.47131076598956
28,Max Fried,ATL,165.2,99.65083076923077,104.29882352941176,,,107.8318799313894,114.70655487804878,96.81054545454543,,,105.69437174589983,106.42610150804215,110.63476144451607
29,Antonio Senzatela,COL,156.2,83.2356707317073,80.00210526315789,,,110.09537859007833,103.94728571428573,86.5786577181208,,,93.18285917985169,106.55364678457454,99.35384083035169
30,Marcus Stroman,NYM,179.0,102.01884057971016,96.66506065857885,101.75018779342723,87.53981818181816,115.88000000000001,117.64218579234971,,,,101.1176521654611,100.27111120002107,102.1597854822063
31,Germán Márquez,COL,180.0,76.86545311268715,85.13512195121953,,,113.80202702702702,,86.65137931034484,129.4427131782946,,97.23660354306021,96.24958766256657,95.89560396468117
32,Clayton Kershaw,LAD,121.2,102.7624698795181,,,,124.86363636363635,119.49963369963369,88.07454545454547,,,115.75348158330338,95.43157310989206,113.28562766768167
33,Chris Bassitt,OAK,157.1,99.89625272331156,106.23047058823529,90.73153488372091,,126.10620408163265,135.55571428571426,84.0748148148148,,,103.90279918744483,104.01781515398262,105.86489249072162
34,Sean Manaea,OAK,179.1,101.98521739130435,109.03488687782807,,,108.99909677419355,,101.94337016574586,,,107.25355214711063,98.64837027108689,103.14343737763942
35,Jordan Montgomery,NYY,157.1,98.3352403846154,104.0326371681416,93.26474576271187,,,126.99036184210526,109.70089456869012,,,108.4182575305901,102.52046099845478,109.02861095422185
36,Joe Musgrove,SDP,176.1,97.56184300341296,93.91637583892619,100.93701149425287,,131.90813602015112,123.73158200290277,91.2975539568345,,,113.37029292913776,94.79659175474819,106.33698028414098
37,Kyle Gibson,2 Tms,177.2,82.39123919308356,102.99406249999998,83.92317848410758,,108.5977130044843,102.7148,89.21046070460706,,,96.67659531755429,98.88141000597821,99.0025652457686
38,Lance McCullers Jr.,HOU,162.1,,98.61543157894737,100.3944680851064,,128.93602240896357,,86.81221932114883,102.84170028818444,,105.85157786583794,99.17768493009191,106.3832693013894
39,Wade Miley,CIN,163.0,94.62912114014252,103.31806451612906,100.4257877280265,,116.58521739130434,88.64444444444443,94.72485106382979,,,98.35462859204719,99.59576218672215,98.73304419368868
40,Anthony DeSclafani,SFG,167.2,93.54080924855491,111.6311530398323,,,93.77364731653891,,85.38731343283582,103.33942307692308,,96.96729980078197,104.52593280120408,102.3339973635497
41,Luis Garcia,HOU,149.1,95.39306197964848,,105.12285714285716,,103.24800735643096,85.27008849557524,97.61632958801496,,,98.32838228508685,98.80715877957411,96.59424759714638
42,Chris Flexen,SEA,179.2,90.13903829029384,,96.89056969696972,,,81.85240506329113,102.62524361948957,,,92.80479867385941,107.9575325221897,100.83074101778561
43,Shohei Ohtani,LAA,130.1,96.51914798206278,,95.3848995983936,123.17013623978202,131.44573333333332,101.25159420289856,,,,109.11824416167546,95.13044627872858,106.96752831748805
44,Yu Darvish,SDP,166.1,115.39549019607843,102.63991228070171,95.38000000000001,106.12207407407408,103.57490859983146,98.46614173228346,,111.30132075471697,,106.07367545256636,100.78280635087059,108.06619309145482
45,Steven Matz,TOR,150.2,,97.16353915662653,,,92.59771428571429,109.76127058823529,100.97848484848485,,,99.76552456569428,107.5819198286861,106.02303547368587
