#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%
1,Tarik Skubal,DET,0.37949762,0.72165698,0.54475254,0.54561717,0.78046324,0.69587629,0.48297648,0.71524064,0.16567217,0.15514216,0.32081432
2,Paul Skenes,PIT,0.34193548,0.69659443,0.49482816,0.58662093,0.80888889,0.72151045,0.43109776,0.60845839,0.13780447,0.15515516,0.29295963
3,Cristopher Sánchez,PHI,0.35407592,0.66408068,0.49205801,0.56239016,0.82009346,0.71719298,0.44509669,0.65551425,0.13910942,0.17466344,0.31377287
4,Garrett Crochet,BOS,0.35946574,0.70308123,0.5152381,0.56219709,0.84063745,0.73444239,0.45333333,0.63636364,0.13678197,0.15360203,0.29038401
5,Logan Webb,SFG,0.32864583,0.64464023,0.45978062,0.58954041,0.89635535,0.76805832,0.41499086,0.68341121,0.10664229,0.19744059,0.30408288
6,Jesús Luzardo,PHI,0.33391916,0.66385911,0.47693329,0.52631579,0.84198385,0.71677105,0.43345503,0.67414248,0.13499171,0.1708126,0.30580431
7,Yoshinobu Yamamoto,LAD,0.3335396,0.64961637,0.46647544,0.56215213,0.84645669,0.72867025,0.42058085,0.61842105,0.12643266,0.17335244,0.2997851
8,Max Fried,NYY,0.31024775,0.67918858,0.46829739,0.60980036,0.84845133,0.7580756,0.42838751,0.60299625,0.11318328,0.1659164,0.27909968
9,Hunter Brown,HOU,0.31629756,0.632806,0.44463201,0.61759425,0.83947368,0.74563402,0.40546928,0.5569273,0.11302294,0.17004049,0.28306343
10,Kevin Gausman,TOR,0.34590454,0.72993248,0.51485149,0.59795571,0.84994861,0.75512821,0.43993399,0.68774194,0.12607261,0.15775578,0.28382838
11,Zack Wheeler,PHI,0.34258583,0.71317073,0.50125313,0.554371,0.81121751,0.71083333,0.42815372,0.61367521,0.1449457,0.14369256,0.28863826
12,Ranger Suarez,PHI,0.33093525,0.66826923,0.47530864,0.69565217,0.86906475,0.8,0.42798354,0.66359447,0.09498355,0.17680921,0.27179276
13,Framber Valdez,HOU,0.33353511,0.65157639,0.4697127,0.56624319,0.88461538,0.75534267,0.42817584,0.61970075,0.11456177,0.17046239,0.28502415
14,Andrew Abbott,CIN,0.34679021,0.69210978,0.49719836,0.67748092,0.84634449,0.77986476,0.4355622,0.63450292,0.10945088,0.16212178,0.27157266
15,Nathan Eovaldi,TEX,0.33172613,0.71088435,0.5059927,0.59593023,0.82934609,0.74665294,0.45961438,0.62096774,0.128125,0.1625,0.290625
16,Nick Pivetta,SDP,0.31841764,0.66004584,0.47527183,0.6598778,0.84722222,0.77933579,0.45913714,0.63384189,0.10483871,0.18092567,0.28576438
17,Michael Wacha,KCR,0.31805556,0.71451876,0.50037509,0.69868996,0.86073059,0.80509745,0.45986497,0.63268156,0.09752438,0.15153788,0.24906227
18,Freddy Peralta,MIL,0.318542,0.7007544,0.46629942,0.57379768,0.83133971,0.72341904,0.38658458,0.63347165,0.12884429,0.14762059,0.27646488
19,Bryan Woo,SEA,0.33616419,0.7432744,0.53131909,0.62315789,0.83764219,0.76699029,0.47936625,0.66484268,0.12380251,0.14443626,0.26823876
20,Sonny Gray,STL,0.33863781,0.65387969,0.47167035,0.54135338,0.88666667,0.74336973,0.42200147,0.64674635,0.12077827,0.18759178,0.30837004
