rank,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+
1,Corbin Burnes,MIL,167.0,140.80615820156527,53.76302703302491,261.9014697188038,30.72648002095379,152.7861386695234,58.337259205422065,83.6567714588626,72.70181771486591,107.29531534104272,104.75299726828689,57.65817098069604,37.56055242463105,53.71537565357287,100.07703115532472,112.12623215166239,85.14217551285658
2,Zack Wheeler,PHI,213.1,116.34842331323452,56.94038310627337,204.3337553506714,54.97845243464388,124.80234058920658,61.0776912981664,89.20736851592758,77.93666791822768,100.02082092525775,104.13896398461269,65.99731348461476,59.14213802560461,66.47550499901793,108.8739771862681,114.42666163358828,77.19080163855155
3,Nathan Eovaldi,BOS,182.1,108.81412178197188,52.940640010669036,205.53986578542936,57.717501777256764,110.7367081597142,53.87602619911951,103.54201080249206,91.46635049561377,111.85421368347188,97.94131010146103,81.76805608751384,65.07277167012327,81.48990141115517,113.6385362196299,99.3812725028736,93.20314622126745
4,Walker Buehler,LAD,207.2,102.58676486755598,66.12380265565218,155.14347414152857,67.068416625531,111.58651638814965,71.92472438694757,82.59838225910595,74.84992266069838,85.95442201832584,111.965328047509,60.33000005978838,73.13292721888239,83.93210477469471,95.48280940565968,102.57096880311533,99.49945610563566
5,Max Scherzer,2 Tms,179.1,132.24316897702397,53.010603643264155,249.4655025020853,94.01519691254907,146.08722360683996,58.560090559734036,77.18338712536999,66.83943469777466,86.04985119423833,116.67751799334802,58.88726048859587,68.90223276134864,75.94181112176022,87.50889876623758,76.94627219317518,135.46158404659107
6,Gerrit Cole,NYY,181.1,136.34692288998272,62.358177982839806,218.65122683592494,92.85727298432516,145.21785195747142,66.41529518337714,90.81103970612273,81.37504908511006,104.692658776976,108.3506593520988,76.14106654754806,67.8298866976568,68.77479971250328,80.05068686681575,101.90850783354641,108.80427361042445
7,Julio Urías,LAD,185.2,105.54142152040828,54.0469173882754,195.27741162342866,75.01548268526906,112.28243075424447,57.49893470971716,90.52323375735017,78.72088307460557,94.46007327597971,105.35218296108889,72.213959766392,72.46014302160884,87.5876326768511,89.59575664271455,92.25565170044555,115.54076279665608
8,Carlos Rodón,CHW,132.2,141.8817766285285,74.83898407031859,189.58271094484687,68.74859989321409,150.3075608520404,79.28337226705229,76.28299163204008,73.5714944458758,91.60466486881988,114.27580780026578,54.367056659263625,59.684306975631806,74.28202909538695,84.6017168129428,89.16005909770817,120.75440602397526
9,Jacob deGrom,NYM,92.0,159.47304487457566,31.573746653348323,505.0811560397204,47.80734880335255,193.30421000384501,38.271911126314606,53.800529487302704,42.869106508270534,73.90427323921823,120.57696326473473,26.892234712785648,28.76420599834842,37.394555334753875,83.87575509699559,101.01584058633779,108.18274524281173
10,Kevin Gausman,SFG,192.0,118.80832984608799,68.76857767434872,172.76543105483398,76.35896065280177,125.64859061609374,72.72785514625106,87.30460402239135,80.55469440238133,95.38402105831094,108.4759976839192,69.68564224514088,73.68356140396828,76.88831276642212,103.94272381204472,96.14551043485426,102.40416949063078
11,Brandon Woodruff,MIL,179.1,118.2343586843855,63.31822100782082,186.7303859808823,73.57711061498496,127.84468115858638,68.46485205969725,82.90841474183122,74.60143355350577,90.79696808218776,112.60737200959684,60.851876745828136,68.9298640249556,71.52970947208858,125.77080842387383,95.23170879176925,90.76322860068291
12,Charlie Morton,ATL,185.2,116.90742019810507,82.49266298486477,141.71856717111731,63.170932483398154,122.5647045338437,86.48457830149417,83.80558249652087,80.80344572980187,92.94917111181647,98.29475496330782,78.57439463244698,75.63112026222198,77.6917035647611,111.60600317496707,109.81618712408358,81.22602508857135
13,Dylan Cease,CHW,165.2,138.80017915920197,113.20379683117518,122.61088522727952,84.69878865948749,138.49227112793548,112.95267600326176,90.48317793243325,96.02910922202187,105.99663319552958,102.79757285977844,89.56265754246644,76.43512854100214,86.98731085840606,109.81953645876139,78.70545053749984,118.74183259024235
14,Aaron Nola,PHI,180.2,124.03638618192518,57.00433091858873,217.5911618594581,105.49371066594556,127.71929519808776,58.6969128130515,98.77500920136745,87.32010193843068,106.95152504165885,92.43970319692718,109.81102938570002,77.26865772002628,79.21304703882987,91.16133985767743,93.04597627650192,113.66035275671302
15,Sandy Alcantara,MIA,205.2,98.20970612172161,64.19886683424049,152.97732000890585,74.8491078040388,103.01585399290343,67.34060607413383,92.35411355233506,83.09797733853941,93.9958960117243,100.19119637159774,75.7777417607606,81.59536436304366,80.93864952469714,90.96942149205742,122.51053539627144,77.78007243763099
16,Lance Lynn,CHW,157.0,114.05904288766419,79.04967011192437,144.28781462104496,80.43687249165482,119.12557051057533,82.56107826550864,85.05523931000583,82.23890216720477,90.01919951532109,113.30246415368674,61.6918509658473,74.46373889445492,89.16282717592883,92.4047877882349,90.20188137116214,115.28333248162212
17,Trevor Rogers,MIA,133.0,118.62337571935646,91.33294512052788,129.88016028316295,33.06974574828373,122.45328218632045,94.28174609210159,89.98381144309185,88.96145602107846,104.54245934399218,103.57469507418018,62.60307675581506,60.51791184569839,83.12835067443825,116.43541233970866,92.15799993086367,99.97389372980957
18,Lucas Giolito,CHW,178.2,114.46408303644371,80.26884478353651,142.60088321181914,106.02360238629183,121.11945738965682,84.93598323091204,89.42854759357898,84.74037266404355,92.38761072239954,107.81293902177211,80.73913714434835,84.9901211674779,87.7111580886334,119.63950423197223,78.56039603709706,113.50739528548253
19,Logan Webb,SFG,147.1,107.08309118181043,64.52421831658019,165.95798259249798,44.77882935612134,113.57387041364053,68.4353172777076,97.84052575614393,86.08052762564485,108.05846739937914,103.28229470836894,75.67671546168405,66.85291308126932,65.50420515807583,99.24886638829993,139.4863170081494,52.20446418931527
20,Frankie Montas,OAK,187.0,112.62776211748651,84.06601444719257,133.97537809976723,75.03618078728212,115.43595626829503,86.16207087110173,94.34698814219135,90.82770702583109,101.40033034286682,103.58149681457931,81.62526876472737,81.23936383847821,85.19239790182334,107.37910231523335,101.31107618060129,94.45677982319843
21,José Berríos,2 Tms,192.0,108.10496845825259,64.63957521046875,167.24269422459878,80.39032488382522,113.32598171048865,67.76139669213322,90.58249193050315,81.65760193534501,94.91201795939577,100.47203497762483,80.79470388761689,82.10591338153183,83.97262602003111,113.00064702066675,101.31476025561396,91.3619586232675
22,Freddy Peralta,MIL,142.1,133.4373623382756,98.33101410813562,135.7022128733654,72.10288784706732,142.48954694238708,105.00163870810782,68.1402349704531,73.34816244066687,78.30916369718489,108.35659647423488,67.65045382440637,73.27450736453449,86.3362610690139,96.0232783483087,75.58109646640841,132.1530752563116
23,Robbie Ray,TOR,193.1,130.51536981973635,74.1794850404517,175.9453683499445,119.75386345161156,139.19465002171768,79.11242945332206,85.93191847831999,80.29940258938608,92.02486975353925,125.2886203487051,63.16669944096878,86.77569190252194,78.69967020419816,90.73408951365656,88.00686565289215,118.69022806065644
24,Adam Wainwright,STL,206.1,84.74266481124545,63.99143905350058,132.42812776890358,74.60726888868467,90.14722833001211,68.07256928165978,91.67778132660789,81.70510400098459,89.06684292818265,108.52055152423175,74.53564897005005,87.56967340125294,91.06471032797012,106.60211395206991,109.01361203046352,85.13088168386801
25,Eduardo Rodriguez,BOS,156.2,119.49725717569729,82.73865656494675,144.42735796538923,85.08623971675478,118.79520334236737,82.25256620736491,113.40254590069915,107.43237980106899,124.92460340901701,95.83727292118752,103.9292126958432,77.57434276309742,80.16956673808944,109.9597911375109,102.84559765162562,91.29835038840092
26,Tyler Mahle,CIN,180.0,117.23817640594689,93.89203194435092,124.86488340279163,97.7394702181589,118.68914066594833,95.05406035005959,96.79382852576911,95.37675874090928,103.33296062663615,107.38565918571015,84.94043651445952,84.83830261855667,87.84189258297673,101.40389281845144,97.03151244664427,102.8056665281997
27,Luis Castillo,CIN,187.2,102.81023619069278,105.53472811622112,97.41839284149228,74.21602814390941,102.56971546444964,105.28783412743287,105.34755552035224,105.49088083027125,110.47282366554421,98.90231710347882,90.16057772291241,83.65373345602542,85.28124262025119,90.25443792287261,129.98937610168863,69.0621559813579
28,Max Fried,ATL,165.2,95.83942790412584,65.3536708433262,146.64735200664768,66.37237585695878,101.61661426327096,69.29318094807765,94.23349607452923,84.02324612396825,96.69353607663479,105.00976615525963,71.46917679511107,78.85230080072245,81.08974499164357,98.59533003539576,118.95554205910277,77.66579344574248
29,Antonio Senzatela,COL,156.2,67.3495911596646,53.93797616491618,124.86488340279163,56.14820667767834,67.22765487629587,53.84032260900208,118.75461866481889,103.65846765219547,112.75835806718956,92.36764087490681,91.4757133438655,80.44029294807193,98.12552049167587,105.55087942757973,117.53503446766047,75.33591712807339
30,Marcus Stroman,NYM,179.0,88.70055168492499,64.91139081608756,136.64866890144748,69.6188964022158,92.84696126737545,67.94574895690334,99.50324731981551,88.56516177054759,99.36709006953711,104.38448657064443,75.39113154491888,83.2223763433776,83.89455058163495,109.55036707941916,116.67670023520165,74.04695701901245
31,Germán Márquez,COL,180.0,98.25675688074699,93.89203147798413,104.64866418519678,85.52203601609651,99.86753693224824,95.43125897092898,100.64139745662585,98.38413352784427,101.99799062127639,95.8094999535193,90.99171378932151,86.16667436626572,85.59011692671692,106.16119378243376,118.51430015135898,73.78300287488948
32,Clayton Kershaw,LAD,121.2,118.93595098474184,45.57943696836501,260.9421236771324,90.37553798307914,126.58321966162951,48.51007453884315,93.15376161659266,78.81559665893795,100.34447128333585,99.19161505575595,86.71513237777586,69.41788795328443,67.33259881919551,88.56515944120702,111.50837568694124,92.62491118303629
33,Chris Bassitt,OAK,157.1,102.82366780309613,68.36456694928471,150.40491162720852,66.88871336383137,108.29491082423776,72.00224566650911,88.86853565834572,81.08770753542339,92.99804308281759,108.73294278566532,76.22722878739232,80.48772605227167,91.81975954922866,97.3882167844332,98.90621042746733,102.67589009615352
34,Sean Manaea,OAK,179.1,110.06707579126969,63.05362336522441,174.56106175970461,97.80505986531492,111.62995237354585,63.94894395668215,104.43901717105138,94.28212159020866,108.88920353743305,107.50172639857698,94.84223419612832,87.94549367896344,84.73497363104012,108.24895992344226,99.3705382629609,96.17842664341903
