rank,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
1,Zack Wheeler,PHI,0.29191321499013806,1.06930693,0.202290076,0.41221374,0.385496183,0.143564356,0.0990099,119.0,5.578125083120541,1089.0,2069.0,3158.0,0.37950664,0.34155598,0.27893738,0.21442125,0.47248577,0.31309298
2,Spencer Strider,ATL,0.3155216284987277,0.779005524,0.222222222,0.34057971,0.437198067,0.093922651,0.121546961,137.0,6.605357300341133,995.0,2105.0,3100.0,0.32289157,0.34939759,0.32771084,0.14216867,0.50361446,0.35421687
3,Sonny Gray,MIN,0.2948207171314741,1.551948051,0.221782178,0.473267326,0.304950495,0.084415584,0.051948051,80.0,3.9130435391049314,1015.0,1812.0,2827.0,0.42352941,0.32156863,0.25490196,0.14313725,0.55686275,0.3
4,Gerrit Cole,NYY,0.26145038167938933,1.009433962,0.211111111,0.396296296,0.392592592,0.08490566,0.094339622,112.0,4.822966595206495,1117.0,2169.0,3286.0,0.3664825,0.39042357,0.24309392,0.15101289,0.53775322,0.31123389
5,Kevin Gausman,TOR,0.3207126948775056,1.11299435,0.19047619,0.426406926,0.383116883,0.107344632,0.107344632,73.0,3.551351424580165,1044.0,2027.0,3071.0,0.38412017,0.34549356,0.27038627,0.16523605,0.46566524,0.36909871
6,Zac Gallen,ARI,0.3007246376811594,1.189054726,0.23076923,0.417832167,0.351398601,0.074626865,0.109452736,124.0,5.314285859088512,1153.0,2099.0,3252.0,0.41811847,0.35888502,0.22299652,0.09756098,0.50174216,0.40069686
7,Logan Webb,SFG,0.3016666666666667,2.938461538,0.167479674,0.621138211,0.211382113,0.069230769,0.153846153,77.0,3.208333418325144,1025.0,2159.0,3184.0,0.46526656,0.34733441,0.18739903,0.14285714,0.53246753,0.32467532
8,Zach Eflin,TBR,0.2951167728237792,1.481481481,0.165975103,0.497925311,0.336099585,0.11728395,0.11728395,126.0,6.382739269109329,802.0,1777.0,2579.0,0.44897959,0.34081633,0.21020408,0.15918367,0.49795918,0.34285714
9,Justin Steele,CHC,0.3167701863354037,1.704225352,0.21632653,0.493877551,0.289795918,0.084507042,0.098591549,116.0,6.023077000400725,868.0,1814.0,2682.0,0.43259557,0.32394366,0.24346076,0.17907445,0.54325956,0.277666
10,Pablo López,MIN,0.31275720164609055,1.245901639,0.184523809,0.452380952,0.363095238,0.103825136,0.13114754,117.0,5.427835184958428,992.0,2036.0,3028.0,0.43811395,0.35363458,0.20825147,0.17485265,0.53045187,0.29469548
11,Framber Valdez,HOU,0.28160919540229884,2.132352941,0.203738317,0.542056074,0.254205607,0.06617647,0.139705882,104.0,4.727272772810895,1077.0,1885.0,2962.0,0.44259259,0.31111111,0.2462963,0.10925926,0.51666667,0.37407407
12,George Kirby,SEA,0.29182156133828996,1.194174757,0.188509874,0.441651705,0.36983842,0.101941747,0.106796116,89.0,4.20104904910849,823.0,2002.0,2825.0,0.40714286,0.29464286,0.29821429,0.17678571,0.49642857,0.32678571
13,Jordan Montgomery,2 Tms,0.29390018484288355,1.243523316,0.219819819,0.432432432,0.347747747,0.103626943,0.093264248,99.0,4.722614976263643,1047.0,1876.0,2923.0,0.39177102,0.33094812,0.27728086,0.1431127,0.53488372,0.32200358
14,Blake Snell,SDP,0.2557544757033248,1.304347826,0.214814814,0.444444444,0.34074074,0.072463768,0.108695652,92.0,4.600000024371677,1320.0,1850.0,3170.0,0.38765432,0.35061728,0.2617284,0.16790123,0.52345679,0.30864198
15,Kyle Bradish,BAL,0.2700228832951945,1.613138686,0.202672605,0.492204899,0.305122494,0.05839416,0.102189781,97.0,5.175889464635533,952.0,1690.0,2642.0,0.33555556,0.40666667,0.25777778,0.11555556,0.61555556,0.26888889
16,Jesús Luzardo,MIA,0.3111111111111111,0.984293193,0.19017094,0.401709401,0.408119658,0.083769633,0.115183246,83.0,4.1809702757160965,1069.0,1921.0,2990.0,0.38347458,0.33050847,0.28601695,0.16313559,0.46398305,0.37288136
17,Aaron Nola,PHI,0.28460038986354774,1.126829268,0.195571955,0.426199261,0.378228782,0.121951219,0.15609756,131.0,6.08777989004335,1013.0,2081.0,3094.0,0.47706422,0.30825688,0.2146789,0.1559633,0.52110092,0.32293578
18,Dylan Cease,CHW,0.3304535637149028,0.919786096,0.248953974,0.359832635,0.391213389,0.085561497,0.101604278,92.0,4.677966227719103,1246.0,2017.0,3263.0,0.43243243,0.32432432,0.24324324,0.17255717,0.48648649,0.34095634
19,Kodai Senga,NYM,0.27735368956743,1.231292517,0.190123456,0.44691358,0.362962962,0.136054421,0.115646258,95.0,5.140280688833663,1103.0,1700.0,2803.0,0.41564792,0.33251834,0.25183374,0.16136919,0.50611247,0.33251834
20,Corbin Burnes,MIL,0.24385245901639344,1.302325581,0.22047244,0.440944881,0.338582677,0.075581395,0.127906976,119.0,5.530120554546422,1130.0,1951.0,3081.0,0.45882353,0.33137255,0.20980392,0.19019608,0.51960784,0.29019608
21,Justin Verlander,2 Tms,0.2647702407002188,0.79245283,0.196617336,0.355179704,0.448202959,0.165094339,0.08490566,93.0,5.1560575049634485,898.0,1707.0,2605.0,0.43789474,0.33052632,0.23157895,0.16842105,0.52421053,0.30736842
22,Tarik Skubal,DET,0.2887700534759358,1.644067796,0.170212765,0.515957446,0.313829787,0.152542372,0.06779661,52.0,5.825726233292041,373.0,846.0,1219.0,0.43455497,0.35602094,0.20942408,0.16753927,0.56020942,0.27225131
23,Luis Castillo,SEA,0.26720647773279355,0.918181818,0.18689788,0.389210019,0.4238921,0.113636363,0.127272727,119.0,5.436548275986766,1075.0,2134.0,3209.0,0.37547893,0.35632184,0.26819923,0.18199234,0.48467433,0.33333333
24,Mitch Keller,PIT,0.30975143403441685,1.286486486,0.223853211,0.436697247,0.339449541,0.075675675,0.135135135,99.0,4.584905712877441,1049.0,2073.0,3122.0,0.35766423,0.3649635,0.27737226,0.17153285,0.51824818,0.31021898
25,Tyler Glasnow,TBR,0.29411764705882354,1.622222222,0.171929824,0.512280701,0.315789473,0.044444444,0.144444444,67.0,5.0250001198053384,658.0,1245.0,1903.0,0.37192982,0.38245614,0.24561404,0.16140351,0.45263158,0.38596491
26,Merrill Kelly,ARI,0.27828054298642535,1.326923076,0.20742358,0.451965065,0.340611353,0.096153846,0.128205128,82.0,4.153846235601465,993.0,1817.0,2810.0,0.46969697,0.33549784,0.19480519,0.13636364,0.504329,0.35930736
