rank,Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
1,Zack Wheeler,PHI,13.0,6.0,3.6093750537838796,32.0,32.0,21.0,0.0,0.0,0.0,0.0,0.0,192.0,787.0,168.0,82.0,77.0,20.0,39.0,0.0,9.0,1.0,0.0,212.0
2,Spencer Strider,ATL,20.0,5.0,3.857142949104311,32.0,32.0,18.0,0.0,0.0,0.0,0.0,0.0,186.2,763.0,146.0,85.0,80.0,22.0,58.0,1.0,9.0,6.0,2.0,281.0
3,Sonny Gray,MIN,8.0,8.0,2.7880435216122637,32.0,32.0,17.0,0.0,0.0,0.0,0.0,0.0,184.0,754.0,156.0,59.0,57.0,8.0,55.0,0.0,6.0,6.0,1.0,183.0
4,Gerrit Cole,NYY,15.0,4.0,2.6267943063178234,33.0,33.0,24.0,2.0,2.0,0.0,0.0,0.0,209.0,821.0,157.0,64.0,61.0,20.0,48.0,0.0,7.0,4.0,1.0,222.0
5,Kevin Gausman,TOR,12.0,9.0,3.1621622273659007,31.0,31.0,20.0,0.0,0.0,0.0,0.0,0.0,185.0,763.0,163.0,72.0,65.0,19.0,55.0,0.0,3.0,3.0,2.0,237.0
6,Zac Gallen,ARI,17.0,9.0,3.471428666017496,34.0,34.0,20.0,1.0,1.0,0.0,0.0,0.0,210.0,846.0,188.0,87.0,81.0,22.0,47.0,0.0,5.0,8.0,1.0,220.0
7,Logan Webb,SFG,11.0,13.0,3.2500000860956004,33.0,33.0,24.0,2.0,1.0,0.0,0.0,0.0,216.0,850.0,201.0,83.0,78.0,20.0,31.0,0.0,5.0,1.0,0.0,194.0
8,Zach Eflin,TBR,16.0,8.0,3.495309599750347,31.0,31.0,17.0,0.0,0.0,0.0,0.0,0.0,177.2,703.0,158.0,69.0,69.0,19.0,24.0,1.0,3.0,0.0,0.0,186.0
9,Justin Steele,CHC,16.0,5.0,3.0634615777900236,30.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,173.1,716.0,167.0,71.0,59.0,14.0,36.0,0.0,7.0,9.0,1.0,176.0
10,Pablo López,MIN,11.0,8.0,3.6649485436898788,32.0,32.0,20.0,1.0,1.0,0.0,0.0,0.0,194.0,801.0,176.0,81.0,79.0,24.0,48.0,1.0,9.0,7.0,0.0,234.0
11,Framber Valdez,HOU,12.0,11.0,3.4545454878233466,31.0,31.0,20.0,2.0,2.0,0.0,0.0,0.0,198.0,808.0,166.0,86.0,76.0,19.0,57.0,0.0,10.0,6.0,0.0,200.0
12,George Kirby,SEA,13.0,10.0,3.351398679625874,31.0,31.0,20.0,1.0,0.0,0.0,0.0,0.0,190.2,757.0,179.0,74.0,71.0,22.0,19.0,1.0,6.0,1.0,0.0,172.0
13,Jordan Montgomery,2 Tms,10.0,11.0,3.1961131657541832,32.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,188.2,777.0,177.0,75.0,67.0,18.0,48.0,0.0,4.0,6.0,0.0,166.0
14,Blake Snell,SDP,14.0,9.0,2.250000011920929,32.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,180.0,742.0,115.0,47.0,45.0,15.0,99.0,0.0,3.0,13.0,2.0,234.0
15,Kyle Bradish,BAL,12.0,7.0,2.8280633157286936,30.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,168.2,671.0,132.0,54.0,53.0,14.0,44.0,0.0,8.0,9.0,0.0,168.0
16,Jesús Luzardo,MIA,10.0,10.0,3.576492645492082,32.0,32.0,17.0,0.0,0.0,0.0,0.0,0.0,178.2,741.0,162.0,79.0,71.0,22.0,55.0,1.0,6.0,7.0,1.0,208.0
17,Aaron Nola,PHI,12.0,9.0,4.461273812550852,32.0,32.0,15.0,0.0,0.0,0.0,0.0,0.0,193.2,793.0,178.0,105.0,96.0,32.0,45.0,0.0,1.0,2.0,0.0,202.0
18,Dylan Cease,CHW,7.0,9.0,4.576271309725209,33.0,33.0,12.0,0.0,0.0,0.0,0.0,0.0,177.0,784.0,172.0,98.0,90.0,19.0,79.0,3.0,9.0,14.0,0.0,214.0
19,Kodai Senga,NYM,12.0,7.0,2.975951977745805,29.0,29.0,16.0,0.0,0.0,0.0,0.0,0.0,166.1,694.0,126.0,60.0,55.0,17.0,77.0,0.0,5.0,14.0,1.0,202.0
20,Corbin Burnes,MIL,10.0,8.0,3.3924268948057885,32.0,32.0,19.0,0.0,0.0,0.0,0.0,0.0,193.2,784.0,141.0,77.0,73.0,22.0,66.0,0.0,8.0,10.0,1.0,200.0
21,Justin Verlander,2 Tms,13.0,8.0,3.215605755783656,27.0,27.0,14.0,0.0,0.0,0.0,0.0,0.0,162.1,669.0,139.0,63.0,58.0,18.0,45.0,0.0,5.0,5.0,0.0,144.0
22,Tarik Skubal,DET,7.0,3.0,2.800829919851943,15.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,80.1,310.0,58.0,28.0,25.0,4.0,14.0,0.0,3.0,1.0,0.0,102.0
23,Luis Castillo,SEA,14.0,9.0,3.335025413000285,33.0,33.0,18.0,0.0,0.0,0.0,0.0,0.0,197.0,802.0,160.0,81.0,73.0,28.0,56.0,0.0,5.0,3.0,0.0,219.0
24,Mitch Keller,PIT,13.0,9.0,4.214408281533808,32.0,32.0,18.0,1.0,1.0,0.0,0.0,0.0,194.1,825.0,187.0,97.0,91.0,25.0,55.0,0.0,12.0,5.0,1.0,210.0
25,Tyler Glasnow,TBR,10.0,7.0,3.525000084042551,21.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,120.0,485.0,93.0,52.0,47.0,13.0,37.0,0.0,1.0,11.0,0.0,162.0
26,Merrill Kelly,ARI,12.0,8.0,3.292682991635308,30.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,177.2,722.0,143.0,71.0,65.0,20.0,69.0,0.0,4.0,3.0,4.0,187.0
27,Braxton Garrett,MIA,9.0,7.0,3.6191490610113224,30.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,156.2,644.0,148.0,66.0,63.0,19.0,29.0,0.0,11.0,4.0,0.0,155.0
28,Eduardo Rodriguez,DET,13.0,9.0,3.30131013990665,26.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,152.2,621.0,128.0,59.0,56.0,15.0,48.0,0.0,3.0,3.0,0.0,143.0
