#,Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA
1,Aaron Nola,PHI,205.0,534.0,87.69847866972137,103.2,112.0,12.559772296015181,38.0,0.07116105,169.0,0.3164794,3.248780548259094,2.7408344699664515
2,Carlos Rodón,SFG,178.0,418.0,89.01404340619325,102.9,112.5,19.397094430992738,27.0,0.0645933,166.0,0.39712919,2.882022502792257,2.6313069788882864
3,Justin Verlander,HOU,175.0,446.0,87.81179110641652,103.0,110.9,16.868778280542987,28.0,0.06278027,155.0,0.34753363,1.748571447629345,2.6541804518261873
4,Sandy Alcantara,MIA,228.2,620.0,87.84590123911373,104.3,114.8,5.532679738562091,33.0,0.05322581,239.0,0.38548387,2.282798868728153,2.920551377856161
5,Shohei Ohtani,LAA,166.0,395.0,87.12544572747694,103.4,113.3,14.521628498727736,25.0,0.06329114,131.0,0.33164557,2.3313253413853934,2.6076251626103226
6,Kevin Gausman,TOR,174.2,491.0,88.998152025916,104.3,116.6,12.15605749486653,40.0,0.0814664,189.0,0.38492872,3.3492367265594174,3.3334489922949393
7,Max Fried,ATL,185.1,527.0,86.21481471963328,103.1,112.7,7.551456310679612,21.0,0.0398482,169.0,0.32068311,2.476618734771967,2.8423393965486974
8,Shane Bieber,CLE,200.0,555.0,89.88999977805398,104.4,110.2,9.94909090909091,40.0,0.07207207,239.0,0.43063063,2.8800000686645526,3.486280857180934
9,Corbin Burnes,MIL,202.0,490.0,87.17731971347455,104.3,117.5,10.012345679012345,28.0,0.05714286,167.0,0.34081633,2.940594142704033,3.0174621715529626
10,Max Scherzer,NYM,145.1,357.0,87.8068970428116,103.8,113.2,21.32758620689655,30.0,0.08403361,121.0,0.33893557,2.2912844537875947,2.86776751476107
11,Framber Valdez,HOU,201.1,555.0,89.83603017470416,105.7,118.4,-3.639194139194139,32.0,0.05765766,231.0,0.41621622,2.8162252233690426,3.265702047757
12,Dylan Cease,CHW,184.0,439.0,86.83133679930515,102.2,115.9,15.048275862068966,27.0,0.06150342,137.0,0.31207289,2.2010870021547855,2.7265609226366974
13,Logan Webb,SFG,192.1,568.0,88.9071942885145,103.9,112.3,3.1220825852782763,31.0,0.05457746,221.0,0.38908451,2.9012132482998285,3.633295071813798
14,Zac Gallen,ARI,184.0,463.0,87.80262552674542,103.7,111.3,10.763676148796499,36.0,0.07775378,167.0,0.36069114,2.543478313601086,3.118007917331534
